model,h,n_intended,n_forecast,n_actual
STABLE_LONG_GAP_R14B,9,90,90,81
STABLE_LONG_GAP_R14B,10,90,90,80
STABLE_LONG_GAP_R14B,11,90,90,79
STABLE_LONG_GAP_R14B,12,90,90,78
STABLE_PIPELINE_R14B,0,90,90,90
STABLE_PIPELINE_R14B,1,90,90,89
STABLE_PIPELINE_R14B,2,90,90,88
STABLE_PIPELINE_R14B,3,90,90,87
STABLE_PIPELINE_R14B,4,90,90,86
STABLE_PIPELINE_R14B,5,90,90,85
STABLE_PIPELINE_R14B,6,90,90,84
STABLE_PIPELINE_R14B,7,90,90,83
STABLE_PIPELINE_R14B,8,90,90,82
STABLE_PIPELINE_R14B,9,90,90,81
STABLE_PIPELINE_R14B,10,90,90,80
STABLE_PIPELINE_R14B,11,90,90,79
STABLE_PIPELINE_R14B,12,90,90,78
