sample,h,model,n,mse_difference,lower,upper,block,draws,seed
full,1,CORE_GAP_ADAPT_EXT_R14B,88,-0.07482224991664327,-0.181320795443674,0.0030583673910826417,12,2000,1409
full,1,CORE_GAP_RF_EXT_R14B,88,-0.07846275424267772,-0.20225483420003287,0.0030872278918713933,12,2000,1409
full,1,CORE_GAP_RIDGE_EXT_R14B,88,-0.07292395451799738,-0.17640753013447238,-0.0007524630432492037,12,2000,1409
full,1,CORE_LEVEL_RF_EXT_R14B,88,-0.04132189459256868,-0.11651025665792457,0.010488830352169002,12,2000,1409
full,1,CORE_LEVEL_RIDGE_EXT_R14B,88,-0.06729562851087646,-0.16585795781199253,0.00010480294529244899,12,2000,1409
full,1,CORE_LOCAL_EXT_R14B,88,-0.07401478212320632,-0.18472914150329356,-0.006574497797135936,12,2000,1409
full,1,CORE_LOCAL_R14,88,-0.07401478212320632,-0.17707197120806697,-0.006271122840039865,12,2000,1409
full,1,FOOD_STABLE_PIPELINE_R14B,88,-0.001130968109090605,-0.03820140526897561,0.03323231869316301,12,2000,1409
full,1,FUEL_CONSTANT_PUMP_R14,88,-0.01065980044923928,-0.02800850659137303,0.011106616693995023,12,2000,1409
full,1,STABLE_LOCAL_CORE_R14B,88,-0.07401740687006274,-0.1767387061900007,-0.013164490942948207,12,2000,1409
full,1,STABLE_LONG_CORE_R14B,88,-0.0764117496784298,-0.16226613075828292,-0.01211730769955059,12,2000,1409
full,1,STABLE_LONG_GAP_R14B,88,-0.08493191112375006,-0.17943909139500674,-0.01189183516988609,12,2000,1409
full,1,STABLE_PIPELINE_R14B,88,-0.010477114416140298,-0.04344502351112506,0.025043431287335084,12,2000,1409
full,2,CORE_GAP_ADAPT_EXT_R14B,86,-0.14996119089871043,-0.4258814192107157,0.036809130452955405,12,2000,1409
full,2,CORE_GAP_RF_EXT_R14B,86,-0.16411075609074477,-0.45536892503142623,0.033389740563315076,12,2000,1409
full,2,CORE_GAP_RIDGE_EXT_R14B,86,-0.14137690316789434,-0.3934719245978895,0.012753540366178108,12,2000,1409
full,2,CORE_LEVEL_RF_EXT_R14B,86,-0.059943473799753094,-0.2919097437190235,0.17117294048989115,12,2000,1409
full,2,CORE_LEVEL_RIDGE_EXT_R14B,86,-0.1275820208717626,-0.331352473217059,0.01862315012527767,12,2000,1409
full,2,CORE_LOCAL_EXT_R14B,86,-0.14219066670608163,-0.41915710004919154,0.03395450925083511,12,2000,1409
full,2,CORE_LOCAL_R14,86,-0.14219066670608163,-0.4081736578477565,0.032438729177967106,12,2000,1409
full,2,FOOD_STABLE_PIPELINE_R14B,86,-0.0035245332067767535,-0.10224292913121634,0.0982506923323663,12,2000,1409
full,2,FUEL_CONSTANT_PUMP_R14,86,0.00672680166227199,-0.036425360822036776,0.07249303355066394,12,2000,1409
full,2,STABLE_LOCAL_CORE_R14B,86,-0.09612856589278432,-0.34684951844363193,0.11770529527357199,12,2000,1409
full,2,STABLE_LONG_CORE_R14B,86,-0.1199790047021882,-0.29445631985782494,0.011233168988526932,12,2000,1409
full,2,STABLE_LONG_GAP_R14B,86,-0.14914475468550228,-0.349195757923917,-0.0017947475089007466,12,2000,1409
full,2,STABLE_PIPELINE_R14B,86,0.005821025759447019,-0.09370837703404741,0.13012884446397416,12,2000,1409
full,3,CORE_GAP_ADAPT_EXT_R14B,84,-0.11955695609091715,-0.4741661995300634,0.13839463834424723,12,2000,1409
full,3,CORE_GAP_RF_EXT_R14B,84,-0.14944307212468397,-0.5870445306860637,0.14249391132984773,12,2000,1409
