model,H,sample,block,n,rms,bias
ADMIN_F000_R28,3,full,h0,90,0.41880820829170357,-0.02026752116319163
ADMIN_F000_R28,3,full,core,87,0.4501427149450969,-0.005325548206556838
ADMIN_F000_R28,3,full,food,87,0.3712900805269812,-0.11065427227378737
ADMIN_F000_R28,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
ADMIN_F000_R28,3,full,administered,87,1.0455297983168719,-0.23422784015036147
ADMIN_F000_R28,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
ADMIN_F000_R28,3,full,wedge,87,0.12996229318471,0.0032673272997644164
ADMIN_F000_R28,3,full,total,87,1.3352624649518987,-0.43931085781724055
ADMIN_F025_R28,3,full,h0,90,0.41880820829170357,-0.02026752116319163
ADMIN_F025_R28,3,full,core,87,0.4501427149450969,-0.005325548206556838
ADMIN_F025_R28,3,full,food,87,0.3712900805269812,-0.11065427227378737
ADMIN_F025_R28,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
ADMIN_F025_R28,3,full,administered,87,1.0363840388463095,-0.21868620005965309
ADMIN_F025_R28,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
ADMIN_F025_R28,3,full,wedge,87,0.12996229318471,0.003267327299764418
ADMIN_F025_R28,3,full,total,87,1.3260039031927096,-0.4237692177265321
ADMIN_F050_R28,3,full,h0,90,0.41880820829170357,-0.02026752116319163
ADMIN_F050_R28,3,full,core,87,0.4501427149450969,-0.005325548206556838
ADMIN_F050_R28,3,full,food,87,0.3712900805269812,-0.11065427227378737
ADMIN_F050_R28,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
ADMIN_F050_R28,3,full,administered,87,1.0276665917985353,-0.2031445599689446
ADMIN_F050_R28,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
ADMIN_F050_R28,3,full,wedge,87,0.12996229318471003,0.003267327299764419
ADMIN_F050_R28,3,full,total,87,1.3170779336742902,-0.4082275776358236
ADMIN_F075_R28,3,full,h0,90,0.41880820829170357,-0.02026752116319163
ADMIN_F075_R28,3,full,core,87,0.4501427149450969,-0.005325548206556838
ADMIN_F075_R28,3,full,food,87,0.3712900805269812,-0.11065427227378737
ADMIN_F075_R28,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
ADMIN_F075_R28,3,full,administered,87,1.0193884455588087,-0.18760291987823613
ADMIN_F075_R28,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
ADMIN_F075_R28,3,full,wedge,87,0.12996229318471006,0.0032673272997644155
ADMIN_F075_R28,3,full,total,87,1.3084913628212207,-0.39268593754511505
