origin,H,actual,STATE_FAST_R15,FOOD_ECM_R27,ADMIN_ZERO_R28,ADMIN_JAN_ONLY_R28,ADMIN_RECENT_R28,ADMIN_HALF_R28,ADMIN_F000_R28,ADMIN_F025_R28,ADMIN_F050_R28,ADMIN_F075_R28,ZERO,SEASONAL_NAIVE,SA_AR,SA_AR_TARGET
2019-05,3,0.19980026626730563,0.04998750416510479,0.04998750416510479,0.0,0.0,0.0,0.024996875520735692,0.0,0.012499218815098065,0.024996875520735692,0.037492970507318264,0.0,0.3330337671563216,0.3850954368341034,0.3850954368341034
2019-05,6,0.7988026594883566,0.14993753747345812,0.14993753747345812,0.0,0.0,0.0,0.07498437968584049,0.0,0.03749609433583376,0.07498437968584049,0.11246485956191285,0.0,0.09949460996524834,0.5090411473861775,0.5090411473861775
2019-05,12,3.2857688254108934,2.038598920081937,2.038598920081937,0.0,1.4888612493750655,1.3914725599129858,1.0221358802163591,0.0,0.5117822243022142,1.0221358802163591,1.5310713548367303,0.0,1.6234677779238653,1.8411999618561905,1.8411999618561905
2019-06,3,0.19980026626730563,0.14993753747345812,0.14993753747345812,0.0,0.0,0.0,0.07498437968584049,0.0,0.03749609433583376,0.07498437968584049,0.11246485956191285,0.0,-0.10022803373921862,0.17205853019853024,0.17205853019853024
2019-06,6,0.7988026594883566,0.14993753747345812,0.14993753747345812,0.0,0.0,0.0,0.07498437968584049,0.0,0.03749609433583376,0.07498437968584049,0.11246485956191285,0.0,-0.13356692386298413,0.4457855859698009,0.4457855859698009
2019-06,12,3.185918592451941,2.038598920081937,2.038598920081937,0.0,1.4888612493750655,1.491422593221339,1.0221358802163591,0.0,0.5117822243022142,1.0221358802163591,1.5310713548367303,0.0,2.0237351568896154,1.8775243490599505,1.8775243490599505
2019-07,3,0.19980026626730563,0.09995003330835331,0.09995003330835331,0.0,0.0,0.0,0.04998750416510479,0.0,0.024996875520735692,0.04998750416510479,0.07497188905459458,0.0,-0.16689470287502123,0.05342658402999479,0.05342658402999479
2019-07,6,2.287663908863422,1.5888112826834189,1.5888112826834189,0.0,1.4888612493750655,1.2916225266546328,0.7971889880352042,0.0,0.39929550340417336,0.7971889880352042,1.1936908281110339,0.0,1.1247278237796117,1.2871611820533366,1.2871611820533366
2019-07,12,3.2858686257602936,2.038598920081937,2.038598920081937,0.0,1.4888612493750655,1.6912228594886445,1.022135880216359,0.0,0.5117822243022142,1.022135880216359,1.5310713548367305,0.0,2.0902245210412307,1.7341616992532605,1.7341616992532605
2019-08,3,0.599002393221051,0.09995003330835331,0.09995003330835331,0.0,0.0,0.0,0.04998750416510479,0.0,0.024996875520735692,0.04998750416510479,0.07497188905459458,0.0,-0.23353915719107327,0.12204282450504328,0.12204282450504328
2019-08,6,2.487464175130728,1.6887613159917723,1.6887613159917723,0.0,1.4888612493750655,1.1915724932962795,0.847176492200309,0.0,0.42429237892490906,0.847176492200309,1.2686627171656284,0.0,1.1247278237796117,1.318394792900444,1.318394792900444
