metric,model,reference,h,sample,n,block,draws,seed,mean_loss_difference,bootstrap_mean,ci_low,ci_high,bootstrap_probability_improvement,status
headline_yy,FOOD_ECM_R27,STATE_FAST_R15,1,full,88,12.0,2000,1509,-0.0003698273289343589,-0.0006171504349400318,-0.020266876079343007,0.02285337734082559,0.553,ok
headline_yy,ADMIN_ZERO_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.028930580826377103,0.02864486330044398,-0.011844869001140177,0.08913014002525542,0.162,ok
headline_yy,ADMIN_JAN_ONLY_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.002026257225799022,0.0017869810379932567,-0.017501878737071666,0.02609635600832937,0.4645,ok
headline_yy,ADMIN_RECENT_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.13809035910395237,0.14116270703547704,-0.016986903353413442,0.3388852193006449,0.06,ok
headline_yy,ADMIN_HALF_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.0137195975343454,0.013462253885401157,-0.016492203288208895,0.05523627919313858,0.2695,ok
headline_yy,ADMIN_F000_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.028930580826377103,0.02864486330044398,-0.011844869001140177,0.08913014002525542,0.162,ok
headline_yy,ADMIN_F025_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.021184894376767252,0.020915657956084858,-0.014389977960893098,0.07164344446568191,0.207,ok
headline_yy,ADMIN_F050_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.0137195975343454,0.013462253885401157,-0.016492203288208895,0.05523627919313858,0.2695,ok
headline_yy,ADMIN_F075_R28,STATE_FAST_R15,1,full,88,12.0,2000,1509,0.006534690299112042,0.006284651088393385,-0.018459029909230668,0.038341721235743316,0.364,ok
headline_yy,FOOD_ECM_R27,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.002162790092658283,-0.0022148209364601106,-0.008304060646280705,0.0039341097749706665,0.765,ok
headline_yy,ADMIN_ZERO_R28,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.0003292851727287666,-0.0003722871995549456,-0.006609988060988994,0.005559526811568728,0.5415,ok
headline_yy,ADMIN_JAN_ONLY_R28,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.0030774817835028745,-0.0031237889286403362,-0.009689038296174193,0.0027786289975212926,0.8475,ok
headline_yy,ADMIN_RECENT_R28,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,0.3002836298499606,0.3006947958902834,0.001996471998292705,0.8411744881810905,0.0145,ok
headline_yy,ADMIN_HALF_R28,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.0016357635705994945,-0.0016836655115178324,-0.007784843718405514,0.0039022753179061725,0.719,ok
headline_yy,ADMIN_F000_R28,STATE_FAST_R15,1,origins_2024plus,30,6.0,2000,1509,-0.0003292851727287666,-0.0003722871995549456,-0.006609988060988994,0.005559526811568728,0.5415,ok
