year,non_january_sum,january,months
2015,0.4,-0.7,12
2016,-0.7000000000000001,0.4,12
2017,-0.10000000000000003,0.3,12
2018,0.4,1.3,12
2019,3.0,2.3,12
2020,-0.20000000000000023,1.5,12
2021,-3.1000000000000005,0.5,12
2022,5.500000000000003,17.1,12
2023,0.30000000000000004,30.9,12
2024,0.7999999999999998,5.8,12
2025,-0.5000000000000001,0.8,12
2026,0.5,-0.9,7
