model,h,omitted_year,n,rmse_delta,mae_delta
ADMIN_ZERO_R28,1,2019,78,0.014774944552862213,0.0053014583543006255
ADMIN_ZERO_R28,1,2020,76,0.016975844260624262,0.005221260112362236
ADMIN_ZERO_R28,1,2021,76,0.01892594163940997,0.008203179179831599
ADMIN_ZERO_R28,1,2022,76,0.002722426842092285,0.006781951276077058
ADMIN_ZERO_R28,1,2023,76,0.021178256176224042,0.008811857675290136
ADMIN_ZERO_R28,1,2024,76,0.01797556007009493,0.004509280689762418
ADMIN_ZERO_R28,1,2025,76,0.01846191315403589,0.00910661139315505
ADMIN_ZERO_R28,1,2026,82,0.017102446322801557,0.00806924681500143
ADMIN_JAN_ONLY_R28,1,2019,78,0.0013583749879770846,-0.004771903109552333
ADMIN_JAN_ONLY_R28,1,2020,76,0.0006739333200596054,-0.0053108153431842275
ADMIN_JAN_ONLY_R28,1,2021,76,0.001859714336356011,-0.005181684524558361
ADMIN_JAN_ONLY_R28,1,2022,76,-0.0076410960584200605,-0.004558273281408509
ADMIN_JAN_ONLY_R28,1,2023,76,0.004540899096086459,-0.002760491736710058
ADMIN_JAN_ONLY_R28,1,2024,76,0.0014732730362533308,-0.006746658806641825
ADMIN_JAN_ONLY_R28,1,2025,76,0.001994014410341083,-0.0027786682839304744
ADMIN_JAN_ONLY_R28,1,2026,82,0.0009793722381591374,-0.004336236618335487
ADMIN_RECENT_R28,1,2019,78,0.0821328825452361,0.0700330647554257
ADMIN_RECENT_R28,1,2020,76,0.08309534344894132,0.07197117201127068
ADMIN_RECENT_R28,1,2021,76,0.08547356872309009,0.07198551926206531
ADMIN_RECENT_R28,1,2022,76,0.15914298765435386,0.07732499849492946
ADMIN_RECENT_R28,1,2023,76,0.058226216127879704,0.05239552661696134
ADMIN_RECENT_R28,1,2024,76,0.028612914839322157,0.03270266290735546
ADMIN_RECENT_R28,1,2025,76,0.07732068573028883,0.05496329159750435
ADMIN_RECENT_R28,1,2026,82,0.07974758140129545,0.06630276432208426
ADMIN_HALF_R28,1,2019,78,0.007041101573198927,-4.324680846989892e-06
ADMIN_HALF_R28,1,2020,76,0.007883474968543469,-0.00015058679248758366
ADMIN_HALF_R28,1,2021,76,0.00951288022252661,0.001591115925090092
ADMIN_HALF_R28,1,2022,76,-0.0028846715319243987,0.001510617319517349
ADMIN_HALF_R28,1,2023,76,0.011639071949902768,0.0027554515607123298
ADMIN_HALF_R28,1,2024,76,0.008725087681567989,-0.0011932836774110056
ADMIN_HALF_R28,1,2025,76,0.009158433925263387,0.002467794994173378
ADMIN_HALF_R28,1,2026,82,0.007958397499183478,0.0012802189553929866
ADMIN_F000_R28,1,2019,78,0.014774944552862213,0.0053014583543006255
