H,sample,name,n,rmse,bias
3,full,FOOD_NORM_SHIFT_R24,84,2.1773508096600787,-0.4509565851602152
3,full,A002,84,2.159098558171393,-0.46919909648042096
3,full,A005,84,2.1376046336368284,-0.4938451389213329
3,full,A010,84,2.113924967875802,-0.5281595429522654
3,full,A015,84,2.100703507948957,-0.5547781826891461
3,full,A020,84,2.0938572127006885,-0.5745319632742637
3,full,A025,84,2.0906137015809896,-0.5882043095560611
3,full,A030,84,2.0892406416378115,-0.5965311660891366
3,full,A035,84,2.088780588566788,-0.6002009971342434
3,full,A040,84,2.0888201948598337,-0.5998547866582898
3,full,A050,84,2.0903809460817926,-0.5894407755416091
3,full,A060,84,2.09536977684971,-0.5694673985974583
3,full,A075,84,2.1135223683897224,-0.5288539422497492
3,full,A090,84,2.1469728697927164,-0.4825784608610179
3,full,A100,84,2.1773508096600787,-0.4509565851602152
3,full,RAW,84,2.0893409182820677,-0.5931460382791358
3,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.7679554671145803,-0.3047920329177584
3,origins_2019_2021,A002,32,1.751114697500745,-0.3279823124751812
3,origins_2019_2021,A005,32,1.7320344431080452,-0.35931290090988843
3,origins_2019_2021,A010,32,1.712733981207578,-0.4029341221527269
3,origins_2019_2021,A015,32,1.70374960637408,-0.43677231943277256
3,origins_2019_2021,A020,32,1.7005223159805078,-0.46188375754806466
3,origins_2019_2021,A025,32,1.700016222289326,-0.47926434330818324
3,origins_2019_2021,A030,32,1.7004014799675355,-0.48984962553424877
3,origins_2019_2021,A035,32,1.7007378721013153,-0.4945147950589225
3,origins_2019_2021,A040,32,1.700701784917311,-0.49407468472640614
3,origins_2019_2021,A050,32,1.700040242264075,-0.4808361659243132
3,origins_2019_2021,A060,32,1.7010688518397266,-0.4554455721123964
3,origins_2019_2021,A075,32,1.7124325421012854,-0.40381685773394554
3,origins_2019_2021,A090,32,1.7402252699337475,-0.3449904532317123
3,origins_2019_2021,A100,32,1.7679554671145803,-0.3047920329177584
3,origins_2019_2021,RAW,32,1.6999213882280066,-0.4944506967926394
3,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,3.2515661483198777,-1.070421669516555
3,origins_2022_2023,A002,24,3.23233371720524,-1.1204653878976325
3,origins_2022_2023,A005,24,3.2091983118873055,-1.1880755751943217
3,origins_2022_2023,A010,24,3.182559655919864,-1.2822084685003252
3,origins_2022_2023,A015,24,3.1664560827271817,-1.3552299778362882
3,origins_2022_2023,A020,24,3.1571225274984407,-1.4094194814200556
3,origins_2022_2023,A025,24,3.151980247164478,-1.4469261072855957
3,origins_2022_2023,A030,24,3.1493794222814726,-1.4697687332829992
3,origins_2022_2023,A035,24,3.148361133100879,-1.4798359870784819
3,origins_2022_2023,A040,24,3.1484538503290933,-1.4788862461543795
3,origins_2022_2023,A050,24,3.1515685941623572,-1.4503180391573889
3,origins_2022_2023,A060,24,3.159301534649144,-1.3955261284731908
3,origins_2022_2023,A075,24,3.1820885594361554,-1.2841133774395241
3,origins_2022_2023,A090,24,3.219364362291295,-1.157168291978542
3,origins_2022_2023,A100,24,3.2515661483198777,-1.070421669516555
3,origins_2022_2023,RAW,24,3.1481344366401967,-1.4334272701988666
3,origins_2024plus,FOOD_NORM_SHIFT_R24,28,1.2601905039587218,-0.08703171541758856
