origin,target,model,quarter,predicted_change,actual_change,material_actual
2019-02,2019-06,BLEND_LINEAR_RF_R15,2019Q2,-0.0889548256997128,0.10866197911436926,False
2019-02,2019-09,BLEND_LINEAR_RF_R15,2019Q3,-0.23042482168394285,0.015354349079724106,False
2019-02,2019-12,BLEND_LINEAR_RF_R15,2019Q4,0.2025664524184907,0.18356059225945032,False
2019-02,2019-06,BLEND_WIDE_STATE_R15,2019Q2,-0.1366633796667207,0.10866197911436926,False
2019-02,2019-09,BLEND_WIDE_STATE_R15,2019Q3,-0.09838588107651036,0.015354349079724106,False
2019-02,2019-12,BLEND_WIDE_STATE_R15,2019Q4,0.16489247341577729,0.18356059225945032,False
2019-02,2019-06,ENET_BOTH_R15,2019Q2,-0.1741581698615473,0.10866197911436926,False
2019-02,2019-09,ENET_BOTH_R15,2019Q3,-0.3610279902087683,0.015354349079724106,False
2019-02,2019-12,ENET_BOTH_R15,2019Q4,0.16126291966458028,0.18356059225945032,False
2019-02,2019-06,ENET_DOMESTIC_R15,2019Q2,-0.03241074366138852,0.10866197911436926,False
2019-02,2019-09,ENET_DOMESTIC_R15,2019Q3,-0.15621256258942395,0.015354349079724106,False
2019-02,2019-12,ENET_DOMESTIC_R15,2019Q4,0.16931926229989536,0.18356059225945032,False
2019-02,2019-06,ENET_IMPORTED_R15,2019Q2,-0.19394985032398404,0.10866197911436926,False
2019-02,2019-09,ENET_IMPORTED_R15,2019Q3,-0.17959068510516163,0.015354349079724106,False
2019-02,2019-12,ENET_IMPORTED_R15,2019Q4,0.269954050438844,0.18356059225945032,False
2019-02,2019-06,ENET_WIDE_R15,2019Q2,-0.26013451481335004,0.10866197911436926,False
2019-02,2019-09,ENET_WIDE_R15,2019Q3,-0.12095597517160872,0.015354349079724106,False
2019-02,2019-12,ENET_WIDE_R15,2019Q4,0.1705620266288541,0.18356059225945032,False
2019-02,2019-06,RF_RESIDUAL_R15,2019Q2,-0.003632627017337242,0.10866197911436926,False
2019-02,2019-09,RF_RESIDUAL_R15,2019Q3,-0.09936476285957863,0.015354349079724106,False
2019-02,2019-12,RF_RESIDUAL_R15,2019Q4,0.24407030633419913,0.18356059225945032,False
2019-02,2019-06,STABLE_LOCAL_CORE_R14B,2019Q2,-0.022056274436558,0.10866197911436926,False
2019-02,2019-09,STABLE_LOCAL_CORE_R14B,2019Q3,-0.06799757726737576,0.015354349079724106,False
2019-02,2019-12,STABLE_LOCAL_CORE_R14B,2019Q4,0.1775532479380577,0.18356059225945032,False
2019-02,2019-06,STABLE_PIPELINE_R14B,2019Q2,-0.08077752377697678,0.10866197911436926,False
2019-02,2019-09,STABLE_PIPELINE_R14B,2019Q3,-0.15216515155517074,0.015354349079724106,False
2019-02,2019-12,STABLE_PIPELINE_R14B,2019Q4,0.2228794554597786,0.18356059225945032,False
2019-02,2019-06,STATE_ADAPT_R15,2019Q2,-0.012948703636020742,0.10866197911436926,False
2019-02,2019-09,STATE_ADAPT_R15,2019Q3,-0.0757470880366693,0.015354349079724106,False
2019-02,2019-12,STATE_ADAPT_R15,2019Q4,0.1592050981099553,0.18356059225945032,False
2019-02,2019-06,STATE_FAST_R15,2019Q2,0.04089049450840543,0.10866197911436926,False
2019-02,2019-09,STATE_FAST_R15,2019Q3,-0.007998966984299472,0.015354349079724106,False
2019-02,2019-12,STATE_FAST_R15,2019Q4,0.23145763091885652,0.18356059225945032,False
2019-02,2019-06,STATE_MID_R15,2019Q2,-0.012948703636020742,0.10866197911436926,False
2019-02,2019-09,STATE_MID_R15,2019Q3,-0.0757470880366693,0.015354349079724106,False
2019-02,2019-12,STATE_MID_R15,2019Q4,0.1592050981099553,0.18356059225945032,False
2019-02,2019-06,STATE_SLOW_R15,2019Q2,-0.07586141109577227,0.10866197911436926,False
2019-02,2019-09,STATE_SLOW_R15,2019Q3,-0.15961232693240301,0.015354349079724106,False
2019-02,2019-12,STATE_SLOW_R15,2019Q4,0.06738121907326855,0.18356059225945032,False
2019-03,2019-06,BLEND_LINEAR_RF_R15,2019Q2,-0.04260951635012056,0.10866197911436926,False
2019-03,2019-09,BLEND_LINEAR_RF_R15,2019Q3,-0.1447173096223402,0.015354349079724106,False
2019-03,2019-12,BLEND_LINEAR_RF_R15,2019Q4,0.18145091936357716,0.18356059225945032,False
2019-03,2020-03,BLEND_LINEAR_RF_R15,2020Q1,0.036539500235175826,0.5838797697945517,True
2019-03,2019-06,BLEND_WIDE_STATE_R15,2019Q2,-0.07554925324643191,0.10866197911436926,False
2019-03,2019-09,BLEND_WIDE_STATE_R15,2019Q3,-0.11916777005428258,0.015354349079724106,False
