family,band,status,converged,n
both,0,estimated,True,90
both,1,estimated,True,90
both,2,estimated,True,90
both,3,estimated,True,90
domestic,0,estimated,True,90
domestic,1,estimated,True,90
domestic,2,estimated,True,90
domestic,3,estimated,True,90
forest,0,estimated,True,90
forest,1,estimated,True,90
forest,2,estimated,True,90
forest,3,estimated,True,90
imported,0,estimated,True,90
imported,1,estimated,True,90
imported,2,estimated,True,90
imported,3,estimated,True,90
wide,0,estimated,True,90
wide,1,estimated,True,90
wide,2,estimated,True,90
wide,3,estimated,True,90
