origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0,,-0.1,,,2019-02,1.0,2.9634511538051513,-0.08345035205400508
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.31730639102189906,0.0930232558139509,2.769818529130847,2.9107251448243994,0.31680403668075074,0.09298001599665273,0.44005556864221906,0.4,0.4390901553252744,0.39920212695374535,2019-02,2.0,2.9473469671597767,-0.03662182233537736
2019-04,0,2019-04,2019-05-12T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.3871075486743048,0.0930232558139509,2.769818529130847,3.0717675404249056,0.0,0.0,,0.4,,,2019-03,1.0,2.9107251448243994,0.16104239560050626
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.20465546813410168,0.6505576208178487,2.9467680608364977,2.631217145411435,0.5212503707991891,0.7414306439227463,0.15612488008358982,0.1,0.5950932872209606,0.49915216026209863,2019-02,3.0,2.6717466662393186,-0.04052952082788375
2019-04,1,2019-05,2019-05-12T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.2398039935705082,0.6505576208178487,2.9467680608364977,2.8278781651391496,0.23951692264062027,0.6484506279260935,0.13113238221166904,0.1,0.13104647879327835,0.09995003330835331,2019-03,2.0,2.631217145411435,0.19666101972771477
2019-05,0,2019-05,2019-06-10T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.2254766707170906,0.6505576208178487,2.9467680608364977,2.5119894464748858,0.0,0.0,,0.1,,,2019-04,1.0,2.8278781651391496,-0.3158887186642638
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.13226553716761597,0.1846722068328699,2.7462121212121224,2.3776940772974897,0.6534285141579665,0.925932541279676,0.2233002757711602,0.3,0.8181446184533381,0.7987030582419465,2019-02,4.0,2.3792303419767222,-0.001536264679232513
2019-04,2,2019-06,2019-05-12T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.11983867051610284,0.1846722068328699,2.7462121212121224,2.5611394176792537,0.3592838439384531,0.8329525252830231,0.2026704974379965,0.3,0.3335118766494254,0.3995009312882012,2019-03,3.0,2.3776940772974897,0.18344534038176397
2019-05,1,2019-06,2019-06-10T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.1717574966904522,0.1846722068328699,2.7462121212121224,2.2990915435324224,0.17161016218335454,0.18450189735692968,0.21571586670312565,0.3,0.2154835340862737,0.2995508979798479,2019-04,2.0,2.5611394176792537,-0.2620478741468313
2019-06,0,2019-06,2019-07-10T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.1241032984628462,0.1846722068328699,2.7462121212121224,2.684094575980366,0.0,0.0,,0.3,,,2019-05,1.0,2.2990915435324224,0.38500303244794365
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.30461494197062644,0.3686635944700533,2.9300567107750517,2.4954316949160833,0.9575804448436427,1.2939182371197377,0.5032784154793508,1.0,1.3201608213063367,1.7937361435587549,2019-02,5.0,2.450614585674712,0.04481710924137117
