origin,band,family,config,status,converged,n_train,measure,feature,source_group,value
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,goods_change3,imported_cost,-0.010788916857203875
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,fx1,imported_cost,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,fx3,imported_cost,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_23_now,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_23_mean3,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_26_now,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_26_mean3,imported_cost,0.006873666093179005
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_45_now,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_45_mean3,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_47_now,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_47_mean3,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_56_now,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_56_mean3,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_62_now,imported_cost,0.0021766965014634538
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,cost_62_mean3,imported_cost,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,destination_season,own_core_state,-0.019325330034513546
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,penalized_constant,constant,0.01976709336326315
2019-02,0,wide,a0.1_l0.2,estimated,True,106,coefficients,core1,own_core_state,-0.011169894575883648
2019-02,0,wide,a0.1_l0.2,estimated,True,106,coefficients,core3,own_core_state,-0.0
