origin,h,model,core_log,core_mm,state_mid_log,correction_log,band
2019-02,1,STATE_SLOW_R15,0.11641049545682514,0.11647827877383427,0.15335688562592983,-0.0369463901691047,1
2019-02,1,STATE_MID_R15,0.15335688562592983,0.15347453743246955,0.15335688562592983,0.0,1
2019-02,1,STATE_FAST_R15,0.1865135254611521,0.18668757012584491,0.15335688562592983,0.03315663983522227,1
2019-02,1,STATE_ADAPT_R15,0.15335688562592983,0.15347453743246955,0.15335688562592983,0.0,1
2019-02,1,ENET_DOMESTIC_R15,0.14742280046989392,0.14753152130025257,0.15335688562592983,-0.005934085156035912,1
2019-02,1,ENET_IMPORTED_R15,0.025697372374467925,0.02570067443204397,0.15335688562592983,-0.1276595132514619,1
2019-02,1,ENET_BOTH_R15,0.06001278425678279,0.060030795530996224,0.15335688562592983,-0.09334410136914705,1
2019-02,1,ENET_WIDE_R15,-0.03391905652171737,-0.03391330466008487,0.15335688562592983,-0.1872759421476472,1
2019-02,1,RF_RESIDUAL_R15,0.16438090068347103,0.1645160801456102,0.15335688562592983,0.011024015057541192,1
2019-02,1,BLEND_LINEAR_RF_R15,0.1121968424701269,0.11225980667317564,0.15335688562592983,-0.04116004315580293,1
2019-02,1,BLEND_WIDE_STATE_R15,0.059718914552106234,0.059736749846053934,0.15335688562592983,-0.0936379710738236,1
2019-02,2,STATE_SLOW_R15,0.46300515057131886,0.4640786756045328,0.5043896428409518,-0.04138449226963292,1
2019-02,2,STATE_MID_R15,0.5043896428409518,0.5056638287865323,0.5043896428409518,0.0,1
2019-02,2,STATE_FAST_R15,0.5399527698005971,0.5414131420256466,0.5043896428409518,0.035563126959645364,1
2019-02,2,STATE_ADAPT_R15,0.5043896428409518,0.5056638287865323,0.5043896428409518,0.0,1
2019-02,2,ENET_DOMESTIC_R15,0.49845555768491584,0.4996999140619322,0.5043896428409518,-0.00593408515603594,1
2019-02,2,ENET_IMPORTED_R15,0.37673012958948987,0.37744064950954687,0.5043896428409518,-0.1276595132514619,1
2019-02,2,ENET_BOTH_R15,0.4110455414718047,0.4118914923415971,0.5043896428409518,-0.09334410136914706,1
2019-02,2,ENET_WIDE_R15,0.3171137006933046,0.3176170380991362,0.5043896428409518,-0.1872759421476472,1
2019-02,2,RF_RESIDUAL_R15,0.5154136578984929,0.5167441990403204,0.5043896428409518,0.011024015057541137,1
2019-02,2,BLEND_LINEAR_RF_R15,0.4632295996851488,0.46430416659189366,0.5043896428409518,-0.04116004315580296,1
2019-02,2,BLEND_WIDE_STATE_R15,0.4107516717671282,0.41159641264618346,0.5043896428409518,-0.0936379710738236,1
2019-02,3,STATE_SLOW_R15,0.17414947242880424,0.1743012006877441,0.2190844463788598,-0.04493497395005555,1
2019-02,3,STATE_MID_R15,0.2190844463788598,0.21932461170835418,0.2190844463788598,0.0,1
2019-02,3,STATE_FAST_R15,0.25657276303804355,0.25690219263366393,0.2190844463788598,0.03748831665918376,1
2019-02,3,STATE_ADAPT_R15,0.2190844463788598,0.21932461170835418,0.2190844463788598,0.0,1
2019-02,3,ENET_DOMESTIC_R15,0.21315036122282388,0.21337768809259228,0.2190844463788598,-0.005934085156035912,1
2019-02,3,ENET_IMPORTED_R15,0.09142493312739788,0.09146673845857928,0.2190844463788598,-0.1276595132514619,1
2019-02,3,ENET_BOTH_R15,0.12574034500971276,0.12581943132585716,0.2190844463788598,-0.09334410136914703,1
2019-02,3,ENET_WIDE_R15,0.03180850423121259,0.031813563672349686,0.2190844463788598,-0.1872759421476472,1
2019-02,3,RF_RESIDUAL_R15,0.23010846143640099,0.2303734141437476,0.2190844463788598,0.011024015057541192,1
2019-02,3,BLEND_LINEAR_RF_R15,0.17792440322305686,0.1780827826072974,0.2190844463788598,-0.04116004315580293,1
2019-02,3,BLEND_WIDE_STATE_R15,0.1254464753050362,0.12552519230832926,0.2190844463788598,-0.0936379710738236,1
2019-03,1,STATE_SLOW_R15,0.44808410468204996,0.44908950262161385,0.47583404783458727,-0.027749943152537315,1
2019-03,1,STATE_MID_R15,0.47583404783458727,0.47696793580161184,0.47583404783458727,0.0,1
2019-03,1,STATE_FAST_R15,0.4877100525173458,0.4889012938078136,0.47583404783458727,0.011876004682758512,1
2019-03,1,STATE_ADAPT_R15,0.47583404783458727,0.47696793580161184,0.47583404783458727,0.0,1
