scope,sample,model,quarter,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,full,BLEND_LINEAR_RF_R15,2019Q3,2,0,,,0,0
all_models_common,full,BLEND_WIDE_STATE_R15,2019Q3,2,0,,,0,0
all_models_common,full,ENET_BOTH_R15,2019Q3,2,0,,,0,0
all_models_common,full,ENET_DOMESTIC_R15,2019Q3,2,0,,,0,0
all_models_common,full,ENET_IMPORTED_R15,2019Q3,2,0,,,0,0
all_models_common,full,ENET_WIDE_R15,2019Q3,2,0,,,0,0
all_models_common,full,INDEPENDENT_BRIDGE,2019Q3,2,0,,,0,0
all_models_common,full,RF_RESIDUAL_R15,2019Q3,2,0,,,0,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2019Q3,2,0,,,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
all_models_common,full,STATE_ADAPT_R15,2019Q3,2,0,,,0,0
all_models_common,full,STATE_FAST_R15,2019Q3,2,0,,,0,0
all_models_common,full,STATE_MID_R15,2019Q3,2,0,,,0,0
all_models_common,full,STATE_SLOW_R15,2019Q3,2,0,,,0,0
all_models_common,full,BLEND_LINEAR_RF_R15,2019Q4,5,0,,,1,0
all_models_common,full,BLEND_WIDE_STATE_R15,2019Q4,5,0,,,0,0
all_models_common,full,ENET_BOTH_R15,2019Q4,5,0,,,1,0
all_models_common,full,ENET_DOMESTIC_R15,2019Q4,5,0,,,0,0
all_models_common,full,ENET_IMPORTED_R15,2019Q4,5,0,,,0,0
all_models_common,full,ENET_WIDE_R15,2019Q4,5,0,,,1,0
all_models_common,full,INDEPENDENT_BRIDGE,2019Q4,5,0,,,2,0
all_models_common,full,RF_RESIDUAL_R15,2019Q4,5,0,,,2,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2019Q4,5,0,,,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2019Q4,5,0,,,0,0
all_models_common,full,STATE_ADAPT_R15,2019Q4,5,0,,,1,0
all_models_common,full,STATE_FAST_R15,2019Q4,5,0,,,1,0
all_models_common,full,STATE_MID_R15,2019Q4,5,0,,,1,0
all_models_common,full,STATE_SLOW_R15,2019Q4,5,0,,,0,0
all_models_common,full,BLEND_LINEAR_RF_R15,2020Q1,8,8,0.0,0.0,0,0
