scope,sample,model,h,metric,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
all_models_common,full,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,84,12,2000,1509,73,84,-0.11224160389262466,-0.37510659758573933,0.045145694366894,0.9085,ok
all_models_common,origins_2019_2021,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,32,12,2000,1509,21,32,0.010316037216042184,-0.1237360860116023,0.06192909452462464,0.781,ok
all_models_common,origins_2022_2023,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,24,12,2000,1509,13,24,-0.3809387328446523,-1.075117821731222,0.15391683053622965,0.8265,ok
all_models_common,origins_2024plus,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,28,12,2000,1509,17,28,-0.02199565462936314,-0.08814048344750708,0.006249792505385999,0.947,ok
all_models_common,recent_targets,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,31,12,2000,1509,20,31,-0.01995010231694705,-0.08809472055197004,-0.0021989207562914262,0.9785,ok
all_models_common,full,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,81,12,2000,1509,70,81,-0.32409833865214144,-1.5513118481076713,0.6307977464011532,0.706,ok
all_models_common,origins_2019_2021,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,32,12,2000,1509,21,32,-0.1677025183304895,-0.4617457032594193,-0.021265069750841657,0.979,ok
all_models_common,origins_2022_2023,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,24,12,2000,1509,13,24,-0.7678239712254061,-2.7340653549296303,2.286609981194614,0.393,ok
all_models_common,origins_2024plus,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,25,12,2000,1509,14,25,-0.09830838139352183,-0.15058750734181614,0.020888434700305998,0.861,ok
all_models_common,recent_targets,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,31,12,2000,1509,20,31,-0.031847399717264066,-0.1947532440491421,0.020129091742198516,0.923,ok
all_models_common,full,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,78,12,2000,1509,67,78,-1.0407354936995787,-3.592747139615037,0.906893115098958,0.836,ok
all_models_common,origins_2019_2021,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,32,12,2000,1509,21,32,-0.7946699364654448,-2.1380631258822365,-0.45151966717895314,1.0,ok
all_models_common,origins_2022_2023,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,24,12,2000,1509,13,24,-2.2162629478251166,-7.751929874307561,4.0615303552265845,0.53,ok
all_models_common,origins_2024plus,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,22,12,2000,1509,11,22,-0.11625544517591294,-0.3085776345361937,0.14154145682191188,0.7855,ok
all_models_common,recent_targets,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,31,12,2000,1509,20,31,0.5822407638612777,-0.2968577780394798,0.9289999295966532,0.419,ok
all_models_common,full,BLEND_LINEAR_RF_R15,12,headline_yy_squared_error,75,12,2000,1509,64,75,-0.9207971921088961,-6.646065447691644,4.898281055867798,0.6595,ok
all_models_common,origins_2019_2021,BLEND_LINEAR_RF_R15,12,headline_yy_squared_error,32,12,2000,1509,21,32,-2.829354306430138,-6.098248697311773,-0.7577680832106675,1.0,ok
all_models_common,origins_2022_2023,BLEND_LINEAR_RF_R15,12,headline_yy_squared_error,24,12,2000,1509,13,24,0.8281913782143882,-5.679486280726528,14.032380443675038,0.0925,ok
all_models_common,origins_2024plus,BLEND_LINEAR_RF_R15,12,headline_yy_squared_error,19,12,2000,1509,8,19,0.084366069497468,-0.4523047410367111,0.05864271153884403,0.887,ok
all_models_common,recent_targets,BLEND_LINEAR_RF_R15,12,headline_yy_squared_error,31,12,2000,1509,20,31,4.883331476339629,-0.2562744938801719,8.045840671286642,0.154,ok
all_models_common,full,BLEND_WIDE_STATE_R15,3,headline_yy_squared_error,84,12,2000,1509,73,84,-0.053489171363921895,-0.2729333067998161,0.11373136277499636,0.7425,ok
all_models_common,origins_2019_2021,BLEND_WIDE_STATE_R15,3,headline_yy_squared_error,32,12,2000,1509,21,32,0.028820130903557062,-0.11211372185493786,0.06511429654422943,0.748,ok
all_models_common,origins_2022_2023,BLEND_WIDE_STATE_R15,3,headline_yy_squared_error,24,12,2000,1509,13,24,-0.19718023740458843,-0.7692195457134791,0.2556274222633608,0.7965,ok
all_models_common,origins_2024plus,BLEND_WIDE_STATE_R15,3,headline_yy_squared_error,28,12,2000,1509,17,28,-0.024393174491897977,-0.09638006890589941,0.021097993218675726,0.8975,ok
all_models_common,recent_targets,BLEND_WIDE_STATE_R15,3,headline_yy_squared_error,31,12,2000,1509,20,31,-0.02191249951991375,-0.10402262140283118,0.008292286214633874,0.9525,ok
all_models_common,full,BLEND_WIDE_STATE_R15,6,headline_yy_squared_error,81,12,2000,1509,70,81,-0.6946280874466774,-2.505396141066926,0.38788563912665897,0.813,ok
all_models_common,origins_2019_2021,BLEND_WIDE_STATE_R15,6,headline_yy_squared_error,32,12,2000,1509,21,32,-0.2694059843040972,-0.3795309347291306,-0.009800768399934833,0.979,ok
all_models_common,origins_2022_2023,BLEND_WIDE_STATE_R15,6,headline_yy_squared_error,24,12,2000,1509,13,24,-1.858391558923773,-4.371701835637911,1.4084671234894983,0.4945,ok
all_models_common,origins_2024plus,BLEND_WIDE_STATE_R15,6,headline_yy_squared_error,25,12,2000,1509,14,25,-0.12169944685116832,-0.17350824062392445,-0.0026798908119348903,0.984,ok
all_models_common,recent_targets,BLEND_WIDE_STATE_R15,6,headline_yy_squared_error,31,12,2000,1509,20,31,-0.013816819808149828,-0.20273461735722717,0.024830622340201485,0.9345,ok
all_models_common,full,BLEND_WIDE_STATE_R15,9,headline_yy_squared_error,78,12,2000,1509,67,78,-0.11100559930919654,-2.6651549714316114,2.646695695342999,0.526,ok
all_models_common,origins_2019_2021,BLEND_WIDE_STATE_R15,9,headline_yy_squared_error,32,12,2000,1509,21,32,-1.1951788626966233,-1.5536132520766444,-0.26086194923566075,0.9975,ok
all_models_common,origins_2022_2023,BLEND_WIDE_STATE_R15,9,headline_yy_squared_error,24,12,2000,1509,13,24,1.4311193769423813,1.0058221485207228,9.238197055190659,0.0065,ok
all_models_common,origins_2024plus,BLEND_WIDE_STATE_R15,9,headline_yy_squared_error,22,12,2000,1509,11,22,-0.21634446302011456,-0.4155388254804286,0.03146402557374453,0.952,ok
all_models_common,recent_targets,BLEND_WIDE_STATE_R15,9,headline_yy_squared_error,31,12,2000,1509,20,31,0.39239333800829373,-0.391734139719673,0.7214181609789826,0.539,ok
all_models_common,full,BLEND_WIDE_STATE_R15,12,headline_yy_squared_error,75,12,2000,1509,64,75,0.8744066235930582,-4.308410960568683,7.685787035229385,0.3705,ok
all_models_common,origins_2019_2021,BLEND_WIDE_STATE_R15,12,headline_yy_squared_error,32,12,2000,1509,21,32,-2.2056994446411204,-3.801402317730152,-0.6125168978941081,1.0,ok
