family,band,config,reason,n,share_within_family_band
both,0,a0.1_l0.2,minimum_prior_mse,7,0.07777777777777778
both,0,a0.1_l0.8,minimum_prior_mse,25,0.2777777777777778
both,0,a1_l0.2,minimum_prior_mse,17,0.18888888888888888
both,0,a1_l0.8,minimum_prior_mse,41,0.45555555555555555
both,1,a0.01_l0.2,minimum_prior_mse,6,0.06666666666666667
both,1,a0.01_l0.8,minimum_prior_mse,1,0.011111111111111112
both,1,a0.1_l0.2,minimum_prior_mse,12,0.13333333333333333
both,1,a1_l0.2,minimum_prior_mse,1,0.011111111111111112
both,1,a1_l0.8,minimum_prior_mse,70,0.7777777777777778
both,2,a0.01_l0.2,minimum_prior_mse,8,0.08888888888888889
both,2,a0.1_l0.2,minimum_prior_mse,5,0.05555555555555555
both,2,a0.1_l0.8,minimum_prior_mse,29,0.32222222222222224
both,2,a1_l0.8,minimum_prior_mse,48,0.5333333333333333
both,3,a0.01_l0.8,minimum_prior_mse,3,0.03333333333333333
both,3,a0.1_l0.2,minimum_prior_mse,14,0.15555555555555556
both,3,a0.1_l0.8,minimum_prior_mse,11,0.12222222222222222
both,3,a1_l0.2,minimum_prior_mse,22,0.24444444444444444
both,3,a1_l0.8,minimum_prior_mse,40,0.4444444444444444
domestic,0,a0.01_l0.8,minimum_prior_mse,7,0.07777777777777778
domestic,0,a0.1_l0.2,minimum_prior_mse,14,0.15555555555555556
domestic,0,a0.1_l0.8,minimum_prior_mse,20,0.2222222222222222
domestic,0,a1_l0.2,minimum_prior_mse,3,0.03333333333333333
domestic,0,a1_l0.8,minimum_prior_mse,46,0.5111111111111111
domestic,1,a0.01_l0.8,minimum_prior_mse,2,0.022222222222222223
domestic,1,a0.1_l0.2,minimum_prior_mse,17,0.18888888888888888
domestic,1,a1_l0.2,minimum_prior_mse,1,0.011111111111111112
domestic,1,a1_l0.8,minimum_prior_mse,70,0.7777777777777778
domestic,2,a0.01_l0.2,minimum_prior_mse,11,0.12222222222222222
domestic,2,a0.01_l0.8,minimum_prior_mse,2,0.022222222222222223
domestic,2,a0.1_l0.2,minimum_prior_mse,13,0.14444444444444443
domestic,2,a0.1_l0.8,minimum_prior_mse,16,0.17777777777777778
domestic,2,a1_l0.8,minimum_prior_mse,48,0.5333333333333333
domestic,3,a0.01_l0.8,minimum_prior_mse,4,0.044444444444444446
domestic,3,a0.1_l0.2,minimum_prior_mse,18,0.2
domestic,3,a0.1_l0.8,minimum_prior_mse,22,0.24444444444444444
domestic,3,a1_l0.2,minimum_prior_mse,12,0.13333333333333333
domestic,3,a1_l0.8,minimum_prior_mse,34,0.37777777777777777
forest,0,leaf15,minimum_prior_mse,46,0.5111111111111111
forest,0,leaf5,minimum_prior_mse,44,0.4888888888888889
forest,1,leaf15,minimum_prior_mse,78,0.8666666666666667
forest,1,leaf5,minimum_prior_mse,12,0.13333333333333333
forest,2,leaf15,minimum_prior_mse,61,0.6777777777777778
forest,2,leaf5,minimum_prior_mse,29,0.32222222222222224
forest,3,leaf15,minimum_prior_mse,53,0.5888888888888889
forest,3,leaf5,minimum_prior_mse,37,0.4111111111111111
imported,0,a0.01_l0.2,minimum_prior_mse,7,0.07777777777777778
imported,0,a0.1_l0.2,minimum_prior_mse,13,0.14444444444444443
imported,0,a0.1_l0.8,minimum_prior_mse,17,0.18888888888888888
imported,0,a1_l0.2,minimum_prior_mse,12,0.13333333333333333
imported,0,a1_l0.8,minimum_prior_mse,41,0.45555555555555555
imported,1,a0.01_l0.2,minimum_prior_mse,13,0.14444444444444443
imported,1,a0.01_l0.8,minimum_prior_mse,1,0.011111111111111112
imported,1,a0.1_l0.2,minimum_prior_mse,11,0.12222222222222222
imported,1,a0.1_l0.8,minimum_prior_mse,1,0.011111111111111112
imported,1,a1_l0.2,minimum_prior_mse,13,0.14444444444444443
imported,1,a1_l0.8,minimum_prior_mse,51,0.5666666666666667
imported,2,a0.01_l0.2,minimum_prior_mse,13,0.14444444444444443
imported,2,a0.01_l0.8,minimum_prior_mse,4,0.044444444444444446
imported,2,a0.1_l0.2,minimum_prior_mse,7,0.07777777777777778
imported,2,a0.1_l0.8,minimum_prior_mse,24,0.26666666666666666
imported,2,a1_l0.8,minimum_prior_mse,42,0.4666666666666667
imported,3,a0.01_l0.2,minimum_prior_mse,15,0.16666666666666666
imported,3,a0.1_l0.2,minimum_prior_mse,1,0.011111111111111112
imported,3,a0.1_l0.8,minimum_prior_mse,21,0.23333333333333334
imported,3,a1_l0.2,minimum_prior_mse,13,0.14444444444444443
imported,3,a1_l0.8,minimum_prior_mse,40,0.4444444444444444
state,0,fast,minimum_prior_mse,49,0.5444444444444444
state,0,mid,minimum_prior_mse,16,0.17777777777777778
state,0,slow,minimum_prior_mse,25,0.2777777777777778
state,1,fast,minimum_prior_mse,40,0.4444444444444444
state,1,mid,minimum_prior_mse,39,0.43333333333333335
state,1,slow,minimum_prior_mse,11,0.12222222222222222
state,2,fast,minimum_prior_mse,10,0.1111111111111111
state,2,mid,minimum_prior_mse,42,0.4666666666666667
state,2,slow,minimum_prior_mse,38,0.4222222222222222
state,3,fast,minimum_prior_mse,24,0.26666666666666666
state,3,mid,minimum_prior_mse,31,0.34444444444444444
state,3,slow,minimum_prior_mse,35,0.3888888888888889
wide,0,a0.1_l0.2,minimum_prior_mse,22,0.24444444444444444
wide,0,a0.1_l0.8,minimum_prior_mse,8,0.08888888888888889
wide,0,a1_l0.2,minimum_prior_mse,18,0.2
wide,0,a1_l0.8,minimum_prior_mse,42,0.4666666666666667
wide,1,a0.01_l0.2,minimum_prior_mse,11,0.12222222222222222
wide,1,a0.1_l0.2,minimum_prior_mse,4,0.044444444444444446
wide,1,a0.1_l0.8,minimum_prior_mse,6,0.06666666666666667
wide,1,a1_l0.2,minimum_prior_mse,1,0.011111111111111112
wide,1,a1_l0.8,minimum_prior_mse,68,0.7555555555555555
wide,2,a0.01_l0.8,minimum_prior_mse,5,0.05555555555555555
wide,2,a0.1_l0.2,minimum_prior_mse,12,0.13333333333333333
wide,2,a0.1_l0.8,minimum_prior_mse,8,0.08888888888888889
wide,2,a1_l0.2,minimum_prior_mse,22,0.24444444444444444
wide,2,a1_l0.8,minimum_prior_mse,43,0.4777777777777778
wide,3,a0.1_l0.8,minimum_prior_mse,8,0.08888888888888889
wide,3,a1_l0.2,minimum_prior_mse,23,0.25555555555555554
