origin,h,target,as_of,bill_index,relative,monthly_pct,national_candidate_eligible
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,163.35,1.0,0.0,False
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,10,2020-01,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,11,2020-02,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,163.35,1.0,0.0,False
