run,sample,support,h,n,original_rmse,corrected_rmse,bridge_rmse
realtime_full_luci,recent_targets,paired_with_bridge,3,31,0.5745831893805866,0.5980699780677329,0.5465251115875537
realtime_full_luci,recent_targets,paired_with_bridge,4,31,0.707937112071457,0.7225217843133908,0.5498837901575501
realtime_full_luci,recent_targets,paired_with_bridge,5,31,0.7712577815054016,0.7963959037916468,0.6477482330271562
realtime_full_luci,recent_targets,paired_with_bridge,6,31,0.8311544417432458,0.8710302613699997,0.7478339170561031
realtime_full_luci,recent_targets,paired_with_bridge,7,31,0.9070267930370413,0.9495676009255323,0.8449587352507341
realtime_full_luci,recent_targets,paired_with_bridge,8,31,0.9413217004441707,0.9886663402485297,0.9171180803165188
realtime_full_luci,recent_targets,paired_with_bridge,9,31,1.3647745966427263,1.341093357905735,1.1824489101326947
realtime_full_luci,recent_targets,paired_with_bridge,10,31,2.2090897908654865,2.0640288357363006,1.4813747551498109
realtime_full_luci,recent_targets,paired_with_bridge,11,31,3.2896476091881404,3.0367916791208693,1.6925933209508006
realtime_full_luci,recent_targets,paired_with_bridge,12,31,3.5040967282114726,3.1764886116550626,1.8921319727646286
realtime_full_luci_month,full,own_paired,0,90,0.46803188846412486,0.46803188846412486,
realtime_full_luci_month,full,own_paired,1,89,1.049340466996975,1.0721218920906426,
realtime_full_luci_month,full,own_paired,2,88,1.5775223155260802,1.6322739999407787,
realtime_full_luci_month,full,own_paired,3,87,1.8650349792184182,1.922286908889591,
realtime_full_luci_month,full,own_paired,4,86,2.2023210428142006,2.2388912938167587,
realtime_full_luci_month,full,own_paired,5,85,2.496584181335808,2.4990168679095333,
realtime_full_luci_month,full,own_paired,6,84,2.8226730363758765,2.8078600428626443,
realtime_full_luci_month,full,own_paired,7,83,3.1967352254749795,3.1654648755372397,
realtime_full_luci_month,full,own_paired,8,82,3.629499175428711,3.5772469327000875,
realtime_full_luci_month,full,own_paired,9,81,4.086769306008663,4.026960068634122,
realtime_full_luci_month,full,own_paired,10,80,4.574145957651526,4.5013629424778525,
realtime_full_luci_month,full,own_paired,11,79,5.024233859864498,4.946247193054985,
realtime_full_luci_month,full,own_paired,12,78,5.415159312905149,5.328531767369768,
realtime_full_luci_month,full,paired_with_bridge,0,90,0.46803188846412486,0.46803188846412486,0.46803188846412486
realtime_full_luci_month,full,paired_with_bridge,1,88,1.055263758341487,1.0781451653152507,0.9107373045382808
