component,scope,sample,h,horizon_label,metric,model,n_rows_total,n_unavailable_targets,n_intended,n_scored,n_missing_forecasts,n_fallback,rmse,mae,bias
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_AR_CORE_R17,1080,78,1002,1002,0,0,0.43566520336712955,0.3286191220308615,-0.01201280413852041
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_BOTH_CORE_R17,1080,78,1002,1002,0,0,0.4366330535959455,0.3304195019355783,-0.00968493293565303
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_DOMESTIC_CORE_R17,1080,78,1002,1002,0,0,0.4360458413283243,0.33040510243601673,-0.009428391234944294
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_IMPORTED_CORE_R17,1080,78,1002,1002,0,0,0.4397083087078167,0.33184658342984097,-0.007545786849809433
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_OWN_CORE_R17,1080,78,1002,1002,0,0,0.4360623328501194,0.32986961064249654,-0.009795597749862583
core,primary_control_calendar,full,0,pooled_h1_12,mm,STATE_FAST_R15,1080,78,1002,1002,0,0,0.4327941203681286,0.3266183521451593,-0.0034552535967933068
core,common,full,0,pooled_h1_12,mm,MONTHLY_AR_CORE_R17,1080,78,1002,1002,0,0,0.43566520336712955,0.3286191220308615,-0.01201280413852041
core,common,full,0,pooled_h1_12,mm,MONTHLY_BOTH_CORE_R17,1080,78,1002,1002,0,0,0.4366330535959455,0.3304195019355783,-0.00968493293565303
core,common,full,0,pooled_h1_12,mm,MONTHLY_DOMESTIC_CORE_R17,1080,78,1002,1002,0,0,0.4360458413283243,0.33040510243601673,-0.009428391234944294
core,common,full,0,pooled_h1_12,mm,MONTHLY_IMPORTED_CORE_R17,1080,78,1002,1002,0,0,0.4397083087078167,0.33184658342984097,-0.007545786849809433
core,common,full,0,pooled_h1_12,mm,MONTHLY_OWN_CORE_R17,1080,78,1002,1002,0,0,0.4360623328501194,0.32986961064249654,-0.009795597749862583
core,common,full,0,pooled_h1_12,mm,STATE_FAST_R15,1080,78,1002,1002,0,0,0.4327941203681286,0.3266183521451593,-0.0034552535967933068
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_AR_CORE_R17,1080,78,1002,1002,0,0,2.4092263285887956,1.4619026919667037,-0.05724017118890227
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_BOTH_CORE_R17,1080,78,1002,1002,0,0,2.4065237185726494,1.4593116952777552,-0.04853698563801412
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_DOMESTIC_CORE_R17,1080,78,1002,1002,0,0,2.39845196234397,1.4586331709734432,-0.058958492995862276
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_IMPORTED_CORE_R17,1080,78,1002,1002,0,0,2.4175568782638903,1.4619120877131992,-0.03970302990507246
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_OWN_CORE_R17,1080,78,1002,1002,0,0,2.395426586342632,1.4548694993824915,-0.05626996638163697
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,1080,78,1002,1002,0,0,2.3481131256188172,1.4377509162759026,-0.004327814590592035
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_AR_CORE_R17,1080,78,1002,1002,0,0,2.4092263285887956,1.4619026919667037,-0.05724017118890227
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_BOTH_CORE_R17,1080,78,1002,1002,0,0,2.4065237185726494,1.4593116952777552,-0.04853698563801412
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_DOMESTIC_CORE_R17,1080,78,1002,1002,0,0,2.39845196234397,1.4586331709734432,-0.058958492995862276
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_IMPORTED_CORE_R17,1080,78,1002,1002,0,0,2.4175568782638903,1.4619120877131992,-0.03970302990507246
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_OWN_CORE_R17,1080,78,1002,1002,0,0,2.395426586342632,1.4548694993824915,-0.05626996638163697
core,common,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,1080,78,1002,1002,0,0,2.3481131256188172,1.4377509162759026,-0.004327814590592035
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_AR_CORE_R17,1080,78,1002,1002,0,0,2.566433157737204,1.5363104665601743,-0.06242330798454566
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_BOTH_CORE_R17,1080,78,1002,1002,0,0,2.563525415676322,1.5335261546264145,-0.052963642355463296
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_DOMESTIC_CORE_R17,1080,78,1002,1002,0,0,2.5540924783762313,1.5325583130182503,-0.06421095427243413
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_IMPORTED_CORE_R17,1080,78,1002,1002,0,0,2.5763065103377807,1.5366113572479845,-0.04303134010699548
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_OWN_CORE_R17,1080,78,1002,1002,0,0,2.5511226236557363,1.5286352570690083,-0.06120141251496349
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,STATE_FAST_R15,1080,78,1002,1002,0,0,2.4974094113520207,1.5092383430652085,-0.006125255271334043
core,common,full,0,pooled_h1_12,cumulative_pct,MONTHLY_AR_CORE_R17,1080,78,1002,1002,0,0,2.566433157737204,1.5363104665601743,-0.06242330798454566
core,common,full,0,pooled_h1_12,cumulative_pct,MONTHLY_BOTH_CORE_R17,1080,78,1002,1002,0,0,2.563525415676322,1.5335261546264145,-0.052963642355463296
core,common,full,0,pooled_h1_12,cumulative_pct,MONTHLY_DOMESTIC_CORE_R17,1080,78,1002,1002,0,0,2.5540924783762313,1.5325583130182503,-0.06421095427243413
core,common,full,0,pooled_h1_12,cumulative_pct,MONTHLY_IMPORTED_CORE_R17,1080,78,1002,1002,0,0,2.5763065103377807,1.5366113572479845,-0.04303134010699548
core,common,full,0,pooled_h1_12,cumulative_pct,MONTHLY_OWN_CORE_R17,1080,78,1002,1002,0,0,2.5511226236557363,1.5286352570690083,-0.06120141251496349
core,common,full,0,pooled_h1_12,cumulative_pct,STATE_FAST_R15,1080,78,1002,1002,0,0,2.4974094113520207,1.5092383430652085,-0.006125255271334043
core,primary_control_calendar,full,1,h1,mm,MONTHLY_AR_CORE_R17,90,1,89,89,0,0,0.32160644644895553,0.252232086028306,-0.007649209748227957
core,primary_control_calendar,full,1,h1,mm,MONTHLY_BOTH_CORE_R17,90,1,89,89,0,0,0.3205057158791502,0.25193586101800614,-0.004945634689663082
core,primary_control_calendar,full,1,h1,mm,MONTHLY_DOMESTIC_CORE_R17,90,1,89,89,0,0,0.32171008899665665,0.2522345198154279,-0.008845261508414137
core,primary_control_calendar,full,1,h1,mm,MONTHLY_IMPORTED_CORE_R17,90,1,89,89,0,0,0.3210193112777618,0.25191140128650263,-0.006944891026093875
core,primary_control_calendar,full,1,h1,mm,MONTHLY_OWN_CORE_R17,90,1,89,89,0,0,0.3213294832077736,0.2518965441146304,-0.008723969170240256
core,primary_control_calendar,full,1,h1,mm,STATE_FAST_R15,90,1,89,89,0,0,0.3188450241214641,0.24946739994620326,0.00014065834940250706
core,common,full,1,h1,mm,MONTHLY_AR_CORE_R17,90,1,89,89,0,0,0.32160644644895553,0.252232086028306,-0.007649209748227957
core,common,full,1,h1,mm,MONTHLY_BOTH_CORE_R17,90,1,89,89,0,0,0.3205057158791502,0.25193586101800614,-0.004945634689663082
core,common,full,1,h1,mm,MONTHLY_DOMESTIC_CORE_R17,90,1,89,89,0,0,0.32171008899665665,0.2522345198154279,-0.008845261508414137
core,common,full,1,h1,mm,MONTHLY_IMPORTED_CORE_R17,90,1,89,89,0,0,0.3210193112777618,0.25191140128650263,-0.006944891026093875
core,common,full,1,h1,mm,MONTHLY_OWN_CORE_R17,90,1,89,89,0,0,0.3213294832077736,0.2518965441146304,-0.008723969170240256
core,common,full,1,h1,mm,STATE_FAST_R15,90,1,89,89,0,0,0.3188450241214641,0.24946739994620326,0.00014065834940250706
core,primary_control_calendar,full,1,h1,cumulative_log,MONTHLY_AR_CORE_R17,90,1,89,89,0,0,0.3199122380463291,0.2510263373243472,-0.007067150452477724
core,primary_control_calendar,full,1,h1,cumulative_log,MONTHLY_BOTH_CORE_R17,90,1,89,89,0,0,0.3188269273411085,0.2507327247866743,-0.004381767698696112
