component,scope,sample,h,horizon_label,metric,model,n_rows_total,n_unavailable_targets,n_intended,n_scored,n_missing_forecasts,n_fallback,rmse,mae,bias
actual_rent,primary_control_calendar,full,1,h1,mm,CATEGORY_AR_R17,90,1,89,89,0,0,0.2514349471031558,0.1827457986701252,-0.05641215881006525
actual_rent,primary_control_calendar,full,1,h1,mm,CATEGORY_BOTH_R17,90,1,89,89,0,0,0.25440669676783517,0.18140823099828093,-0.007555739971420495
actual_rent,primary_control_calendar,full,1,h1,mm,CATEGORY_DOMESTIC_R17,90,1,89,89,0,0,0.24960360421848282,0.1810070798086074,-0.025390692050993372
actual_rent,primary_control_calendar,full,1,h1,mm,CATEGORY_IMPORTED_R17,90,1,89,89,0,0,0.25575132633117725,0.1798248375315146,-0.028979471636179283
actual_rent,primary_control_calendar,full,1,h1,mm,CATEGORY_PERSISTENCE_R17,90,1,89,89,0,0,0.2539460655512017,0.18572297265108925,-0.025433315336486708
actual_rent,common,full,1,h1,mm,CATEGORY_AR_R17,90,1,89,89,0,0,0.2514349471031558,0.1827457986701252,-0.05641215881006525
actual_rent,common,full,1,h1,mm,CATEGORY_BOTH_R17,90,1,89,89,0,0,0.25440669676783517,0.18140823099828093,-0.007555739971420495
actual_rent,common,full,1,h1,mm,CATEGORY_DOMESTIC_R17,90,1,89,89,0,0,0.24960360421848282,0.1810070798086074,-0.025390692050993372
actual_rent,common,full,1,h1,mm,CATEGORY_IMPORTED_R17,90,1,89,89,0,0,0.25575132633117725,0.1798248375315146,-0.028979471636179283
actual_rent,common,full,1,h1,mm,CATEGORY_PERSISTENCE_R17,90,1,89,89,0,0,0.2539460655512017,0.18572297265108925,-0.025433315336486708
actual_rent,primary_control_calendar,full,1,h1,cumulative_log,CATEGORY_AR_R17,90,1,89,89,0,0,0.2500558017609313,0.18192189068710782,-0.05587489589943086
actual_rent,primary_control_calendar,full,1,h1,cumulative_log,CATEGORY_BOTH_R17,90,1,89,89,0,0,0.25299424285132505,0.18057784377215588,-0.007194709931668816
actual_rent,primary_control_calendar,full,1,h1,cumulative_log,CATEGORY_DOMESTIC_R17,90,1,89,89,0,0,0.2482763239416246,0.18018698251197682,-0.024957401273148876
actual_rent,primary_control_calendar,full,1,h1,cumulative_log,CATEGORY_IMPORTED_R17,90,1,89,89,0,0,0.25430183900357045,0.17899125182702474,-0.028549141146315685
actual_rent,primary_control_calendar,full,1,h1,cumulative_log,CATEGORY_PERSISTENCE_R17,90,1,89,89,0,0,0.25261437825874344,0.1848991256363529,-0.025052016645585335
actual_rent,common,full,1,h1,cumulative_log,CATEGORY_AR_R17,90,1,89,89,0,0,0.2500558017609313,0.18192189068710782,-0.05587489589943086
actual_rent,common,full,1,h1,cumulative_log,CATEGORY_BOTH_R17,90,1,89,89,0,0,0.25299424285132505,0.18057784377215588,-0.007194709931668816
actual_rent,common,full,1,h1,cumulative_log,CATEGORY_DOMESTIC_R17,90,1,89,89,0,0,0.2482763239416246,0.18018698251197682,-0.024957401273148876
actual_rent,common,full,1,h1,cumulative_log,CATEGORY_IMPORTED_R17,90,1,89,89,0,0,0.25430183900357045,0.17899125182702474,-0.028549141146315685
actual_rent,common,full,1,h1,cumulative_log,CATEGORY_PERSISTENCE_R17,90,1,89,89,0,0,0.25261437825874344,0.1848991256363529,-0.025052016645585335
actual_rent,primary_control_calendar,full,1,h1,cumulative_pct,CATEGORY_AR_R17,90,1,89,89,0,0,0.2514349471031558,0.1827457986701252,-0.05641215881006525
actual_rent,primary_control_calendar,full,1,h1,cumulative_pct,CATEGORY_BOTH_R17,90,1,89,89,0,0,0.25440669676783517,0.18140823099828093,-0.007555739971420495
actual_rent,primary_control_calendar,full,1,h1,cumulative_pct,CATEGORY_DOMESTIC_R17,90,1,89,89,0,0,0.24960360421848282,0.1810070798086074,-0.025390692050993372
actual_rent,primary_control_calendar,full,1,h1,cumulative_pct,CATEGORY_IMPORTED_R17,90,1,89,89,0,0,0.25575132633117725,0.1798248375315146,-0.028979471636179283
actual_rent,primary_control_calendar,full,1,h1,cumulative_pct,CATEGORY_PERSISTENCE_R17,90,1,89,89,0,0,0.2539460655512017,0.18572297265108925,-0.025433315336486708
actual_rent,common,full,1,h1,cumulative_pct,CATEGORY_AR_R17,90,1,89,89,0,0,0.2514349471031558,0.1827457986701252,-0.05641215881006525
actual_rent,common,full,1,h1,cumulative_pct,CATEGORY_BOTH_R17,90,1,89,89,0,0,0.25440669676783517,0.18140823099828093,-0.007555739971420495
actual_rent,common,full,1,h1,cumulative_pct,CATEGORY_DOMESTIC_R17,90,1,89,89,0,0,0.24960360421848282,0.1810070798086074,-0.025390692050993372
actual_rent,common,full,1,h1,cumulative_pct,CATEGORY_IMPORTED_R17,90,1,89,89,0,0,0.25575132633117725,0.1798248375315146,-0.028979471636179283
actual_rent,common,full,1,h1,cumulative_pct,CATEGORY_PERSISTENCE_R17,90,1,89,89,0,0,0.2539460655512017,0.18572297265108925,-0.025433315336486708
actual_rent,primary_control_calendar,full,2,h2,mm,CATEGORY_AR_R17,90,2,88,88,0,0,0.2501646548067217,0.18700685958927438,-0.057848714029215945
actual_rent,primary_control_calendar,full,2,h2,mm,CATEGORY_BOTH_R17,90,2,88,88,0,0,0.2611070246811689,0.19434180001275683,-0.01734060091284737
actual_rent,primary_control_calendar,full,2,h2,mm,CATEGORY_DOMESTIC_R17,90,2,88,88,0,0,0.24435592209074475,0.18327365692151895,-0.04151405170314781
actual_rent,primary_control_calendar,full,2,h2,mm,CATEGORY_IMPORTED_R17,90,2,88,88,0,0,0.264048417908316,0.19508249034792496,-0.023278359849688623
actual_rent,primary_control_calendar,full,2,h2,mm,CATEGORY_PERSISTENCE_R17,90,2,88,88,0,0,0.25333419533214,0.1912907746472248,-0.02725578875069604
actual_rent,common,full,2,h2,mm,CATEGORY_AR_R17,90,2,88,88,0,0,0.2501646548067217,0.18700685958927438,-0.057848714029215945
actual_rent,common,full,2,h2,mm,CATEGORY_BOTH_R17,90,2,88,88,0,0,0.2611070246811689,0.19434180001275683,-0.01734060091284737
actual_rent,common,full,2,h2,mm,CATEGORY_DOMESTIC_R17,90,2,88,88,0,0,0.24435592209074475,0.18327365692151895,-0.04151405170314781
actual_rent,common,full,2,h2,mm,CATEGORY_IMPORTED_R17,90,2,88,88,0,0,0.264048417908316,0.19508249034792496,-0.023278359849688623
actual_rent,common,full,2,h2,mm,CATEGORY_PERSISTENCE_R17,90,2,88,88,0,0,0.25333419533214,0.1912907746472248,-0.02725578875069604
actual_rent,primary_control_calendar,full,2,h2,cumulative_log,CATEGORY_AR_R17,90,2,88,88,0,0,0.39155807509393453,0.30961729188856,-0.11348403568605851
actual_rent,primary_control_calendar,full,2,h2,cumulative_log,CATEGORY_BOTH_R17,90,2,88,88,0,0,0.39889203428459113,0.31165716969441104,-0.02484412723027992
actual_rent,primary_control_calendar,full,2,h2,cumulative_log,CATEGORY_DOMESTIC_R17,90,2,88,88,0,0,0.3767913960792558,0.29824390445007576,-0.06630139218582189
actual_rent,primary_control_calendar,full,2,h2,cumulative_log,CATEGORY_IMPORTED_R17,90,2,88,88,0,0,0.41115127288660397,0.32282937847568666,-0.05208019798023131
actual_rent,primary_control_calendar,full,2,h2,cumulative_log,CATEGORY_PERSISTENCE_R17,90,2,88,88,0,0,0.4010205189471762,0.31302445040521404,-0.05188346289633103
actual_rent,common,full,2,h2,cumulative_log,CATEGORY_AR_R17,90,2,88,88,0,0,0.39155807509393453,0.30961729188856,-0.11348403568605851
actual_rent,common,full,2,h2,cumulative_log,CATEGORY_BOTH_R17,90,2,88,88,0,0,0.39889203428459113,0.31165716969441104,-0.02484412723027992
actual_rent,common,full,2,h2,cumulative_log,CATEGORY_DOMESTIC_R17,90,2,88,88,0,0,0.3767913960792558,0.29824390445007576,-0.06630139218582189
actual_rent,common,full,2,h2,cumulative_log,CATEGORY_IMPORTED_R17,90,2,88,88,0,0,0.41115127288660397,0.32282937847568666,-0.05208019798023131
actual_rent,common,full,2,h2,cumulative_log,CATEGORY_PERSISTENCE_R17,90,2,88,88,0,0,0.4010205189471762,0.31302445040521404,-0.05188346289633103
