date,product,actual_gross,reconstructed_gross,difference
2005-01-03,petrol95,25.13799716999998,25.13766732609999,-0.0003298438999905784
2005-01-10,petrol95,24.75402025000003,24.75425618050001,0.00023593049998282822
2005-01-17,petrol95,24.519003749999985,24.518877512499987,-0.000126237499998183
2005-01-24,petrol95,24.351081499999967,24.350817227799983,-0.0002642721999848163
2005-01-31,petrol95,24.394110400000002,24.393715514,-0.00039488600000225915
2005-02-07,petrol95,24.518867000000004,24.51872311,-0.00014389000000392116
2005-02-14,petrol95,24.443090099999996,24.443153528499995,6.342849999896316e-05
2005-02-21,petrol95,24.70001256000002,24.699471424600013,-0.0005411354000059987
2005-02-28,petrol95,24.74706828999997,24.747138528699985,7.023870001532373e-05
2005-03-07,petrol95,24.975068999999998,24.975122619999997,5.361999999919931e-05
2005-03-14,petrol95,25.050143899999984,25.05016776849999,2.386850000490881e-05
2005-03-21,petrol95,25.105128960000016,25.104977228800003,-0.0001517312000132165
2005-04-04,petrol95,26.31793359999997,26.318213977999985,0.00028037800001357027
2005-04-11,petrol95,27.306125979999972,27.305903696399987,-0.00022228359998521796
2005-04-18,petrol95,27.53388380000004,27.534224403000017,0.0003406029999766247
2005-04-25,petrol95,27.575999749999966,27.57591670749998,-8.304249998403179e-05
2005-05-02,petrol95,27.726008649999986,27.725923109499988,-8.55404999988707e-05
2005-05-09,petrol95,27.80796150000002,27.808003300000006,4.1799999987546244e-05
2005-05-16,petrol95,27.75194805,27.7518866485,-6.140149999822597e-05
2005-05-23,petrol95,27.729896700000022,27.73007141380001,0.00017471379998923453
2005-05-30,petrol95,27.70389777000003,27.704105625700013,0.0002078556999833836
2005-06-06,petrol95,27.854927240000006,27.854937494999998,1.0254999992298508e-05
2005-06-13,petrol95,28.325911479999984,28.325453879799994,-0.0004576001999900825
2005-06-20,petrol95,28.343135040000025,28.342956185600016,-0.00017885440000853237
2005-06-27,petrol95,28.614079620000037,28.614041232000016,-3.8388000021427615e-05
2005-07-04,petrol95,28.614094069999982,28.614010184899993,-8.388509998979998e-05
2005-07-11,petrol95,28.739148199999992,28.739027098599998,-0.00012110139999421676
2005-07-18,petrol95,29.65496455999997,29.654952034399983,-1.2525599988322256e-05
2005-07-25,petrol95,29.64907155000003,29.648990753200017,-8.079680001316092e-05
2005-08-01,petrol95,29.633934200000002,29.6339848532,5.065319999886242e-05
2005-08-08,petrol95,29.667079819999962,29.66659479209998,-0.00048502789998394746
2005-08-15,petrol95,29.643930240000014,29.644096854400004,0.00016661439999055006
2005-08-22,petrol95,29.65593116999997,29.655943459099987,1.2289100016715793e-05
2005-08-29,petrol95,29.672087620000035,29.672131409900018,4.378989998343741e-05
2005-09-05,petrol95,32.184931380000016,32.184801166,-0.00013021400001633765
2005-09-12,petrol95,33.623961,33.624140557000004,0.0001795570000027169
2005-09-19,petrol95,33.33885600000002,33.339133712500015,0.00027771249999375414
2005-09-26,petrol95,32.81811240000001,32.81795335140001,-0.00015904860000404142
2005-10-03,petrol95,32.636907869999995,32.63703064229999,0.00012277229999568817
2005-10-10,petrol95,32.620952940000045,32.62144111870003,0.000488178699981745
2005-10-17,petrol95,32.47593675000002,32.47617385600001,0.00023710599999304804
2005-10-24,petrol95,32.00389089,32.004005168099994,0.00011427809999275951
2005-11-07,petrol95,31.26292556000001,31.262899360000006,-2.620000000419509e-05
2005-11-14,petrol95,30.60904528000004,30.609061737800022,1.645779998327157e-05
2005-11-21,petrol95,29.87097749999999,29.871320499999992,0.0003430000000008704
2005-11-28,petrol95,29.371957560000016,29.37215575770001,0.00019819769999429582
2005-12-05,petrol95,29.024937300000023,29.02526610480001,0.00032880479998809164
2005-12-12,petrol95,28.573943399999987,28.574086981999994,0.00014358200000685883
2005-12-19,petrol95,28.386921119999986,28.387308342399994,0.0003872224000076585
