date,gross_petrol95,gross_diesel,petrol95,diesel,petrol95_difference,diesel_difference
2016-01-04,28.42711508000001,27.906922330000008,28.43,27.91,-0.0028849199999889663,-0.003077669999992594
2016-01-11,28.208032530000004,27.520888500000005,28.21,27.52,-0.0019674699999967515,0.0008885000000056209
2016-01-18,27.911106209999982,27.104051759999983,27.91,27.1,0.0011062099999818997,0.004051759999981641
2016-01-25,27.631134180000004,26.598931980000003,27.63,26.6,0.0011341800000046476,-0.001068019999998171
2016-02-01,27.320933100000005,26.02608678,27.32,26.03,0.0009331000000045719,-0.003913220000001161
2016-02-08,27.167000559999966,25.72892587999997,27.17,25.73,-0.0029994400000354915,-0.0010741200000303763
2016-02-15,26.829896579999986,25.439113299999985,26.83,25.44,-0.00010342000001273277,-0.0008867000000165604
2016-02-22,26.42400314000002,25.129108900000023,26.42,25.13,0.004003140000019556,-0.0008910999999756086
2016-02-29,26.223103259999995,24.940060319999997,26.22,24.94,0.0031032599999960553,6.0319999995783746e-05
2016-03-07,26.26894095999998,25.073065759999988,26.27,25.07,-0.001059040000018996,0.003065759999987705
2016-03-14,26.477080999999984,25.534929499999983,26.48,25.54,-0.002919000000016325,-0.005070500000016409
2016-04-04,27.38001809999999,25.92710697999999,27.38,25.93,1.8099999991250115e-05,-0.0028930200000090167
2016-04-11,27.521927100000028,25.790911800000025,27.52,25.79,0.001927100000028048,0.0009118000000256643
2016-04-18,27.741055420000023,25.981923220000024,27.74,25.98,0.0010554200000250091,0.001923220000023207
2016-04-25,27.89789862000003,26.17906177000003,27.9,26.18,-0.002101379999967179,-0.00093822999997073
2016-05-02,28.208900160000027,26.42400264000002,28.21,26.42,-0.0010998399999735398,0.004002640000017266
2016-05-09,28.410930800000028,26.639098260000026,28.41,26.64,0.0009308000000274319,-0.0009017399999748932
2016-05-16,28.40009208000001,26.737907350000008,28.4,26.74,9.208000001237338e-05,-0.0020926499999909254
2016-05-23,28.617133800000012,27.071927520000013,28.62,27.07,-0.0028661999999890497,0.001927520000013061
2016-05-30,29.149984590000003,27.658965810000005,29.15,27.66,-1.5409999996052193e-05,-0.00103418999999505
2016-06-06,29.55397418000001,28.023121230000008,29.55,28.02,0.0039741800000108185,0.0031212300000085236
2016-06-13,29.677130550000005,28.212103900000002,29.68,28.21,-0.002869449999995055,0.0021039000000016017
2016-06-20,29.71003203,28.274069250000004,29.71,28.27,3.202999999984968e-05,0.004069250000004132
2016-06-27,29.720027619999982,28.32202262999999,29.72,28.32,2.7619999983130583e-05,0.002022629999988368
2016-07-11,29.603081669999984,28.318013059999988,29.6,28.32,0.003081669999982495,-0.001986940000012538
2016-07-18,29.402111999999992,28.119012479999988,29.4,28.12,0.0021119999999932304,-0.0009875200000131201
2016-07-25,29.332124250000007,28.063030250000015,29.33,28.06,0.0021242500000084874,0.0030302500000161103
2016-08-01,29.212132330000006,27.955013540000007,29.21,27.96,0.0021323300000055667,-0.004986459999994253
2016-08-08,28.9080792,27.532945440000002,28.91,27.53,-0.001920800000000611,0.002945440000001298
2016-08-15,28.73193452000001,27.38808073000001,28.73,27.39,0.0019345200000095986,-0.0019192699999912577
2016-08-22,28.90297871999999,27.63095903999999,28.9,27.63,0.0029787199999908864,0.0009590399999908072
2016-08-29,28.972979680000012,27.70587121000001,28.97,27.71,0.0029796800000134738,-0.004128789999992222
2016-09-05,29.061085500000004,27.762996660000006,29.06,27.76,0.0010855000000056236,0.0029966600000044252
2016-09-12,29.041882079999993,27.75202655999999,29.04,27.75,0.001882079999994346,0.0020265599999902406
2016-09-19,29.05000689,27.768130650000007,29.05,27.77,6.889999998094254e-06,-0.0018693499999926644
2016-09-26,29.038117650000007,27.715980120000005,29.04,27.72,-0.001882349999991817,-0.0040198799999942025
2016-10-03,29.068110960000006,27.743001120000006,29.07,27.74,-0.0018890399999946794,0.0030011200000075178
2016-10-10,29.155118580000007,28.018074900000006,29.16,28.02,-0.004881419999993142,-0.0019250999999940177
