horizon,policy,model,n,rmse,mae,bias,directional_hit,fallback_rate
1,independent,TVW_QRF,78,0.902429494856486,0.5074503723618632,0.004232930749562622,0.782051282051282,0.01282051282051282
1,independent,BBIM,78,1.0330901512710169,0.5900051335937309,-0.198380391806741,0.7307692307692307,0.01282051282051282
1,common,AR3,78,1.0556060729896837,0.5888306498301841,-0.04483852058454475,0.7051282051282052,0.0
1,common,RW,78,1.3213809267689134,0.7999346831995021,0.010625760133965736,0.5512820512820513,0.0
3,independent,TVW_QRF,76,1.0003873480852603,0.6057989619456259,-0.005390424229505596,0.6973684210526315,0.039473684210526314
3,independent,BBIM,76,1.044297468088801,0.6058022213777634,-0.18662875212892263,0.7236842105263158,0.039473684210526314
3,common,AR3,76,1.0920323305537079,0.635262190547098,-0.06434900473583459,0.6842105263157895,0.0
3,common,RW,76,1.3996091799846817,0.7601678078221502,0.014937037539701676,0.6578947368421053,0.0
6,independent,TVW_QRF,73,1.0428191043867063,0.6573700511223421,-0.06073008704406294,0.7397260273972602,0.0821917808219178
6,independent,BBIM,73,1.0607411213489135,0.6218801090143533,-0.20288789958625247,0.7397260273972602,0.0821917808219178
6,common,AR3,73,1.0863178290286806,0.6775988871218284,0.029127832196462793,0.7534246575342466,0.0
6,common,RW,73,1.2503174705683857,0.7728128990428549,0.013527753470585848,0.6164383561643836,0.0
9,independent,TVW_QRF,70,1.0501491682340214,0.716036401283222,-0.11978991582465479,0.7285714285714285,0.12857142857142856
9,independent,BBIM,70,1.0880856449621765,0.6345302242438101,-0.20553125752647158,0.7285714285714285,0.12857142857142856
9,common,AR3,70,1.137884773936868,0.727812098310495,-0.08615924944188011,0.7428571428571429,0.0
9,common,RW,70,1.4178976705759587,0.8282738229164965,0.007880496348191076,0.6714285714285714,0.0
12,independent,TVW_QRF,67,0.9922392745328491,0.6868203281731986,-0.06412428454796334,0.6716417910447762,0.1791044776119403
12,common,RW,67,1.0507789359348412,0.7138147949776341,0.008193201486046879,0.6716417910447762,0.0
12,independent,BBIM,67,1.0670602865899652,0.622419216186697,-0.23579319720218286,0.6865671641791045,0.1791044776119403
12,common,AR3,67,1.1920738749338178,0.8036253796515737,0.09542027657837926,0.7014925373134329,0.0
