model,omitted_period,reference_rmse,candidate_rmse,relative_rmse_gain
R9_BASE,2019-02,0.42010764304855075,0.42010764304855075,0.0
R9_BASE,2019-03,0.42015789426432565,0.42015789426432565,0.0
R9_BASE,2019-04,0.4191897467031229,0.4191897467031229,0.0
R9_BASE,2019-05,0.41727233915900896,0.41727233915900896,0.0
R9_BASE,2019-06,0.42021602694934274,0.42021602694934274,0.0
R9_BASE,2019-07,0.4202764413014783,0.4202764413014783,0.0
R9_BASE,2019-08,0.4202826410962219,0.4202826410962219,0.0
R9_BASE,2019-09,0.4191792942090844,0.4191792942090844,0.0
R9_BASE,2019-10,0.4193131567915026,0.4193131567915026,0.0
R9_BASE,2019-11,0.42003200305762134,0.42003200305762134,0.0
R9_BASE,2019-12,0.4198359660795065,0.4198359660795065,0.0
R9_BASE,2020-01,0.4153072380969587,0.4153072380969587,0.0
R9_BASE,2020-02,0.420292995648092,0.420292995648092,0.0
R9_BASE,2020-03,0.4199418369230324,0.4199418369230324,0.0
R9_BASE,2020-04,0.42010818755208623,0.42010818755208623,0.0
R9_BASE,2020-05,0.41961905071812056,0.41961905071812056,0.0
R9_BASE,2020-06,0.41941529755146656,0.41941529755146656,0.0
R9_BASE,2020-07,0.420191960990069,0.420191960990069,0.0
R9_BASE,2020-08,0.42027835601570396,0.42027835601570396,0.0
R9_BASE,2020-09,0.41964148139724305,0.41964148139724305,0.0
R9_BASE,2020-10,0.420289414171003,0.420289414171003,0.0
R9_BASE,2020-11,0.420055829932072,0.420055829932072,0.0
R9_BASE,2020-12,0.41841515193065487,0.41841515193065487,0.0
R9_BASE,2021-01,0.41731184857448544,0.41731184857448544,0.0
R9_BASE,2021-02,0.41959286260200945,0.41959286260200945,0.0
R9_BASE,2021-03,0.42026211719812856,0.42026211719812856,0.0
R9_BASE,2021-04,0.4194966426390018,0.4194966426390018,0.0
R9_BASE,2021-05,0.418478792189829,0.418478792189829,0.0
R9_BASE,2021-06,0.41990504035221954,0.41990504035221954,0.0
