period,model,block,prediction,weight,contribution,units
2019-04,POOL_48,catering,0.1535268387802252,0.051351304,0.007883803370362333,headline percentage-point projection
2019-04,POOL_48,accommodation,1.0417882754646859,0.007778524,0.008103575103620671,headline percentage-point projection
2019-04,POOL_48,package_holidays,-2.0353890748112677,0.019182249,-0.039043340044909364,headline percentage-point projection
2019-04,POOL_48,remaining_core_tax_reconciliation,0.5277556749689113,0.33478561458983724,0.17668500799774134,headline percentage-point projection
2019-05,POOL_SEPARATE,actual_rent,0.02002088645172337,0.033660201,0.0006739070621631854,headline percentage-point projection
2019-05,POOL_SEPARATE,imputed_rent,0.6795703880009955,0.10385733600000001,0.07057837012226977,headline percentage-point projection
2019-05,POOL_SEPARATE,catering,0.3145288319965575,0.051351304,0.016151465668620153,headline percentage-point projection
2019-05,POOL_SEPARATE,accommodation,0.5678369928654661,0.007778524,0.004416933677091857,headline percentage-point projection
2019-05,POOL_SEPARATE,package_holidays,0.588821368408822,0.019182249,0.011294918105338758,headline percentage-point projection
2019-05,POOL_SEPARATE,remaining_core_tax_reconciliation,-0.011970351903822604,0.33507297658528257,-0.004010941443187144,headline percentage-point projection
2019-05,POOL_12,actual_rent,0.029661168181510822,0.033660201,0.0009984008828844587,headline percentage-point projection
2019-05,POOL_12,imputed_rent,0.6682937348906266,0.10385733600000001,0.06940720697123073,headline percentage-point projection
2019-05,POOL_12,catering,0.32150857158682344,0.051351304,0.016509884398160733,headline percentage-point projection
2019-05,POOL_12,accommodation,0.6444118772416628,0.007778524,0.005012573253009328,headline percentage-point projection
2019-05,POOL_12,package_holidays,-0.03877732896474284,0.019182249,-0.0007438363797566093,headline percentage-point projection
2019-05,POOL_12,remaining_core_tax_reconciliation,-0.004541089996002584,0.33507297658528257,-0.0015215965419022347,headline percentage-point projection
2019-05,POOL_48,actual_rent,0.045431444915791874,0.033660201,0.0015292315675859826,headline percentage-point projection
2019-05,POOL_48,imputed_rent,0.6451989217445333,0.10385733600000001,0.06700864120245971,headline percentage-point projection
2019-05,POOL_48,catering,0.32945165029981427,0.051351304,0.016917771847847454,headline percentage-point projection
2019-05,POOL_48,accommodation,0.7240530116661303,0.007778524,0.005632063728517275,headline percentage-point projection
2019-05,POOL_48,package_holidays,-0.5264203033562873,0.019182249,-0.010097925337635838,headline percentage-point projection
2019-05,POOL_48,remaining_core_tax_reconciliation,0.002180219615139478,0.33507297658528257,0.0007305326760544042,headline percentage-point projection
2019-06,POOL_SEPARATE,actual_rent,0.0497358039829188,0.033660201,0.0016741171589616474,headline percentage-point projection
2019-06,POOL_SEPARATE,imputed_rent,0.28743423204489793,0.10385733600000001,0.029852153615388934,headline percentage-point projection
2019-06,POOL_SEPARATE,catering,0.1016620445617322,0.051351304,0.005220478555551057,headline percentage-point projection
2019-06,POOL_SEPARATE,accommodation,0.2970382254481967,0.007778524,0.0023105189655662087,headline percentage-point projection
2019-06,POOL_SEPARATE,package_holidays,4.020095891059494,0.019182249,0.07711448038618009,headline percentage-point projection
2019-06,POOL_SEPARATE,remaining_core_tax_reconciliation,-0.06963482026649172,0.33552260819602475,-0.023364056517074704,headline percentage-point projection
2019-06,POOL_12,actual_rent,0.06761009757891241,0.033660201,0.0022757694741358052,headline percentage-point projection
2019-06,POOL_12,imputed_rent,0.283594319317384,0.10385733600000001,0.029453350509036844,headline percentage-point projection
2019-06,POOL_12,catering,0.09822281065473024,0.051351304,0.005043869409665491,headline percentage-point projection
2019-06,POOL_12,accommodation,0.3436121876026125,0.007778524,0.0026727956479594235,headline percentage-point projection
2019-06,POOL_12,package_holidays,3.7928753819035124,0.019182249,0.07275588000164326,headline percentage-point projection
2019-06,POOL_12,remaining_core_tax_reconciliation,-0.0745012612388365,0.33552260819602475,-0.024996857484747826,headline percentage-point projection
2019-06,POOL_48,actual_rent,0.08629471636046787,0.033660201,0.002904697497931337,headline percentage-point projection
2019-06,POOL_48,imputed_rent,0.2714346354274216,0.10385733600000001,0.02819047813362323,headline percentage-point projection
2019-06,POOL_48,catering,0.09966112951638811,0.051351304,0.005117728958779419,headline percentage-point projection
