model,reference,frame,n,delta_rmse,delta_mae,direction
POOL_SEPARATE,TARGET_OWN,all,90,-0.0017351811186148702,-0.0013027605523908137,negative is improvement
POOL_SEPARATE,TARGET_OWN,2024+,31,-0.0003927345683734651,0.0007027262847994487,negative is improvement
POOL_SEPARATE,TARGET_OWN,big,23,-0.005710786417614577,-0.00895412722670308,negative is improvement
POOL_12,TARGET_OWN,all,90,-0.0024137512119932203,-0.001849898973906805,negative is improvement
POOL_12,TARGET_OWN,2024+,31,0.00046619282978527243,0.00019678665191760758,negative is improvement
POOL_12,TARGET_OWN,big,23,-0.008741229831284447,-0.014945171338335894,negative is improvement
POOL_12,POOL_SEPARATE,all,90,-0.0006785700933783501,-0.0005471384215159913,negative is improvement
POOL_12,POOL_SEPARATE,2024+,31,0.0008589273981587375,-0.0005059396328818411,negative is improvement
POOL_12,POOL_SEPARATE,big,23,-0.00303044341366987,-0.005991044111632815,negative is improvement
POOL_48,TARGET_OWN,all,90,-0.0015161912675151212,-0.0023005287480225567,negative is improvement
POOL_48,TARGET_OWN,2024+,31,0.0028362875667128917,0.0004555045968042126,negative is improvement
POOL_48,TARGET_OWN,big,23,-0.010325602053699479,-0.02103831745997392,negative is improvement
POOL_48,POOL_SEPARATE,all,90,0.000218989851099749,-0.000997768195631743,negative is improvement
POOL_48,POOL_SEPARATE,2024+,31,0.003229022135086357,-0.00024722168799523603,negative is improvement
POOL_48,POOL_SEPARATE,big,23,-0.004614815636084901,-0.012084190233270842,negative is improvement
