month,imputed_rent
2015-01,99.599999999999994
2015-02,99.5
2015-03,99.5
2015-04,99.599999999999994
2015-05,100
2015-06,100.09999999999999
2015-07,100.09999999999999
2015-08,100.09999999999999
2015-09,100.3
2015-10,100.5
2015-11,100.40000000000001
2015-12,100.5
2016-01,100.7
2016-02,100.5
2016-03,100.40000000000001
2016-04,100.5
2016-05,101.09999999999999
2016-06,101
2016-07,101
2016-08,101.2
2016-09,101.40000000000001
2016-10,101.7
2016-11,101.8
2016-12,102.5
2017-01,103
2017-02,103.40000000000001
2017-03,103.7
2017-04,104.09999999999999
2017-05,104.90000000000001
2017-06,105.40000000000001
2017-07,105.8
2017-08,106.40000000000001
2017-09,106.7
2017-10,107.09999999999999
2017-11,107.09999999999999
2017-12,107.3
2018-01,107.3
2018-02,107.3
2018-03,107.5
2018-04,108.3
2018-05,108.90000000000001
2018-06,109.2
2018-07,109.59999999999999
2018-08,110.7
2018-09,111.40000000000001
2018-10,112.40000000000001
2018-11,113
2018-12,113.5
2019-01,113.7
2019-02,113.59999999999999
2019-03,113.59999999999999
2019-04,114.3
2019-05,115
2019-06,115.40000000000001
2019-07,115.59999999999999
2019-08,116.09999999999999
2019-09,116.3
2019-10,117
2019-11,117.59999999999999
2019-12,118
2020-01,118.09999999999999
2020-02,117.8
2020-03,117.59999999999999
2020-04,117.5
2020-05,117.90000000000001
2020-06,118.2
2020-07,118.3
2020-08,118.09999999999999
2020-09,118.3
2020-10,118.7
2020-11,119.40000000000001
2020-12,119.8
2021-01,120.2
2021-02,120.40000000000001
2021-03,120.5
2021-04,121
2021-05,122
2021-06,123.5
2021-07,125.40000000000001
2021-08,127.8
2021-09,130.5
2021-10,133.90000000000001
2021-11,136.5
2021-12,137.40000000000001
2022-01,138.5
2022-02,139.30000000000001
2022-03,140.19999999999999
2022-04,142.40000000000001
2022-05,145.30000000000001
2022-06,148.30000000000001
2022-07,149.59999999999999
2022-08,150.80000000000001
2022-09,151.90000000000001
2022-10,152.69999999999999
2022-11,152.69999999999999
2022-12,152.40000000000001
2023-01,151.09999999999999
2023-02,150
2023-03,149.69999999999999
2023-04,149.40000000000001
2023-05,149.80000000000001
2023-06,150.5
2023-07,150.90000000000001
2023-08,151.40000000000001
2023-09,152
2023-10,152.69999999999999
2023-11,153.40000000000001
2023-12,153.30000000000001
2024-01,151.69999999999999
2024-02,151.5
2024-03,151.09999999999999
2024-04,150.90000000000001
2024-05,151.30000000000001
2024-06,151.69999999999999
2024-07,152.30000000000001
2024-08,153.19999999999999
2024-09,154.09999999999999
2024-10,155.30000000000001
2024-11,155.69999999999999
2024-12,155.90000000000001
2025-01,156.09999999999999
2025-02,156.19999999999999
2025-03,156.5
2025-04,157.09999999999999
2025-05,158.30000000000001
2025-06,159.09999999999999
2025-07,159.69999999999999
2025-08,160.69999999999999
2025-09,161.59999999999999
2025-10,162.69999999999999
2025-11,163.09999999999999
2025-12,163.69999999999999
2026-01,164
2026-02,164.19999999999999
2026-03,164.90000000000001
2026-04,165.59999999999999
2026-05,166.69999999999999
2026-06,167.30000000000001
2026-07,168.80000000000001
