period,older_source_mm,frozen_food_mm,difference
2015-02,-0.09910802775026095,-0.0991080277502609,-5.551115123125783e-17
2015-03,0.0,0.0,0.0
2015-04,0.29761904761904656,0.2976190476190465,5.551115123125783e-17
2015-05,0.3956478733926794,0.3956478733926794,0.0
2015-06,0.0,0.0,0.0
2015-07,-1.871921182266012,-1.871921182266012,0.0
2015-08,-0.8032128514056214,-0.8032128514056214,0.0
2015-09,0.7085020242914908,0.7085020242914908,0.0
2015-10,-0.3015075376884391,-0.3015075376884391,0.0
2015-11,-0.7056451612903247,-0.7056451612903247,0.0
2015-12,-0.9137055837563524,-0.9137055837563524,0.0
2016-01,1.3319672131147708,1.3319672131147708,0.0
2016-02,0.30333670374114163,0.3033367037411416,5.551115123125783e-17
2016-03,0.0,0.0,0.0
2016-04,0.3024193548387011,0.3024193548387011,0.0
2016-05,-0.5025125628140725,-0.5025125628140725,0.0
2016-06,-0.6060606060605989,-0.6060606060605989,0.0
2016-07,0.5081300813008172,0.5081300813008172,0.0
2016-08,-0.6066734074823166,-0.6066734074823166,0.0
2016-09,0.0,0.0,0.0
2016-10,-0.3051881993896166,-0.3051881993896166,0.0
2016-11,2.1428571428571352,2.1428571428571352,0.0
2016-12,0.6993006993007089,0.6993006993007089,0.0
2017-01,1.5873015873016039,1.587301587301604,-2.220446049250313e-16
2017-02,1.3671875,1.3671875,0.0
2017-03,-0.19267822736031004,-0.19267822736031,-2.7755575615628914e-17
2017-04,-0.4826254826254872,-0.4826254826254872,0.0
2017-05,0.38797284190106307,0.387972841901063,5.551115123125783e-17
2017-06,0.19323671497584183,0.1932367149758418,2.7755575615628914e-17
2017-07,0.867888138862094,0.867888138862094,0.0
2017-08,-0.7648183556405286,-0.7648183556405286,0.0
2017-09,0.09633911368016612,0.0963391136801661,2.7755575615628914e-17
2017-10,1.6361886429258732,1.6361886429258732,0.0
2017-11,0.18939393939394478,0.1893939393939447,8.326672684688674e-17
2017-12,0.5671077504725952,0.5671077504725952,0.0
2018-01,0.5639097744360777,0.5639097744360777,0.0
2018-02,-0.747663551401867,-0.747663551401867,0.0
2018-03,-0.5649717514124353,-0.5649717514124353,0.0
2018-04,-0.5681818181818121,-0.5681818181818121,0.0
2018-05,0.952380952380949,0.952380952380949,0.0
2018-06,0.4716981132075526,0.4716981132075526,0.0
2018-07,-1.8779342723004744,-1.8779342723004744,0.0
2018-08,-0.0956937799043045,-0.0956937799043045,0.0
2018-09,0.8620689655172376,0.8620689655172376,0.0
2018-10,0.47483380816715215,0.4748338081671521,5.551115123125783e-17
2018-11,-1.2287334593572785,-1.2287334593572783,-2.220446049250313e-16
2018-12,1.2440191387559807,1.2440191387559807,0.0
2019-01,0.945179584120992,0.945179584120992,0.0
2019-02,0.7490636704119868,0.7490636704119868,0.0
2019-03,0.0,0.0,0.0
2019-04,-0.6505576208178376,-0.6505576208178376,0.0
2019-05,1.9644527595883865,1.9644527595883865,0.0
2019-06,0.3669724770642313,0.3669724770642313,0.0
2019-07,-0.5484460694698434,-0.5484460694698434,0.0
2019-08,-0.27573529411764053,-0.2757352941176405,-5.551115123125783e-17
2019-09,-0.552995391705069,-0.552995391705069,0.0
2019-10,0.8341056533827551,0.8341056533827551,0.0
2019-11,1.194852941176472,1.194852941176472,0.0
2019-12,0.7266121707538709,0.7266121707538709,0.0
2020-01,2.3444544634806164,2.3444544634806164,0.0
2020-02,0.0,0.0,0.0
2020-03,0.8810572687224738,0.8810572687224738,0.0
2020-04,0.6113537117903967,0.6113537117903967,0.0
2020-05,0.607638888888884,0.607638888888884,0.0
2020-06,-0.5176876617773996,-0.5176876617773996,0.0
2020-07,-1.4744145706851675,-1.4744145706851677,2.220446049250313e-16
2020-08,-0.5281690140845008,-0.5281690140845008,0.0
2020-09,-1.2389380530973493,-1.2389380530973493,0.0
2020-10,0.6272401433691677,0.6272401433691677,0.0
2020-11,-0.08904719501334757,-0.0890471950133475,-6.938893903907228e-17
2020-12,-1.2477718360071388,-1.2477718360071388,0.0
2021-01,3.068592057761732,3.068592057761732,0.0
2021-02,0.0,0.0,0.0
2021-03,0.0,0.0,0.0
2021-04,0.7880910683012221,0.7880910683012221,0.0
2021-05,-0.6081668114682803,-0.6081668114682803,0.0
2021-06,-0.2622377622377714,-0.2622377622377714,0.0
2021-07,0.35056967572304476,0.3505696757230447,5.551115123125783e-17
2021-08,0.26200873362445254,0.2620087336244525,5.551115123125783e-17
2021-09,-0.9581881533101022,-0.9581881533101022,0.0
2021-10,-0.3518029903254227,-0.3518029903254227,0.0
2021-11,1.0591350397175736,1.0591350397175736,0.0
2021-12,0.698689956331866,0.698689956331866,0.0
2022-01,4.4232437120555135,4.4232437120555135,0.0
2022-02,1.4119601328903553,1.4119601328903553,0.0
2022-03,0.7371007371007376,0.7371007371007376,0.0
2022-04,3.577235772357734,3.577235772357734,0.0
2022-05,3.375196232339084,3.375196232339084,0.0
2022-06,2.2019741837509432,2.2019741837509432,0.0
2022-07,1.4858841010401136,1.4858841010401136,0.0
2022-08,0.5124450951683901,0.5124450951683901,0.0
2022-09,0.21849963583393528,0.2184996358339352,8.326672684688674e-17
2022-10,2.9796511627906863,2.9796511627906863,0.0
2022-11,1.8348623853211121,1.834862385321112,2.220446049250313e-16
2022-12,0.2772002772002624,0.2772002772002624,0.0
2023-01,3.870076019350388,3.870076019350388,0.0
2023-02,0.6653359946773074,0.6653359946773074,0.0
2023-03,0.396563119629878,0.396563119629878,0.0
2023-04,-1.6458196181698526,-1.6458196181698526,0.0
2023-05,0.9370816599732379,0.937081659973238,-1.1102230246251565e-16
2023-06,0.0,0.0,0.0
2023-07,-0.7957559681697757,-0.7957559681697757,0.0
2023-08,-0.9358288770053513,-0.9358288770053512,-1.1102230246251565e-16
2023-09,-1.6194331983805488,-1.6194331983805488,0.0
2023-10,0.8230452674897082,0.8230452674897082,0.0
2023-11,-0.40816326530611624,-0.4081632653061162,-5.551115123125783e-17
2023-12,-1.43442622950819,-1.43442622950819,0.0
2024-01,0.06930006930006005,0.06930006930006,5.551115123125783e-17
2024-02,-0.27700831024931594,-0.2770083102493159,-5.551115123125783e-17
2024-03,-0.7638888888888862,-0.7638888888888862,0.0
2024-04,1.679496151154658,1.679496151154658,0.0
2024-05,-0.06882312456987227,-0.0688231245698722,-6.938893903907228e-17
2024-06,-0.550964187327807,-0.550964187327807,0.0
2024-07,0.3462603878116255,0.3462603878116255,0.0
2024-08,0.48309178743961567,0.4830917874396156,5.551115123125783e-17
2024-09,0.7554945054945028,0.7554945054945028,0.0
2024-10,0.27266530334015826,0.2726653033401582,5.551115123125783e-17
2024-11,0.40788579197823527,0.4078857919782352,5.551115123125783e-17
2024-12,-0.677048070413,-0.677048070413,0.0
2025-01,3.135650988411731,3.135650988411731,0.0
2025-02,-0.594844679444817,-0.594844679444817,0.0
2025-03,0.7978723404255206,0.7978723404255206,0.0
2025-04,-0.26385224274406704,-0.263852242744067,-5.551115123125783e-17
2025-05,1.256613756613767,1.256613756613767,0.0
2025-06,0.19595035924233617,0.1959503592423361,8.326672684688674e-17
2025-07,-0.6518904823989535,-0.6518904823989535,0.0
2025-08,0.0,0.0,0.0
2025-09,-1.1154855643044748,-1.1154855643044748,0.0
2025-10,1.128069011280708,1.128069011280708,0.0
2025-11,-0.9842519685039353,-0.9842519685039351,-1.1102230246251565e-16
2025-12,-1.1265738899933875,-1.1265738899933877,2.220446049250313e-16
