origin,as_of,fired_months,january_horizons,fast_january,fast_non_january_sum,recent_available
2023-12,2024-01-10T22:59:00+00:00,,1,0.900,0.7500000000000001,True
2024-01,2024-02-14T22:59:00+00:00,,12,0.900,0.7500000000000001,True
2024-02,2024-03-10T22:59:00+00:00,,11,0.900,0.7500000000000001,True
2024-03,2024-04-09T21:59:00+00:00,,10,0.900,0.7500000000000001,True
2024-04,2024-05-12T21:59:00+00:00,,9,0.900,0.7500000000000001,True
2024-05,2024-06-10T21:59:00+00:00,,8,0.900,0.7500000000000001,True
2024-06,2024-07-09T21:59:00+00:00,,7,0.900,0.7500000000000001,True
2024-07,2024-08-11T21:59:00+00:00,,6,0.900,0.7500000000000001,True
2024-08,2024-09-09T21:59:00+00:00,,5,0.900,0.7000000000000001,True
2024-09,2024-10-09T21:59:00+00:00,,4,0.900,0.7500000000000001,True
2024-10,2024-11-10T22:59:00+00:00,,3,0.900,0.7500000000000001,True
2024-11,2024-12-09T22:59:00+00:00,,2,0.900,0.7500000000000001,True
2024-12,2025-01-12T22:59:00+00:00,,1,0.900,0.8,True
2025-01,2025-02-05T22:59:00+00:00,,12,0.900,0.8,True
2025-02,2025-03-04T22:59:00+00:00,,11,0.650,0.8,True
2025-03,2025-04-03T21:59:00+00:00,,10,0.650,0.7500000000000001,True
2025-04,2025-05-05T21:59:00+00:00,,9,0.650,0.7500000000000001,True
2025-05,2025-06-03T21:59:00+00:00,,8,0.650,0.7500000000000001,True
2025-06,2025-07-03T21:59:00+00:00,,7,0.650,0.8,True
2025-07,2025-08-04T21:59:00+00:00,,6,0.650,0.8,True
2025-08,2025-09-03T21:59:00+00:00,,5,0.650,0.8,True
2025-09,2025-10-05T21:59:00+00:00,,4,0.650,0.8,True
2025-10,2025-11-04T22:59:00+00:00,,3,0.650,0.8,True
2025-11,2025-12-03T22:59:00+00:00,,2,0.650,0.75,True
2025-12,2026-01-06T22:59:00+00:00,,1,0.650,0.75,True
2026-01,2026-02-04T22:59:00+00:00,,12,0.650,0.75,True
2026-02,2026-03-03T22:59:00+00:00,,11,0.650,0.75,True
2026-03,2026-04-06T21:59:00+00:00,,10,0.650,0.75,True
2026-04,2026-05-05T21:59:00+00:00,,9,0.650,0.75,True
2026-05,2026-06-03T21:59:00+00:00,,8,0.650,0.75,True
2026-06,2026-07-06T21:59:00+00:00,,7,0.650,0.75,True
2026-07,2026-08-04T21:59:00+00:00,,6,0.650,0.75,True
