origin,h,model,target,as_of_utc,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,row_present,headline_yy_forecast_finite,headline_yy_actual_finite,headline_mm_forecast_finite,headline_mm_actual_finite,headline_cumulative_log_forecast_finite,headline_cumulative_log_actual_finite,core_mm_forecast_finite,core_mm_actual_finite,core_cumulative_log_forecast_finite,core_cumulative_log_actual_finite,status,origin_status,converged,fallback_used
2019-02,1,INDEPENDENT_BRIDGE,2019-03,2019-03-10T22:59:00+00:00,,0.1863932898415576,2.969348659003822,,,0.18621979310646208,0.025073771816025797,-0.1,0.02507062887121929,-0.10005003335835334,True,False,True,False,True,False,True,True,True,True,True,failed_nonfinite,failed_nonfinite,False,True
2019-02,2,INDEPENDENT_BRIDGE,2019-04,2019-03-10T22:59:00+00:00,,0.0930232558139509,2.769818529130847,,,0.2791998091031148,0.5296931892648143,0.4,0.5533658781180728,0.299152093595392,True,False,True,False,True,False,True,True,True,True,True,failed_nonfinite,failed_nonfinite,False,True
2019-02,3,INDEPENDENT_BRIDGE,2019-05,2019-03-10T22:59:00+00:00,,0.6505576208178487,2.9467680608364977,,,0.9276504370292084,0.16634422662972032,0.1,0.7195719059750221,0.39910212690374536,True,False,True,False,True,False,True,True,True,True,True,failed_nonfinite,failed_nonfinite,False,True
2019-02,4,INDEPENDENT_BRIDGE,2019-06,2019-03-10T22:59:00+00:00,0.17741077288815393,0.1846722068328699,2.7462121212121224,,,1.112152334386138,0.21262805398206847,0.3,0.9319742264356187,0.6986530248835933,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,5,INDEPENDENT_BRIDGE,2019-07,2019-03-10T22:59:00+00:00,0.2380018198536309,0.3686635944700533,2.9300567107750517,,,1.4801380302261997,0.5465218588134975,1.0,1.477008073615551,1.6936861102004017,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,6,INDEPENDENT_BRIDGE,2019-08,2019-03-10T22:59:00+00:00,-0.05208307393788107,0.0918273645546419,2.9272898961284195,,,1.571923259249096,0.12256957145811512,0.2,1.5995025898980402,1.8934863764677075,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,7,INDEPENDENT_BRIDGE,2019-09,2019-03-10T22:59:00+00:00,-0.07645697798335958,-0.5504587155963248,2.6515151515151705,,,1.019943936889315,-0.29029022589730136,-0.9,1.308790204735147,0.989411911252801,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,8,INDEPENDENT_BRIDGE,2019-10,2019-03-10T22:59:00+00:00,0.36844866327245823,0.4612546125461358,2.735849056603792,,,1.4801380302262204,0.4950422852541182,0.6,1.802611184661776,1.5876190790075473,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,9,INDEPENDENT_BRIDGE,2019-11,2019-03-10T22:59:00+00:00,0.13774961893604237,0.2754820936639035,3.116147308781873,,,1.7552413674152,0.20785762081970469,0.0,2.0102530804110934,1.5876190790075473,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,10,INDEPENDENT_BRIDGE,2019-12,2019-03-10T22:59:00+00:00,0.10176532651536213,0.1831501831501825,3.207547169811327,,,1.938224035122816,0.23849667660436488,0.1,2.248465805079373,1.6875691123159007,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,11,INDEPENDENT_BRIDGE,2020-01,2019-03-10T22:59:00+00:00,0.8983535269695786,1.4625228519195457,3.6414565826330487,,,3.3901551675681305,0.5353138512358759,0.8,2.7823519446111717,2.484386077233588,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-02,12,INDEPENDENT_BRIDGE,2020-02,2019-03-10T22:59:00+00:00,0.3217704998290794,0.2702702702702675,3.7278657968313063,,,3.660060864484629,0.5036205742851665,0.7,3.2847085923021693,3.1819474508761125,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,2,INDEPENDENT_BRIDGE,2019-05,2019-04-09T21:59:00+00:00,,0.6505576208178487,2.9467680608364977,,,0.7414306439227463,0.13511190008780816,0.1,0.5410980428236142,0.49915216026209863,True,False,True,False,True,False,True,True,True,True,True,failed_nonfinite,failed_nonfinite,False,True
2019-03,3,INDEPENDENT_BRIDGE,2019-06,2019-04-09T21:59:00+00:00,,0.1846722068328699,2.7462121212121224,,,0.925932541279676,0.18983809674547014,0.3,0.730756174779364,0.7987030582419465,True,False,True,False,True,False,True,True,True,True,True,failed_nonfinite,failed_nonfinite,False,True
2019-03,4,INDEPENDENT_BRIDGE,2019-07,2019-04-09T21:59:00+00:00,0.23548810814609786,0.3686635944700533,2.9300567107750517,,,1.2939182371197377,0.5397702177679456,1.0,1.2690748540795111,1.7937361435587549,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,5,INDEPENDENT_BRIDGE,2019-08,2019-04-09T21:59:00+00:00,-0.04550357679304582,0.0918273645546419,2.9272898961284195,,,1.3857034661426337,0.13350158448545005,0.2,1.4024874044321698,1.9935364098260604,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,6,INDEPENDENT_BRIDGE,2019-09,2019-04-09T21:59:00+00:00,-0.14605484428631435,-0.5504587155963248,2.6515151515151705,,,0.8337241437828525,-0.4132593637717374,-0.9,0.9883717642424956,1.089461944611154,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
2019-03,7,INDEPENDENT_BRIDGE,2019-10,2019-04-09T21:59:00+00:00,0.2951091269048117,0.4612546125461358,2.735849056603792,,,1.293918237119758,0.3593445537784812,0.6,1.3470722180436039,1.6876691123659002,True,False,True,True,True,False,True,True,True,True,True,estimated,failed_nonfinite,True,False
