clock,report_date,quarter,cutoff_date,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,included,scope
report,2022-02-10,2022Q1,2022-01-21,1,2021-12,2022-01-11 22:59:00+00:00,INDEPENDENT_BRIDGE,11.177362264313452,11.23658150891361,-0.059219244600157595,1.5407302763581008,1.5999495209582584,1.5407302763581008,2.5563315506835473,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q1,2022-01-21,1,2021-12,2022-01-11 22:59:00+00:00,STABLE_PIPELINE_R14B,11.099646397134174,11.23658150891361,-0.13693511177943485,1.4630144091788235,1.5999495209582584,1.4630144091788235,2.5410872447765143,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q1,2022-01-21,1,2021-12,2022-01-11 22:59:00+00:00,cnb,9.63663198795535,11.23658150891361,-1.5999495209582584,0.0,1.5999495209582584,0.0,0.0,False,False,False,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q2,2022-01-21,2,2021-12,2022-01-11 22:59:00+00:00,INDEPENDENT_BRIDGE,12.086840018543763,15.77230851609123,-3.6854684975474683,2.5817358585437624,6.267204356091231,2.5817358585437624,25.69517239459411,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q2,2022-01-21,2,2021-12,2022-01-11 22:59:00+00:00,STABLE_PIPELINE_R14B,11.85802063081618,15.77230851609123,-3.9142878852750513,2.3529164708161794,6.267204356091231,2.3529164708161794,23.95620079219787,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q2,2022-01-21,2,2021-12,2022-01-11 22:59:00+00:00,cnb,9.50510416,15.77230851609123,-6.267204356091231,0.0,6.267204356091231,0.0,0.0,False,False,False,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q3,2022-01-21,3,2021-12,2022-01-11 22:59:00+00:00,INDEPENDENT_BRIDGE,11.082037364712363,17.578003612072624,-6.495966247360261,2.9116569347123633,9.407623182072625,2.9116569347123633,46.3057964490265,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q3,2022-01-21,3,2021-12,2022-01-11 22:59:00+00:00,STABLE_PIPELINE_R14B,10.800060753416803,17.578003612072624,-6.7779428586558215,2.629680323416803,9.407623182072625,2.629680323416803,42.56286454066681,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q3,2022-01-21,3,2021-12,2022-01-11 22:59:00+00:00,cnb,8.17038043,17.578003612072624,-9.407623182072625,0.0,9.407623182072625,0.0,0.0,False,False,False,True,paired_pipeline_INDEPENDENT_BRIDGE
report,2022-02-10,2022Q4,2022-01-21,4,2021-12,2022-01-11 22:59:00+00:00,INDEPENDENT_BRIDGE,10.124566290262727,15.699043922150208,-5.574477631887481,3.497101480262727,9.071579112150207,3.4971014802627263,51.21874671958608,True,False,True,True,paired_pipeline_INDEPENDENT_BRIDGE
