sample,clock,model,omitted_report,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_rmse,cnb_mae,rmse_gain_vs_cnb,mae_gain_vs_cnb,full_rmse_gain_vs_cnb,full_mae_gain_vs_cnb,scope
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-02-10,62,1.2239230734157636,1.980661031417192,0.032547305813557234,17,17,1.4762985730425087,0.7040305251471131,-0.5043624583746833,-0.5198925482686505,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-05-12,62,1.1932284162868994,1.9410480494315123,0.06324196294242133,17,18,2.011588414712717,0.8639058580347869,0.07054036528120489,-0.32932255825211243,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-08-11,62,1.4447820985937059,2.368973536140542,-0.2632825447892456,17,18,2.3011132855836207,1.025782452630478,-0.06786025055692146,-0.4189996459632279,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-11-10,62,1.4324540723865933,2.3642327780991197,-0.28362381144791166,17,18,2.3277027370360734,1.0273077011297567,-0.03653004106304625,-0.4051463712568366,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-02-09,62,1.371334725634978,2.287285064386708,-0.13227212455253146,17,18,2.3679762558638635,1.1198213144271685,0.08069119147715531,-0.25151341120780946,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-05-11,62,1.3326806937541895,2.256639576358166,-0.4665333953435163,17,18,2.364701449100045,1.0977174807353174,0.10806187274187895,-0.23496321301887213,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-08-10,62,1.4869062378654923,2.397129150948486,-0.3011458768873025,17,18,2.3661721828347044,1.1073596899799842,-0.03095696811378179,-0.379546547885508,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-11-09,62,1.4315101574897988,2.3721087337527376,-0.3677039316079068,17,18,2.366849088210777,1.1139947860587205,-0.005259645541960456,-0.31751537143107833,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2024-02-15,62,1.5136138836436197,2.402619481635246,-0.27303062594799327,17,18,2.366056213976598,1.1097687047272502,-0.03656326765864781,-0.4038451789163695,-0.034027206913049834,-0.3746965119355228,within_clock_common
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2024-05-09,62,1.5103690986670115,2.4020646554925316,-0.28884499043069434,17,18,2.367256203681473,1.113370885039828,-0.03480845181105874,-0.39699821362718346,-0.034027206913049834,-0.3746965119355228,within_clock_common
