sample,model,h,metric,n_intended,n_rows_present,n_forecasts,n_actuals,n_scoreable
full,BLEND_DAMPED_TRANSMISSION_R16,0,headline_yy,90,90,90,90,90
full,BLEND_DAMPED_TRANSMISSION_R16,0,headline_mm,90,90,90,90,90
full,BLEND_DAMPED_TRANSMISSION_R16,0,headline_cumulative_log,90,90,90,90,90
full,BLEND_DAMPED_TRANSMISSION_R16,0,core_mm,90,90,0,90,0
full,BLEND_DAMPED_TRANSMISSION_R16,0,core_cumulative_log,90,90,0,0,0
full,BLEND_DAMPED_TRANSMISSION_R16,1,headline_yy,90,90,90,89,89
full,BLEND_DAMPED_TRANSMISSION_R16,1,headline_mm,90,90,90,89,89
full,BLEND_DAMPED_TRANSMISSION_R16,1,headline_cumulative_log,90,90,90,89,89
full,BLEND_DAMPED_TRANSMISSION_R16,1,core_mm,90,90,90,89,89
full,BLEND_DAMPED_TRANSMISSION_R16,1,core_cumulative_log,90,90,90,89,89
full,BLEND_DAMPED_TRANSMISSION_R16,2,headline_yy,90,90,90,88,88
full,BLEND_DAMPED_TRANSMISSION_R16,2,headline_mm,90,90,90,88,88
full,BLEND_DAMPED_TRANSMISSION_R16,2,headline_cumulative_log,90,90,90,88,88
full,BLEND_DAMPED_TRANSMISSION_R16,2,core_mm,90,90,90,88,88
full,BLEND_DAMPED_TRANSMISSION_R16,2,core_cumulative_log,90,90,90,88,88
full,BLEND_DAMPED_TRANSMISSION_R16,3,headline_yy,90,90,90,87,87
full,BLEND_DAMPED_TRANSMISSION_R16,3,headline_mm,90,90,90,87,87
full,BLEND_DAMPED_TRANSMISSION_R16,3,headline_cumulative_log,90,90,90,87,87
full,BLEND_DAMPED_TRANSMISSION_R16,3,core_mm,90,90,90,87,87
full,BLEND_DAMPED_TRANSMISSION_R16,3,core_cumulative_log,90,90,90,87,87
full,BLEND_DAMPED_TRANSMISSION_R16,4,headline_yy,90,90,90,86,86
full,BLEND_DAMPED_TRANSMISSION_R16,4,headline_mm,90,90,90,86,86
full,BLEND_DAMPED_TRANSMISSION_R16,4,headline_cumulative_log,90,90,90,86,86
full,BLEND_DAMPED_TRANSMISSION_R16,4,core_mm,90,90,90,86,86
full,BLEND_DAMPED_TRANSMISSION_R16,4,core_cumulative_log,90,90,90,86,86
full,BLEND_DAMPED_TRANSMISSION_R16,5,headline_yy,90,90,90,85,85
full,BLEND_DAMPED_TRANSMISSION_R16,5,headline_mm,90,90,90,85,85
full,BLEND_DAMPED_TRANSMISSION_R16,5,headline_cumulative_log,90,90,90,85,85
full,BLEND_DAMPED_TRANSMISSION_R16,5,core_mm,90,90,90,85,85
full,BLEND_DAMPED_TRANSMISSION_R16,5,core_cumulative_log,90,90,90,85,85
full,BLEND_DAMPED_TRANSMISSION_R16,6,headline_yy,90,90,90,84,84
full,BLEND_DAMPED_TRANSMISSION_R16,6,headline_mm,90,90,90,84,84
full,BLEND_DAMPED_TRANSMISSION_R16,6,headline_cumulative_log,90,90,90,84,84
full,BLEND_DAMPED_TRANSMISSION_R16,6,core_mm,90,90,90,84,84
full,BLEND_DAMPED_TRANSMISSION_R16,6,core_cumulative_log,90,90,90,84,84
full,BLEND_DAMPED_TRANSMISSION_R16,7,headline_yy,90,90,90,83,83
full,BLEND_DAMPED_TRANSMISSION_R16,7,headline_mm,90,90,90,83,83
full,BLEND_DAMPED_TRANSMISSION_R16,7,headline_cumulative_log,90,90,90,83,83
full,BLEND_DAMPED_TRANSMISSION_R16,7,core_mm,90,90,90,83,83
full,BLEND_DAMPED_TRANSMISSION_R16,7,core_cumulative_log,90,90,90,83,83
full,BLEND_DAMPED_TRANSMISSION_R16,8,headline_yy,90,90,90,82,82
full,BLEND_DAMPED_TRANSMISSION_R16,8,headline_mm,90,90,90,82,82
full,BLEND_DAMPED_TRANSMISSION_R16,8,headline_cumulative_log,90,90,90,82,82
full,BLEND_DAMPED_TRANSMISSION_R16,8,core_mm,90,90,90,82,82
full,BLEND_DAMPED_TRANSMISSION_R16,8,core_cumulative_log,90,90,90,82,82
full,BLEND_DAMPED_TRANSMISSION_R16,9,headline_yy,90,90,90,81,81
full,BLEND_DAMPED_TRANSMISSION_R16,9,headline_mm,90,90,90,81,81
full,BLEND_DAMPED_TRANSMISSION_R16,9,headline_cumulative_log,90,90,90,81,81
full,BLEND_DAMPED_TRANSMISSION_R16,9,core_mm,90,90,90,81,81
