origin,signal,band,stage,family,config,predicted_change,status,as_of,current_z,projected_z,row_present,target,actual_z,unit,included,reason,projection_error,persistence_error,squared_loss_difference,absolute_loss_difference
2019-02,services,0,signal,services,l0.1,-0.1813398101300888,estimated,2019-03-10 23:59:00,4.497336564273115,4.315996754143026,True,2019-05,4.114163632754747,annual_log_pp,True,included,0.20183312138827958,0.3831729315183683,-0.10608488655904416,-0.1813398101300887
2019-02,services,1,signal,services,l0.1,-0.4695188442105177,estimated,2019-03-10 23:59:00,4.497336564273115,4.027817720062598,True,2019-08,4.337862144588943,annual_log_pp,True,included,-0.3100444245263452,0.1594744196841722,0.07069545464626907,0.15057000484217298
2019-02,services,2,signal,services,l0.1,-0.9878274820503852,estimated,2019-03-10 23:59:00,4.497336564273115,3.50950908222273,True,2019-11,3.921948040938446,annual_log_pp,True,included,-0.412438958715716,0.5753885233346692,-0.16096605811874706,-0.16294956461895316
2019-02,services,3,signal,services,l10,-0.34034274156380717,estimated,2019-03-10 23:59:00,4.497336564273115,4.156993822709308,True,2020-02,3.85781440111678,annual_log_pp,True,included,0.29917942159252764,0.639522163156335,-0.3194802708637186,-0.3403427415638074
2019-02,goods,0,signal,goods,l10,-0.0008738716942307621,estimated,2019-03-10 23:59:00,0.6975613736425241,0.6966875019482933,True,2019-05,0.399102987904814,annual_log_pp,True,included,0.2975845140434793,0.2984583857377101,-0.0005208650186660224,-0.00087387169423081
2019-02,goods,1,signal,goods,l10,0.004257057408662946,estimated,2019-03-10 23:59:00,0.6975613736425241,0.7018184310511871,True,2019-08,0.23305047683815305,annual_log_pp,True,included,0.4687679542130341,0.4645108968043711,0.003973021647072139,0.004257057408663001
2019-02,goods,2,signal,goods,l10,-0.010549207801469609,estimated,2019-03-10 23:59:00,0.6975613736425241,0.6870121658410545,True,2019-11,0.3989704507223357,annual_log_pp,True,included,0.2880417151187188,0.2985909229201884,-0.006188509601796732,-0.010549207801469618
2019-02,goods,3,signal,goods,l10,-0.02835210830522801,estimated,2019-03-10 23:59:00,0.6975613736425241,0.6692092653372961,True,2020-02,1.0272377513964088,annual_log_pp,True,included,-0.35802848605911275,-0.3296763777538847,0.01949788278085822,0.028352108305228052
2019-03,services,0,signal,services,l0.1,-0.15575644811742104,estimated,2019-04-09 23:59:00,4.59289318883998,4.4371367407225595,True,2019-06,4.146107414148466,annual_log_pp,True,included,0.2910293265740931,0.4467857746915138,-0.11491945954052601,-0.15575644811742073
2019-03,services,1,signal,services,l0.1,-0.5566212865068569,estimated,2019-04-09 23:59:00,4.59289318883998,4.036271902333123,True,2019-09,4.2739439402798824,annual_log_pp,True,included,-0.2376720379467594,0.31894924856009776,-0.04524062553528519,-0.08127721061333837
2019-03,services,2,signal,services,l0.1,-1.0651631675393334,estimated,2019-04-09 23:59:00,4.59289318883998,3.5277300213006466,True,2019-12,3.7616142381456164,annual_log_pp,True,included,-0.23388421684496974,0.8312789506943639,-0.6363228669783378,-0.5973947338493941
2019-03,services,3,signal,services,l10,-0.31877397447864886,estimated,2019-04-09 23:59:00,4.59289318883998,4.274119214361331,True,2020-03,3.8899429176603335,annual_log_pp,True,included,0.3841762967009976,0.7029502711796467,-0.34654765680464583,-0.3187739744786491
2019-03,goods,0,signal,goods,l10,0.0030433738228310974,estimated,2019-04-09 23:59:00,0.49875415110390736,0.5017975249267385,True,2019-06,0.2995508979798479,annual_log_pp,True,included,0.20224662694689055,0.19920325312405945,0.0012217620561866122,0.003043373822831097
2019-03,goods,1,signal,goods,l10,0.010852429598317708,estimated,2019-04-09 23:59:00,0.49875415110390736,0.5096065807022251,True,2019-09,0.16651685528098817,annual_log_pp,True,included,0.34308972542123695,0.33223729582291917,0.00732893895389386,0.010852429598317781
2019-03,goods,2,signal,goods,l10,-1.1080261527469652e-05,estimated,2019-04-09 23:59:00,0.49875415110390736,0.4987430708423799,True,2019-12,0.598174230833726,annual_log_pp,True,included,-0.09943115999134611,-0.09942007972981864,2.203323741171992e-06,1.1080261527462998e-05
2019-03,goods,3,signal,goods,l10,-0.029344106190044492,estimated,2019-04-09 23:59:00,0.49875415110390736,0.46941004491386285,True,2020-03,1.2910043766405892,annual_log_pp,True,included,-0.8215943317267264,-0.7922502255366819,0.04735682606256275,0.02934410619004446
2019-04,services,0,signal,services,l0.1,-0.08826078865265845,estimated,2019-05-12 23:59:00,4.21011760186354,4.121856813210881,True,2019-07,4.241938817001771,annual_log_pp,True,included,-0.12008200379089029,-0.03182121513823155,0.013407097901561773,0.08826078865265874
2019-04,services,1,signal,services,l0.1,-0.4795653760770539,estimated,2019-05-12 23:59:00,4.21011760186354,3.730552225786486,True,2019-10,4.114071531496781,annual_log_pp,True,included,-0.383519305710295,0.09604607036675894,0.13786221021961031,0.2874732353435361
2019-04,services,2,signal,services,l0.1,-0.8242939638813861,estimated,2019-05-12 23:59:00,4.21011760186354,3.3858236379821536,True,2020-01,3.7616142381456164,annual_log_pp,True,included,-0.3757906001634628,0.44850336371792343,-0.05993669209507635,-0.07271276355446066
2019-04,services,3,signal,services,l10,-0.2914292708481888,estimated,2019-05-12 23:59:00,4.21011760186354,3.918688331015351,True,2020-04,3.6970783487588705,annual_log_pp,True,included,0.22160998225648054,0.5130392531046692,-0.21409829099047922,-0.2914292708481887
2019-04,goods,0,signal,goods,l10,0.0068185260657731344,estimated,2019-05-12 23:59:00,0.5982071677547464,0.6050256938205195,True,2019-07,0.2663006874090005,annual_log_pp,True,included,0.33872500641151904,0.3319064803457459,0.004572718272982626,0.006818526065773156
2019-04,goods,1,signal,goods,l10,0.025342275913345307,estimated,2019-05-12 23:59:00,0.5982071677547464,0.6235494436680916,True,2019-10,0.26616815022652207,annual_log_pp,True,included,0.35738129344156955,0.3320390175282243,0.0174714797408608,0.025342275913345258
2019-04,goods,2,signal,goods,l10,0.010418090251842933,estimated,2019-05-12 23:59:00,0.5982071677547464,0.6086252580065893,True,2020-01,0.6975285021049858,annual_log_pp,True,included,-0.08890324409839656,-0.09932133435023949,-0.0019609406458929793,-0.010418090251842926
2019-04,goods,3,signal,goods,l10,-0.022342739151905114,estimated,2019-05-12 23:59:00,0.5982071677547464,0.5758644286028413,True,2020-04,1.5873026238821233,annual_log_pp,True,included,-1.0114381952792821,-0.9890954561273769,0.04469740153798751,0.02234273915190521
2019-05,services,0,signal,services,l0.1,-0.20062938127321756,estimated,2019-06-10 23:59:00,4.114194333117518,3.9135649518443003,True,2019-08,4.337862144588943,annual_log_pp,True,included,-0.4242971927446426,-0.223667811471425,0.13000081788256748,0.2006293812732176
2019-05,services,1,signal,services,l0.1,-0.6072921857295367,estimated,2019-06-10 23:59:00,4.114194333117518,3.506902147387981,True,2019-11,3.921948040938446,annual_log_pp,True,included,-0.41504589355046484,0.19224629217907196,0.13530445689650267,0.22279960137139287
