model,band,n,mean,mean_abs,p05,median,p95,max_abs
BLEND_DAMPED_TRANSMISSION_R16,1,270,-0.0069065656336751375,0.04074556262599677,-0.14292274364203106,0.009068241387503811,0.05721308902416277,0.29784029527383826
BLEND_DAMPED_TRANSMISSION_R16,2,270,0.008502144281625355,0.062073207851641075,-0.266971688869949,0.014325166462615224,0.12920885994548179,0.6525903826758775
BLEND_DAMPED_TRANSMISSION_R16,3,270,-0.020277080946959385,0.07979152771252311,-0.3467626193817433,0.01965227795305377,0.09512760816605718,0.4343672420753054
BLEND_DAMPED_TRANSMISSION_R16,4,270,0.00366975554768178,0.07242675834114144,-0.16412677622528588,0.0345563245559318,0.11634302528926273,0.3361703439544017
DAMPED_ADAPT_R16,1,270,0.0003905783979146291,0.04248496744557224,-0.11135271629091932,0.005049896884846208,0.0828225857604736,0.1391237309779383
DAMPED_ADAPT_R16,2,270,0.001063723684300918,0.050855147008533955,-0.1324865995630377,0.005448826937296534,0.10568263600207568,0.15677881486088996
DAMPED_ADAPT_R16,3,270,0.0017669796013563023,0.05551551204270217,-0.14268320626037548,0.005590439483505294,0.11464055969299232,0.1817175475400412
DAMPED_ADAPT_R16,4,270,0.0024345060475373143,0.05821493555673931,-0.1473277491332106,0.005662945107164308,0.118927267662578,0.21009378142642215
DAMPED_P80_Q001_R16,1,270,-0.001419314833843116,0.04208491751718209,-0.11135271629091932,0.01080945638211332,0.07941889698535255,0.1391237309779383
DAMPED_P80_Q001_R16,2,270,-0.001729538520453994,0.049394152428581306,-0.1324865995630377,0.011455247100262494,0.09111430339499609,0.15677881486088996
DAMPED_P80_Q001_R16,3,270,-0.0018883730479987667,0.053154183171856384,-0.14268320626037548,0.012182804845126377,0.09736193140818244,0.16581821780896155
DAMPED_P80_Q001_R16,4,270,-0.0019696963261016803,0.05508006928699259,-0.1473277491332106,0.012228579124318906,0.10077199377606198,0.1704463921183742
DAMPED_P80_Q010_R16,1,270,0.00011664357536171776,0.011231357215389443,-0.024375545610475717,-0.0016684676778735835,0.030137138227584476,0.04113762433670354
DAMPED_P80_Q010_R16,2,270,0.0002278953946585891,0.015032798121394427,-0.03369769221269712,-0.0016278748566568302,0.04190041530017028,0.05100261592189392
DAMPED_P80_Q010_R16,3,270,0.0002848563261385988,0.01768262702559062,-0.03912453987515089,-0.0017458370189808864,0.04951378548713204,0.0579603731182764
DAMPED_P80_Q010_R16,4,270,0.00031402032305635167,0.019169835235781273,-0.04155039516431301,-0.0024666210164793895,0.0529317333024739,0.06222929416737899
DAMPED_P95_Q001_R16,1,270,0.001323657014971558,0.031272164995884894,-0.055866476204628646,-0.00315689785014725,0.08391594508048289,0.10802281673474146
DAMPED_P95_Q001_R16,2,270,0.001930164616244863,0.04558161470387055,-0.08491434156829197,0.0005252524149915172,0.12077558579802954,0.1500029484307539
DAMPED_P95_Q001_R16,3,270,0.002361009405911692,0.05976720166209699,-0.11408225833357907,0.0006611133622627108,0.16037726425777507,0.19116519565986034
DAMPED_P95_Q001_R16,4,270,0.0026847552089851565,0.07276472383895007,-0.13945621275189787,-0.0008696351267847846,0.19237561269223213,0.22935942203712978
DAMPED_P95_Q010_R16,1,270,0.0011240483714921696,0.09254341727809584,-0.21133880663014198,-0.00986183816391735,0.24754090099705905,0.37213339137317836
DAMPED_P95_Q010_R16,2,270,0.0018067260450919315,0.14676870329823008,-0.31882458695025384,-0.010529207245547914,0.39393585077041515,0.5414509803891654
DAMPED_P95_Q010_R16,3,270,0.0023553410736261307,0.19129865940385235,-0.40309533180899526,-0.011842329257180706,0.5083654876211352,0.6816271488033642
DAMPED_P95_Q010_R16,4,270,0.002806921663878949,0.22849340891625922,-0.47809333922326647,-0.010810619993463264,0.6190531126286267,0.7992545314696756
TRANSMISSION_BOTH_R16,1,270,-0.014203709665264911,0.04491409400764712,-0.22193223252398198,0.0021197920703987516,0.07261361827470755,0.46958785408217374
TRANSMISSION_BOTH_R16,2,270,0.015940564878949792,0.0929459078935524,-0.4164826673626275,0.005212705801006828,0.3463890459468245,1.3860198962206822
TRANSMISSION_BOTH_R16,3,270,-0.04232114149527508,0.10942665240851242,-0.5594973966963043,0.009103395521434993,0.15750483419374903,0.7036230323043976
TRANSMISSION_BOTH_R16,4,270,0.004905005047826249,0.11076401076091577,-0.32025895875508587,0.058216522051690825,0.16492925328584943,0.511975340416639
TRANSMISSION_GOODS_R16,1,270,-0.014058237676755552,0.04665392603644443,-0.2187294911420804,0.0008334737181328929,0.08570064282707913,0.45492555998050815
TRANSMISSION_GOODS_R16,2,270,0.03434487445701076,0.08513856197636442,-0.24449836593948837,0.005692000130004909,0.35738439799327837,1.3709752076996011
TRANSMISSION_GOODS_R16,3,270,-0.022760379895761882,0.07511851335787822,-0.48061237373569077,0.004708379231453806,0.12704640952516458,0.5003182702366978
TRANSMISSION_GOODS_R16,4,270,-0.03610966763596973,0.11953671581707079,-0.3570140267491029,0.0045003710639649475,0.15117193014463792,0.6626056484066002
TRANSMISSION_OWN_R16,1,270,-0.006134626931097013,0.03880081526550377,-0.15586392699677828,0.0015468659114213634,0.09282473758342737,0.3949894154718909
TRANSMISSION_OWN_R16,2,270,-0.011945435772127692,0.04459480870879755,-0.275453855126873,0.0027475856364030625,0.10179273214156234,0.3667734764406926
TRANSMISSION_OWN_R16,3,270,-0.019595100474037456,0.0699790976270644,-0.4466919361151526,0.002812076191557579,0.11610575758442584,0.5002821019765821
TRANSMISSION_OWN_R16,4,270,0.05239670110977421,0.07140957145581583,-0.08649307579393184,0.00676033109370297,0.2797880568366,0.33511632676366837
TRANSMISSION_SERVICES_R16,1,270,-0.005481016051278444,0.037547543675979074,-0.11389509763459173,0.0017430820322557328,0.07810741616877588,0.421045156376232
TRANSMISSION_SERVICES_R16,2,270,-0.031228968866342844,0.05887223956988795,-0.4286691654429723,0.0005300069569576793,0.08211958009966284,0.5172724272762887
TRANSMISSION_SERVICES_R16,3,270,-0.04356628705572501,0.10990856320774371,-0.5595239570986122,0.007382147089562877,0.1460712219336871,0.7301613426353812
TRANSMISSION_SERVICES_R16,4,270,0.053776918459118424,0.12340567915064847,-0.22768913389149043,0.0461744063926685,0.33021127349052853,0.40928321017485003
