scope,sample,model,quarter,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2019Q3,2,0,,,0,0
all_models_common,full,DAMPED_ADAPT_R16,2019Q3,2,0,,,0,0
all_models_common,full,DAMPED_P80_Q001_R16,2019Q3,2,0,,,0,0
all_models_common,full,DAMPED_P80_Q010_R16,2019Q3,2,0,,,0,0
all_models_common,full,DAMPED_P95_Q001_R16,2019Q3,2,0,,,0,0
all_models_common,full,DAMPED_P95_Q010_R16,2019Q3,2,0,,,0,0
all_models_common,full,INDEPENDENT_BRIDGE,2019Q3,2,0,,,0,0
all_models_common,full,RF_RESIDUAL_R15,2019Q3,2,0,,,0,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2019Q3,2,0,,,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
all_models_common,full,STATE_FAST_R15,2019Q3,2,0,,,0,0
all_models_common,full,TRANSMISSION_BOTH_R16,2019Q3,2,0,,,0,0
all_models_common,full,TRANSMISSION_GOODS_R16,2019Q3,2,0,,,0,0
all_models_common,full,TRANSMISSION_OWN_R16,2019Q3,2,0,,,0,0
all_models_common,full,TRANSMISSION_SERVICES_R16,2019Q3,2,0,,,0,0
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2019Q4,5,0,,,1,0
all_models_common,full,DAMPED_ADAPT_R16,2019Q4,5,0,,,1,0
all_models_common,full,DAMPED_P80_Q001_R16,2019Q4,5,0,,,1,0
all_models_common,full,DAMPED_P80_Q010_R16,2019Q4,5,0,,,1,0
all_models_common,full,DAMPED_P95_Q001_R16,2019Q4,5,0,,,1,0
all_models_common,full,DAMPED_P95_Q010_R16,2019Q4,5,0,,,1,0
all_models_common,full,INDEPENDENT_BRIDGE,2019Q4,5,0,,,2,0
all_models_common,full,RF_RESIDUAL_R15,2019Q4,5,0,,,2,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2019Q4,5,0,,,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2019Q4,5,0,,,0,0
all_models_common,full,STATE_FAST_R15,2019Q4,5,0,,,1,0
all_models_common,full,TRANSMISSION_BOTH_R16,2019Q4,5,0,,,1,0
all_models_common,full,TRANSMISSION_GOODS_R16,2019Q4,5,0,,,1,0
all_models_common,full,TRANSMISSION_OWN_R16,2019Q4,5,0,,,1,0
all_models_common,full,TRANSMISSION_SERVICES_R16,2019Q4,5,0,,,1,0
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,DAMPED_ADAPT_R16,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,DAMPED_P80_Q001_R16,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,DAMPED_P80_Q010_R16,2020Q1,8,8,0.25,0.0,1,1
all_models_common,full,DAMPED_P95_Q001_R16,2020Q1,8,8,0.25,0.0,1,1
all_models_common,full,DAMPED_P95_Q010_R16,2020Q1,8,8,0.25,0.125,4,3
all_models_common,full,INDEPENDENT_BRIDGE,2020Q1,8,8,0.0,0.0,4,4
all_models_common,full,RF_RESIDUAL_R15,2020Q1,8,8,0.125,0.0,0,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2020Q1,8,8,0.0,0.0,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,STATE_FAST_R15,2020Q1,8,8,0.25,0.0,1,1
all_models_common,full,TRANSMISSION_BOTH_R16,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,TRANSMISSION_GOODS_R16,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,TRANSMISSION_OWN_R16,2020Q1,8,8,0.25,0.0,1,1
all_models_common,full,TRANSMISSION_SERVICES_R16,2020Q1,8,8,0.125,0.0,1,1
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2020Q2,10,10,1.0,0.3,3,0
all_models_common,full,DAMPED_ADAPT_R16,2020Q2,10,10,1.0,0.3,3,0
all_models_common,full,DAMPED_P80_Q001_R16,2020Q2,10,10,1.0,0.3,3,0
all_models_common,full,DAMPED_P80_Q010_R16,2020Q2,10,10,0.9,0.4,4,0
all_models_common,full,DAMPED_P95_Q001_R16,2020Q2,10,10,0.9,0.4,4,0
all_models_common,full,DAMPED_P95_Q010_R16,2020Q2,10,10,0.7,0.6,7,1
all_models_common,full,INDEPENDENT_BRIDGE,2020Q2,10,10,0.9,0.3,3,0
all_models_common,full,RF_RESIDUAL_R15,2020Q2,10,10,1.0,0.1,1,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2020Q2,10,10,1.0,0.1,1,0
all_models_common,full,STABLE_PIPELINE_R14B,2020Q2,10,10,0.9,0.8,8,0
all_models_common,full,STATE_FAST_R15,2020Q2,10,10,0.9,0.4,4,0
all_models_common,full,TRANSMISSION_BOTH_R16,2020Q2,10,10,1.0,0.3,3,0
all_models_common,full,TRANSMISSION_GOODS_R16,2020Q2,10,10,1.0,0.3,3,0
all_models_common,full,TRANSMISSION_OWN_R16,2020Q2,10,10,1.0,0.2,2,0
all_models_common,full,TRANSMISSION_SERVICES_R16,2020Q2,10,10,1.0,0.3,3,0
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2020Q3,10,0,,,1,0
all_models_common,full,DAMPED_ADAPT_R16,2020Q3,10,0,,,1,0
all_models_common,full,DAMPED_P80_Q001_R16,2020Q3,10,0,,,1,0
all_models_common,full,DAMPED_P80_Q010_R16,2020Q3,10,0,,,2,0
all_models_common,full,DAMPED_P95_Q001_R16,2020Q3,10,0,,,1,0
all_models_common,full,DAMPED_P95_Q010_R16,2020Q3,10,0,,,5,0
all_models_common,full,INDEPENDENT_BRIDGE,2020Q3,10,0,,,5,0
all_models_common,full,RF_RESIDUAL_R15,2020Q3,10,0,,,0,0
all_models_common,full,STABLE_LOCAL_CORE_R14B,2020Q3,10,0,,,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2020Q3,10,0,,,4,0
all_models_common,full,STATE_FAST_R15,2020Q3,10,0,,,2,0
all_models_common,full,TRANSMISSION_BOTH_R16,2020Q3,10,0,,,3,0
all_models_common,full,TRANSMISSION_GOODS_R16,2020Q3,10,0,,,3,0
all_models_common,full,TRANSMISSION_OWN_R16,2020Q3,10,0,,,3,0
all_models_common,full,TRANSMISSION_SERVICES_R16,2020Q3,10,0,,,3,0
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2020Q4,10,10,0.4,0.0,0,0
all_models_common,full,DAMPED_ADAPT_R16,2020Q4,10,10,0.5,0.0,0,0
