scope,sample,model,n,actual_turns,predicted_turns,exact_band_hits,missed_turns,false_turns,exact_turn_recall,exact_turn_precision
all_models_common,recent_targets,DAMPED_P80_Q001_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,DAMPED_P80_Q010_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,DAMPED_P95_Q001_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,DAMPED_P95_Q010_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,INDEPENDENT_BRIDGE,56,28,8,2,26,6,0.07142857142857142,0.25
all_models_common,recent_targets,RF_RESIDUAL_R15,56,28,3,0,28,3,0.0,0.0
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
all_models_common,recent_targets,STATE_FAST_R15,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,TRANSMISSION_BOTH_R16,56,28,3,0,28,3,0.0,0.0
all_models_common,recent_targets,TRANSMISSION_GOODS_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,TRANSMISSION_OWN_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,TRANSMISSION_SERVICES_R16,56,28,0,0,28,0,0.0,
paired_pipeline_INDEPENDENT_BRIDGE,full,INDEPENDENT_BRIDGE,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_pipeline_INDEPENDENT_BRIDGE,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,INDEPENDENT_BRIDGE,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,INDEPENDENT_BRIDGE,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_pipeline_INDEPENDENT_BRIDGE,origins_2024plus,INDEPENDENT_BRIDGE,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_pipeline_INDEPENDENT_BRIDGE,origins_2024plus,STABLE_PIPELINE_R14B,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_pipeline_INDEPENDENT_BRIDGE,recent_targets,INDEPENDENT_BRIDGE,56,28,8,2,26,6,0.07142857142857142,0.25
paired_pipeline_INDEPENDENT_BRIDGE,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
paired_pipeline_STABLE_LOCAL_CORE_R14B,full,STABLE_LOCAL_CORE_R14B,159,77,0,0,77,0,0.0,
paired_pipeline_STABLE_LOCAL_CORE_R14B,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_pipeline_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_LOCAL_CORE_R14B,70,38,0,0,38,0,0.0,
paired_pipeline_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_pipeline_STABLE_LOCAL_CORE_R14B,origins_2022_2023,STABLE_LOCAL_CORE_R14B,48,17,0,0,17,0,0.0,
paired_pipeline_STABLE_LOCAL_CORE_R14B,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_pipeline_STABLE_LOCAL_CORE_R14B,origins_2024plus,STABLE_LOCAL_CORE_R14B,41,22,0,0,22,0,0.0,
