scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,2,35,30,0.4,0.0,0,0
all_models_common,origins_2019_2021,STABLE_PIPELINE_R14B,2,35,30,0.5666666666666667,0.3,14,3
all_models_common,origins_2019_2021,STATE_FAST_R15,2,35,30,0.3333333333333333,0.0,0,0
all_models_common,origins_2019_2021,TRANSMISSION_BOTH_R16,2,35,30,0.43333333333333335,0.03333333333333333,13,8
all_models_common,origins_2019_2021,TRANSMISSION_GOODS_R16,2,35,30,0.5333333333333333,0.06666666666666667,10,5
all_models_common,origins_2019_2021,TRANSMISSION_OWN_R16,2,35,30,0.43333333333333335,0.06666666666666667,8,4
all_models_common,origins_2019_2021,TRANSMISSION_SERVICES_R16,2,35,30,0.43333333333333335,0.1,13,8
all_models_common,origins_2019_2021,BLEND_DAMPED_TRANSMISSION_R16,3,35,31,0.6774193548387096,0.16129032258064516,9,3
all_models_common,origins_2019_2021,DAMPED_ADAPT_R16,3,35,31,0.7096774193548387,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P80_Q001_R16,3,35,31,0.7096774193548387,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P80_Q010_R16,3,35,31,0.7096774193548387,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,3,35,31,0.5161290322580645,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P95_Q010_R16,3,35,31,0.3225806451612903,0.0967741935483871,9,5
all_models_common,origins_2019_2021,INDEPENDENT_BRIDGE,3,35,31,0.4838709677419355,0.41935483870967744,23,10
all_models_common,origins_2019_2021,RF_RESIDUAL_R15,3,35,31,0.5161290322580645,0.06451612903225806,11,8
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,3,35,31,0.3225806451612903,0.0,0,0
all_models_common,origins_2019_2021,STABLE_PIPELINE_R14B,3,35,31,0.4838709677419355,0.41935483870967744,23,10
all_models_common,origins_2019_2021,STATE_FAST_R15,3,35,31,0.7096774193548387,0.0,0,0
all_models_common,origins_2019_2021,TRANSMISSION_BOTH_R16,3,35,31,0.6129032258064516,0.3225806451612903,16,4
all_models_common,origins_2019_2021,TRANSMISSION_GOODS_R16,3,35,31,0.6129032258064516,0.3548387096774194,17,4
all_models_common,origins_2019_2021,TRANSMISSION_OWN_R16,3,35,31,0.5806451612903226,0.2903225806451613,14,3
all_models_common,origins_2019_2021,TRANSMISSION_SERVICES_R16,3,35,31,0.6774193548387096,0.3225806451612903,16,4
all_models_common,origins_2019_2021,BLEND_DAMPED_TRANSMISSION_R16,4,35,30,0.4666666666666667,0.0,5,5
all_models_common,origins_2019_2021,DAMPED_ADAPT_R16,4,35,30,0.4,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P80_Q001_R16,4,35,30,0.4,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P80_Q010_R16,4,35,30,0.4,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,4,35,30,0.5,0.0,0,0
all_models_common,origins_2019_2021,DAMPED_P95_Q010_R16,4,35,30,0.5666666666666667,0.06666666666666667,8,5
all_models_common,origins_2019_2021,INDEPENDENT_BRIDGE,4,35,30,0.6666666666666666,0.4,21,7
all_models_common,origins_2019_2021,RF_RESIDUAL_R15,4,35,30,0.4666666666666667,0.13333333333333333,13,7
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,4,35,30,0.16666666666666666,0.0,0,0
all_models_common,origins_2019_2021,STABLE_PIPELINE_R14B,4,35,30,0.6666666666666666,0.4,21,7
all_models_common,origins_2019_2021,STATE_FAST_R15,4,35,30,0.4,0.0,0,0
all_models_common,origins_2019_2021,TRANSMISSION_BOTH_R16,4,35,30,0.4666666666666667,0.13333333333333333,13,8
all_models_common,origins_2019_2021,TRANSMISSION_GOODS_R16,4,35,30,0.4666666666666667,0.1,11,7
all_models_common,origins_2019_2021,TRANSMISSION_OWN_R16,4,35,30,0.4666666666666667,0.1,13,8
