scope,sample,h,model,n,direction_match_rate,actual_material_n,material_direction_hit_rate,material_calls_n,wrong_way_n,wrong_way_rate,wrong_way_share_of_calls
all_models_common,full,3,BLEND_DAMPED_TRANSMISSION_R16,84,0.5238095238095238,66,0.5606060606060606,60,12,0.18181818181818182,0.2
all_models_common,full,3,DAMPED_ADAPT_R16,84,0.5,66,0.5454545454545454,60,12,0.18181818181818182,0.2
all_models_common,full,3,DAMPED_P80_Q001_R16,84,0.5,66,0.5454545454545454,60,12,0.18181818181818182,0.2
all_models_common,full,3,DAMPED_P80_Q010_R16,84,0.5,66,0.5454545454545454,60,12,0.18181818181818182,0.2
all_models_common,full,3,DAMPED_P95_Q001_R16,84,0.4880952380952381,66,0.5454545454545454,63,14,0.21212121212121213,0.2222222222222222
all_models_common,full,3,DAMPED_P95_Q010_R16,84,0.5238095238095238,66,0.5909090909090909,66,14,0.21212121212121213,0.21212121212121213
all_models_common,full,3,INDEPENDENT_BRIDGE,84,0.5238095238095238,66,0.5909090909090909,63,11,0.16666666666666666,0.1746031746031746
all_models_common,full,3,RF_RESIDUAL_R15,84,0.5119047619047619,66,0.5606060606060606,59,10,0.15151515151515152,0.1694915254237288
all_models_common,full,3,STABLE_LOCAL_CORE_R14B,84,0.5476190476190477,66,0.5606060606060606,54,8,0.12121212121212122,0.14814814814814814
all_models_common,full,3,STABLE_PIPELINE_R14B,84,0.5357142857142857,66,0.5757575757575758,60,11,0.16666666666666666,0.18333333333333332
all_models_common,full,3,STATE_FAST_R15,84,0.5119047619047619,66,0.5454545454545454,58,11,0.16666666666666666,0.1896551724137931
all_models_common,full,3,TRANSMISSION_BOTH_R16,84,0.5119047619047619,66,0.5454545454545454,59,12,0.18181818181818182,0.2033898305084746
all_models_common,full,3,TRANSMISSION_GOODS_R16,84,0.5238095238095238,66,0.5606060606060606,58,10,0.15151515151515152,0.1724137931034483
all_models_common,full,3,TRANSMISSION_OWN_R16,84,0.5238095238095238,66,0.5606060606060606,58,10,0.15151515151515152,0.1724137931034483
all_models_common,full,3,TRANSMISSION_SERVICES_R16,84,0.5119047619047619,66,0.5454545454545454,58,11,0.16666666666666666,0.1896551724137931
all_models_common,full,6,BLEND_DAMPED_TRANSMISSION_R16,81,0.6666666666666666,69,0.7101449275362319,61,5,0.07246376811594203,0.08196721311475409
all_models_common,full,6,DAMPED_ADAPT_R16,81,0.5679012345679012,69,0.6376811594202898,60,6,0.08695652173913043,0.1
all_models_common,full,6,DAMPED_P80_Q001_R16,81,0.5679012345679012,69,0.6376811594202898,60,6,0.08695652173913043,0.1
all_models_common,full,6,DAMPED_P80_Q010_R16,81,0.5925925925925926,69,0.6376811594202898,59,7,0.10144927536231885,0.11864406779661017
all_models_common,full,6,DAMPED_P95_Q001_R16,81,0.6172839506172839,69,0.6666666666666666,62,8,0.11594202898550725,0.12903225806451613
all_models_common,full,6,DAMPED_P95_Q010_R16,81,0.5679012345679012,69,0.6376811594202898,65,11,0.15942028985507245,0.16923076923076924
all_models_common,full,6,INDEPENDENT_BRIDGE,81,0.6419753086419753,69,0.6956521739130435,63,7,0.10144927536231885,0.1111111111111111
all_models_common,full,6,RF_RESIDUAL_R15,81,0.6296296296296297,69,0.6811594202898551,59,4,0.057971014492753624,0.06779661016949153
all_models_common,full,6,STABLE_LOCAL_CORE_R14B,81,0.7037037037037037,69,0.7391304347826086,60,3,0.043478260869565216,0.05
all_models_common,full,6,STABLE_PIPELINE_R14B,81,0.6296296296296297,69,0.6956521739130435,68,11,0.15942028985507245,0.16176470588235295
all_models_common,full,6,STATE_FAST_R15,81,0.6049382716049383,69,0.6521739130434783,60,7,0.10144927536231885,0.11666666666666667
all_models_common,full,6,TRANSMISSION_BOTH_R16,81,0.7037037037037037,69,0.7246376811594203,60,5,0.07246376811594203,0.08333333333333333
