origin,stage,family,band,config,status,n_train,columns,means,scales,coefficients,intercept,lambda_value,converged,train_first,train_last,training_origins,last_training_target
2006-01,signal,services,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-02,signal,services,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-03,signal,services,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-04,signal,services,0,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-05,signal,services,0,l1,insufficient_history,1,[],{},{},{},,1.0,False,2006-01,2006-01,['2006-01'],2006-04
2006-06,signal,services,0,l1,insufficient_history,2,[],{},{},{},,1.0,False,2006-01,2006-02,"['2006-01', '2006-02']",2006-05
2006-07,signal,services,0,l1,insufficient_history,3,[],{},{},{},,1.0,False,2006-01,2006-03,"['2006-01', '2006-02', '2006-03']",2006-06
2006-08,signal,services,0,l1,insufficient_history,4,[],{},{},{},,1.0,False,2006-01,2006-04,"['2006-01', '2006-02', '2006-03', '2006-04']",2006-07
2006-09,signal,services,0,l1,insufficient_history,5,[],{},{},{},,1.0,False,2006-01,2006-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05']",2006-08
2006-10,signal,services,0,l1,insufficient_history,6,[],{},{},{},,1.0,False,2006-01,2006-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06']",2006-09
2006-11,signal,services,0,l1,insufficient_history,7,[],{},{},{},,1.0,False,2006-01,2006-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07']",2006-10
2006-12,signal,services,0,l1,insufficient_history,8,[],{},{},{},,1.0,False,2006-01,2006-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08']",2006-11
2007-01,signal,services,0,l1,insufficient_history,9,[],{},{},{},,1.0,False,2006-01,2006-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09']",2006-12
2007-02,signal,services,0,l1,insufficient_history,10,[],{},{},{},,1.0,False,2006-01,2006-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10']",2007-01
2007-03,signal,services,0,l1,insufficient_history,11,[],{},{},{},,1.0,False,2006-01,2006-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11']",2007-02
2007-04,signal,services,0,l1,insufficient_history,12,[],{},{},{},,1.0,False,2006-01,2006-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12']",2007-03
2007-05,signal,services,0,l1,insufficient_history,13,[],{},{},{},,1.0,False,2006-01,2007-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01']",2007-04
2007-06,signal,services,0,l1,insufficient_history,14,[],{},{},{},,1.0,False,2006-01,2007-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02']",2007-05
2007-07,signal,services,0,l1,insufficient_history,15,[],{},{},{},,1.0,False,2006-01,2007-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03']",2007-06
2007-08,signal,services,0,l1,insufficient_history,16,[],{},{},{},,1.0,False,2006-01,2007-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04']",2007-07
2007-09,signal,services,0,l1,insufficient_history,17,[],{},{},{},,1.0,False,2006-01,2007-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05']",2007-08
2007-10,signal,services,0,l1,insufficient_history,18,[],{},{},{},,1.0,False,2006-01,2007-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06']",2007-09
2007-11,signal,services,0,l1,insufficient_history,19,[],{},{},{},,1.0,False,2006-01,2007-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07']",2007-10
