stage,family,band,config,reason,n,share_within_stage_family_band,sample
core,both,0,l0.1,minimum_prior_mse,20,0.2222222222222222,outer_origins
core,both,0,l1,minimum_prior_mse,15,0.16666666666666666,outer_origins
core,both,0,l10,minimum_prior_mse,55,0.6111111111111112,outer_origins
core,both,1,l0.1,minimum_prior_mse,25,0.2777777777777778,outer_origins
core,both,1,l1,minimum_prior_mse,14,0.15555555555555556,outer_origins
core,both,1,l10,minimum_prior_mse,51,0.5666666666666667,outer_origins
core,both,2,l0.1,minimum_prior_mse,41,0.45555555555555555,outer_origins
core,both,2,l1,minimum_prior_mse,6,0.06666666666666667,outer_origins
core,both,2,l10,minimum_prior_mse,43,0.4777777777777778,outer_origins
core,both,3,l0.1,minimum_prior_mse,86,0.9555555555555556,outer_origins
core,both,3,l1,minimum_prior_mse,2,0.022222222222222223,outer_origins
core,both,3,l10,minimum_prior_mse,2,0.022222222222222223,outer_origins
core,goods,0,l0.1,minimum_prior_mse,34,0.37777777777777777,outer_origins
core,goods,0,l1,minimum_prior_mse,1,0.011111111111111112,outer_origins
core,goods,0,l10,minimum_prior_mse,55,0.6111111111111112,outer_origins
core,goods,1,l0.1,minimum_prior_mse,22,0.24444444444444444,outer_origins
core,goods,1,l1,minimum_prior_mse,17,0.18888888888888888,outer_origins
core,goods,1,l10,minimum_prior_mse,51,0.5666666666666667,outer_origins
core,goods,2,l0.1,minimum_prior_mse,41,0.45555555555555555,outer_origins
core,goods,2,l1,minimum_prior_mse,1,0.011111111111111112,outer_origins
core,goods,2,l10,minimum_prior_mse,48,0.5333333333333333,outer_origins
core,goods,3,l0.1,minimum_prior_mse,86,0.9555555555555556,outer_origins
core,goods,3,l1,minimum_prior_mse,2,0.022222222222222223,outer_origins
core,goods,3,l10,minimum_prior_mse,2,0.022222222222222223,outer_origins
core,own,0,l0.1,minimum_prior_mse,34,0.37777777777777777,outer_origins
core,own,0,l1,minimum_prior_mse,3,0.03333333333333333,outer_origins
core,own,0,l10,minimum_prior_mse,53,0.5888888888888889,outer_origins
core,own,1,l0.1,minimum_prior_mse,24,0.26666666666666666,outer_origins
core,own,1,l1,minimum_prior_mse,15,0.16666666666666666,outer_origins
core,own,1,l10,minimum_prior_mse,51,0.5666666666666667,outer_origins
core,own,2,l0.1,minimum_prior_mse,41,0.45555555555555555,outer_origins
core,own,2,l1,minimum_prior_mse,1,0.011111111111111112,outer_origins
core,own,2,l10,minimum_prior_mse,48,0.5333333333333333,outer_origins
core,own,3,l0.1,minimum_prior_mse,58,0.6444444444444445,outer_origins
core,own,3,l1,minimum_prior_mse,3,0.03333333333333333,outer_origins
core,own,3,l10,minimum_prior_mse,29,0.32222222222222224,outer_origins
core,services,0,l0.1,minimum_prior_mse,24,0.26666666666666666,outer_origins
core,services,0,l1,minimum_prior_mse,11,0.12222222222222222,outer_origins
core,services,0,l10,minimum_prior_mse,55,0.6111111111111112,outer_origins
core,services,1,l0.1,minimum_prior_mse,25,0.2777777777777778,outer_origins
core,services,1,l1,minimum_prior_mse,14,0.15555555555555556,outer_origins
core,services,1,l10,minimum_prior_mse,51,0.5666666666666667,outer_origins
core,services,2,l0.1,minimum_prior_mse,41,0.45555555555555555,outer_origins
core,services,2,l1,minimum_prior_mse,6,0.06666666666666667,outer_origins
core,services,2,l10,minimum_prior_mse,43,0.4777777777777778,outer_origins
core,services,3,l0.1,minimum_prior_mse,68,0.7555555555555555,outer_origins
core,services,3,l1,minimum_prior_mse,5,0.05555555555555555,outer_origins
core,services,3,l10,minimum_prior_mse,17,0.18888888888888888,outer_origins
signal,goods,0,l0.1,minimum_prior_mse,61,0.6777777777777778,outer_origins
signal,goods,0,l1,minimum_prior_mse,5,0.05555555555555555,outer_origins
signal,goods,0,l10,minimum_prior_mse,24,0.26666666666666666,outer_origins
signal,goods,1,l0.1,minimum_prior_mse,14,0.15555555555555556,outer_origins
signal,goods,1,l1,minimum_prior_mse,6,0.06666666666666667,outer_origins
signal,goods,1,l10,minimum_prior_mse,70,0.7777777777777778,outer_origins
signal,goods,2,l0.1,minimum_prior_mse,4,0.044444444444444446,outer_origins
signal,goods,2,l1,minimum_prior_mse,27,0.3,outer_origins
signal,goods,2,l10,minimum_prior_mse,59,0.6555555555555556,outer_origins
signal,goods,3,l1,minimum_prior_mse,28,0.3111111111111111,outer_origins
signal,goods,3,l10,minimum_prior_mse,62,0.6888888888888889,outer_origins
signal,services,0,l0.1,minimum_prior_mse,56,0.6222222222222222,outer_origins
signal,services,0,l1,minimum_prior_mse,6,0.06666666666666667,outer_origins
signal,services,0,l10,minimum_prior_mse,28,0.3111111111111111,outer_origins
signal,services,1,l0.1,minimum_prior_mse,48,0.5333333333333333,outer_origins
signal,services,1,l10,minimum_prior_mse,42,0.4666666666666667,outer_origins
signal,services,2,l0.1,minimum_prior_mse,39,0.43333333333333335,outer_origins
signal,services,2,l10,minimum_prior_mse,51,0.5666666666666667,outer_origins
signal,services,3,l0.1,minimum_prior_mse,12,0.13333333333333333,outer_origins
signal,services,3,l1,minimum_prior_mse,34,0.37777777777777777,outer_origins
signal,services,3,l10,minimum_prior_mse,44,0.4888888888888889,outer_origins
slope,whole_path,all,p80_q001,minimum_prior_mse,73,0.8111111111111111,outer_origins
slope,whole_path,all,p80_q010,minimum_prior_mse,10,0.1111111111111111,outer_origins
slope,whole_path,all,p95_q001,minimum_prior_mse,7,0.07777777777777778,outer_origins
core,both,0,l0.1,minimum_prior_mse,39,0.19597989949748743,all_saved_origins
core,both,0,l1,insufficient_validation,81,0.40703517587939697,all_saved_origins
core,both,0,l1,minimum_prior_mse,24,0.12060301507537688,all_saved_origins
core,both,0,l10,minimum_prior_mse,55,0.27638190954773867,all_saved_origins
core,both,1,l0.1,minimum_prior_mse,44,0.22110552763819097,all_saved_origins
core,both,1,l1,insufficient_validation,90,0.45226130653266333,all_saved_origins
core,both,1,l1,minimum_prior_mse,14,0.07035175879396985,all_saved_origins
core,both,1,l10,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,both,2,l0.1,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,both,2,l1,insufficient_validation,99,0.49748743718592964,all_saved_origins
core,both,2,l1,minimum_prior_mse,6,0.03015075376884422,all_saved_origins
core,both,2,l10,minimum_prior_mse,43,0.21608040201005024,all_saved_origins
core,both,3,l0.1,minimum_prior_mse,87,0.4371859296482412,all_saved_origins
core,both,3,l1,insufficient_validation,108,0.542713567839196,all_saved_origins
core,both,3,l1,minimum_prior_mse,2,0.010050251256281407,all_saved_origins
core,both,3,l10,minimum_prior_mse,2,0.010050251256281407,all_saved_origins
core,goods,0,l0.1,minimum_prior_mse,59,0.2964824120603015,all_saved_origins
core,goods,0,l1,insufficient_validation,81,0.40703517587939697,all_saved_origins
core,goods,0,l1,minimum_prior_mse,4,0.020100502512562814,all_saved_origins
core,goods,0,l10,minimum_prior_mse,55,0.27638190954773867,all_saved_origins
core,goods,1,l0.1,minimum_prior_mse,41,0.20603015075376885,all_saved_origins
core,goods,1,l1,insufficient_validation,90,0.45226130653266333,all_saved_origins
core,goods,1,l1,minimum_prior_mse,17,0.08542713567839195,all_saved_origins
core,goods,1,l10,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,goods,2,l0.1,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,goods,2,l1,insufficient_validation,99,0.49748743718592964,all_saved_origins
core,goods,2,l1,minimum_prior_mse,1,0.005025125628140704,all_saved_origins
core,goods,2,l10,minimum_prior_mse,48,0.24120603015075376,all_saved_origins
core,goods,3,l0.1,minimum_prior_mse,87,0.4371859296482412,all_saved_origins
core,goods,3,l1,insufficient_validation,108,0.542713567839196,all_saved_origins
core,goods,3,l1,minimum_prior_mse,2,0.010050251256281407,all_saved_origins
core,goods,3,l10,minimum_prior_mse,2,0.010050251256281407,all_saved_origins
core,own,0,l0.1,minimum_prior_mse,56,0.2814070351758794,all_saved_origins
core,own,0,l1,insufficient_validation,78,0.39195979899497485,all_saved_origins
core,own,0,l1,minimum_prior_mse,12,0.06030150753768844,all_saved_origins
core,own,0,l10,minimum_prior_mse,53,0.2663316582914573,all_saved_origins
core,own,1,l0.1,minimum_prior_mse,49,0.24623115577889448,all_saved_origins
core,own,1,l1,insufficient_validation,84,0.4221105527638191,all_saved_origins
core,own,1,l1,minimum_prior_mse,15,0.07537688442211055,all_saved_origins
core,own,1,l10,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,own,2,l0.1,minimum_prior_mse,60,0.3015075376884422,all_saved_origins
core,own,2,l1,insufficient_validation,90,0.45226130653266333,all_saved_origins
core,own,2,l1,minimum_prior_mse,1,0.005025125628140704,all_saved_origins
core,own,2,l10,minimum_prior_mse,48,0.24120603015075376,all_saved_origins
core,own,3,l0.1,minimum_prior_mse,71,0.35678391959798994,all_saved_origins
core,own,3,l1,insufficient_validation,96,0.4824120603015075,all_saved_origins
core,own,3,l1,minimum_prior_mse,3,0.01507537688442211,all_saved_origins
core,own,3,l10,minimum_prior_mse,29,0.1457286432160804,all_saved_origins
core,services,0,l0.1,minimum_prior_mse,44,0.22110552763819097,all_saved_origins
core,services,0,l1,insufficient_validation,81,0.40703517587939697,all_saved_origins
core,services,0,l1,minimum_prior_mse,19,0.09547738693467336,all_saved_origins
core,services,0,l10,minimum_prior_mse,55,0.27638190954773867,all_saved_origins
core,services,1,l0.1,minimum_prior_mse,44,0.22110552763819097,all_saved_origins
core,services,1,l1,insufficient_validation,90,0.45226130653266333,all_saved_origins
core,services,1,l1,minimum_prior_mse,14,0.07035175879396985,all_saved_origins
core,services,1,l10,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,services,2,l0.1,minimum_prior_mse,51,0.2562814070351759,all_saved_origins
core,services,2,l1,insufficient_validation,99,0.49748743718592964,all_saved_origins
core,services,2,l1,minimum_prior_mse,6,0.03015075376884422,all_saved_origins
core,services,2,l10,minimum_prior_mse,43,0.21608040201005024,all_saved_origins
core,services,3,l0.1,minimum_prior_mse,69,0.34673366834170855,all_saved_origins
core,services,3,l1,insufficient_validation,108,0.542713567839196,all_saved_origins
core,services,3,l1,minimum_prior_mse,5,0.02512562814070352,all_saved_origins
