stage,family,band,status,converged,n,sample
core,both,0,estimated,True,90,outer_origins
core,both,1,estimated,True,90,outer_origins
core,both,2,estimated,True,90,outer_origins
core,both,3,estimated,True,90,outer_origins
core,goods,0,estimated,True,90,outer_origins
core,goods,1,estimated,True,90,outer_origins
core,goods,2,estimated,True,90,outer_origins
core,goods,3,estimated,True,90,outer_origins
core,own,0,estimated,True,90,outer_origins
core,own,1,estimated,True,90,outer_origins
core,own,2,estimated,True,90,outer_origins
core,own,3,estimated,True,90,outer_origins
core,services,0,estimated,True,90,outer_origins
core,services,1,estimated,True,90,outer_origins
core,services,2,estimated,True,90,outer_origins
core,services,3,estimated,True,90,outer_origins
signal,goods,0,estimated,True,90,outer_origins
signal,goods,1,estimated,True,90,outer_origins
signal,goods,2,estimated,True,90,outer_origins
signal,goods,3,estimated,True,90,outer_origins
signal,services,0,estimated,True,90,outer_origins
signal,services,1,estimated,True,90,outer_origins
signal,services,2,estimated,True,90,outer_origins
signal,services,3,estimated,True,90,outer_origins
core,both,0,estimated,True,145,all_saved_origins
core,both,0,insufficient_history,False,51,all_saved_origins
core,both,0,unavailable_generated_forecast,False,3,all_saved_origins
core,both,1,estimated,True,139,all_saved_origins
core,both,1,insufficient_history,False,54,all_saved_origins
core,both,1,unavailable_generated_forecast,False,6,all_saved_origins
core,both,2,estimated,True,133,all_saved_origins
core,both,2,insufficient_history,False,57,all_saved_origins
core,both,2,unavailable_generated_forecast,False,9,all_saved_origins
core,both,3,estimated,True,127,all_saved_origins
core,both,3,insufficient_history,False,60,all_saved_origins
core,both,3,unavailable_generated_forecast,False,12,all_saved_origins
core,goods,0,estimated,True,145,all_saved_origins
core,goods,0,insufficient_history,False,51,all_saved_origins
core,goods,0,unavailable_generated_forecast,False,3,all_saved_origins
core,goods,1,estimated,True,139,all_saved_origins
core,goods,1,insufficient_history,False,54,all_saved_origins
core,goods,1,unavailable_generated_forecast,False,6,all_saved_origins
core,goods,2,estimated,True,133,all_saved_origins
core,goods,2,insufficient_history,False,57,all_saved_origins
core,goods,2,unavailable_generated_forecast,False,9,all_saved_origins
core,goods,3,estimated,True,127,all_saved_origins
core,goods,3,insufficient_history,False,60,all_saved_origins
core,goods,3,unavailable_generated_forecast,False,12,all_saved_origins
core,own,0,estimated,True,148,all_saved_origins
core,own,0,insufficient_history,False,51,all_saved_origins
core,own,1,estimated,True,145,all_saved_origins
core,own,1,insufficient_history,False,54,all_saved_origins
core,own,2,estimated,True,142,all_saved_origins
core,own,2,insufficient_history,False,57,all_saved_origins
core,own,3,estimated,True,139,all_saved_origins
core,own,3,insufficient_history,False,60,all_saved_origins
core,services,0,estimated,True,145,all_saved_origins
core,services,0,insufficient_history,False,51,all_saved_origins
core,services,0,unavailable_generated_forecast,False,3,all_saved_origins
core,services,1,estimated,True,139,all_saved_origins
core,services,1,insufficient_history,False,54,all_saved_origins
core,services,1,unavailable_generated_forecast,False,6,all_saved_origins
core,services,2,estimated,True,133,all_saved_origins
core,services,2,insufficient_history,False,57,all_saved_origins
core,services,2,unavailable_generated_forecast,False,9,all_saved_origins
core,services,3,estimated,True,127,all_saved_origins
core,services,3,insufficient_history,False,60,all_saved_origins
core,services,3,unavailable_generated_forecast,False,12,all_saved_origins
signal,goods,0,estimated,True,196,all_saved_origins
signal,goods,0,insufficient_history,False,51,all_saved_origins
signal,goods,1,estimated,True,193,all_saved_origins
signal,goods,1,insufficient_history,False,54,all_saved_origins
signal,goods,2,estimated,True,190,all_saved_origins
signal,goods,2,insufficient_history,False,57,all_saved_origins
signal,goods,3,estimated,True,187,all_saved_origins
signal,goods,3,insufficient_history,False,60,all_saved_origins
signal,services,0,estimated,True,196,all_saved_origins
signal,services,0,insufficient_history,False,51,all_saved_origins
signal,services,1,estimated,True,193,all_saved_origins
signal,services,1,insufficient_history,False,54,all_saved_origins
signal,services,2,estimated,True,190,all_saved_origins
signal,services,2,insufficient_history,False,57,all_saved_origins
signal,services,3,estimated,True,187,all_saved_origins
signal,services,3,insufficient_history,False,60,all_saved_origins
