scope,sample,model,n,mae,rmse,bias,max_abs
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,1035,0.6176846285665457,0.9336666984716093,0.12237780902423655,4.316869818626789
all_models_common,full,DAMPED_ADAPT_R16,1035,0.5998108154562771,0.9286446171669576,0.11984193519983172,4.251937606842662
all_models_common,full,DAMPED_P80_Q001_R16,1035,0.5934981577480801,0.9218561695382509,0.12205535690307469,4.251937606842662
all_models_common,full,DAMPED_P80_Q010_R16,1035,0.6413946458618585,0.9615948790435658,0.12024161148464343,4.235694520841312
all_models_common,full,DAMPED_P95_Q001_R16,1035,0.6366622420997279,0.9570528268622376,0.11759036874660934,4.273998577958542
all_models_common,full,DAMPED_P95_Q010_R16,1035,0.7820950261539611,1.1260977565251502,0.11801667803445727,4.074691350163606
all_models_common,full,INDEPENDENT_BRIDGE,1035,0.924925464381888,1.5278813917336798,0.1107585701029426,11.570784153875298
all_models_common,full,RF_RESIDUAL_R15,1035,0.6405360597679143,0.9597965406826011,0.06835673249289827,4.480474944179454
all_models_common,full,STABLE_LOCAL_CORE_R14B,1035,0.5385023521558491,0.8984773261862642,0.11915656688746136,4.33150934331243
all_models_common,full,STABLE_PIPELINE_R14B,1035,0.8766982017038971,1.4668163193957526,0.13723882481097754,11.111797321650783
all_models_common,full,STATE_FAST_R15,1035,0.64566545930003,0.966684651121085,0.12047021752365256,4.234760960919994
all_models_common,full,TRANSMISSION_BOTH_R16,1035,0.6457291042954894,0.9666835578876449,0.12481561922115601,4.440215427829827
all_models_common,full,TRANSMISSION_GOODS_R16,1035,0.6360120463218506,0.9574900415256489,0.12387054862583424,4.632651148583867
all_models_common,full,TRANSMISSION_OWN_R16,1035,0.6328152731754737,0.9715694340187891,0.11612105129201793,4.677945310988746
all_models_common,full,TRANSMISSION_SERVICES_R16,1035,0.6441896396375516,0.9820390890510428,0.12375450752557661,4.503552060564015
all_models_common,origins_2019_2021,BLEND_DAMPED_TRANSMISSION_R16,375,0.5885055642661863,0.8947367212892197,0.24641213676914636,4.316869818626789
all_models_common,origins_2019_2021,DAMPED_ADAPT_R16,375,0.5788628669275723,0.8852571294758754,0.26142477070290576,4.251937606842662
all_models_common,origins_2019_2021,DAMPED_P80_Q001_R16,375,0.5788628669275723,0.8852571294758754,0.26142477070290576,4.251937606842662
all_models_common,origins_2019_2021,DAMPED_P80_Q010_R16,375,0.6564676949691252,0.9589591686833638,0.26775982825869704,4.235694520841312
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,375,0.6485135088922924,0.9532855545408986,0.26481961592684783,4.273998577958542
all_models_common,origins_2019_2021,DAMPED_P95_Q010_R16,375,0.8543228392163437,1.2062035278506413,0.28119021250024817,4.030149831414779
all_models_common,origins_2019_2021,INDEPENDENT_BRIDGE,375,0.6986889787273752,1.0321473124129235,0.29413795447880225,4.5627778504897085
all_models_common,origins_2019_2021,RF_RESIDUAL_R15,375,0.5347259830756093,0.8624247106343428,0.24272899398983194,4.480474944179454
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,375,0.460140731333198,0.8107856964075575,0.24470502257416937,4.33150934331243
all_models_common,origins_2019_2021,STABLE_PIPELINE_R14B,375,0.6986567549965332,1.0096493716860948,0.30176001971478883,4.35634268516649
all_models_common,origins_2019_2021,STATE_FAST_R15,375,0.6590411233247246,0.9601650112498622,0.2662184051593241,4.234760960919994
all_models_common,origins_2019_2021,TRANSMISSION_BOTH_R16,375,0.6129271860670729,0.9226192575957192,0.2313644138593792,4.440215427829827
all_models_common,origins_2019_2021,TRANSMISSION_GOODS_R16,375,0.6123235951313665,0.9362718722198422,0.2321560642191375,4.632651148583867
all_models_common,origins_2019_2021,TRANSMISSION_OWN_R16,375,0.6097667911848855,0.9383799260968572,0.23072227714020865,4.677945310988746
all_models_common,origins_2019_2021,TRANSMISSION_SERVICES_R16,375,0.6127623914383876,0.92779268990745,0.231172795379012,4.503552060564015
all_models_common,origins_2022_2023,BLEND_DAMPED_TRANSMISSION_R16,288,1.0165566289290189,1.3527416034905708,0.18905110002544592,3.7972274087983475
all_models_common,origins_2022_2023,DAMPED_ADAPT_R16,288,0.9898919392739991,1.3591019313332913,0.16793745050594439,3.7743035226709445
all_models_common,origins_2022_2023,DAMPED_P80_Q001_R16,288,0.9624809414035526,1.342420642124365,0.17872428041202268,3.814454124429009
all_models_common,origins_2022_2023,DAMPED_P80_Q010_R16,288,0.9924445932407235,1.3567307562810251,0.12213645825072211,3.811625298294448
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,288,0.9931106666332651,1.3536710780821208,0.07659597817991018,3.7743035226709445
all_models_common,origins_2022_2023,DAMPED_P95_Q010_R16,288,1.1129534619788075,1.4685327639166272,0.04411482964495434,4.074691350163606
all_models_common,origins_2022_2023,INDEPENDENT_BRIDGE,288,1.6582107682995844,2.5017825367057,0.09613195397188513,11.570784153875298
all_models_common,origins_2022_2023,RF_RESIDUAL_R15,288,1.1193076180580652,1.4297229061541852,0.054386598254392265,3.805084783948324
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,288,0.9799888568949133,1.3734079288224592,0.15669153366053207,3.717992482783762
all_models_common,origins_2022_2023,STABLE_PIPELINE_R14B,288,1.5638961475636861,2.4007130938381422,0.13256999676994932,11.111797321650783
all_models_common,origins_2022_2023,STATE_FAST_R15,288,1.0010679110301393,1.3673886862840698,0.13625211091610795,3.8545062228261617
all_models_common,origins_2022_2023,TRANSMISSION_BOTH_R16,288,1.0588439401437373,1.3983406263399827,0.20988970888634179,3.820142743656392
all_models_common,origins_2022_2023,TRANSMISSION_GOODS_R16,288,1.0288475989165606,1.3654991641933032,0.18663512947434796,3.82015166471583
all_models_common,origins_2022_2023,TRANSMISSION_OWN_R16,288,1.0160378295176509,1.39748302812681,0.17076938399317487,4.272975044301867
all_models_common,origins_2022_2023,TRANSMISSION_SERVICES_R16,288,1.0482278930988278,1.4302738214809776,0.216203632554716,4.375593198037839
all_models_common,origins_2024plus,BLEND_DAMPED_TRANSMISSION_R16,372,0.33829487858870305,0.44908049939294437,-0.054274827300197497,1.2748302273459888
all_models_common,origins_2024plus,DAMPED_ADAPT_R16,372,0.318929409646493,0.423447712860159,-0.06011793502009638,1.225221197205463
all_models_common,origins_2024plus,DAMPED_P80_Q001_R16,372,0.3225873845354842,0.42337465862718315,-0.0623107187569084,1.225221197205463
all_models_common,origins_2024plus,DAMPED_P80_Q010_R16,372,0.35441943548460536,0.46964321057792474,-0.029933246469390936,1.4208294330463667
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,372,0.3487553299683557,0.4622506594634458,0.0009113816246198633,1.4534726704095868
all_models_common,origins_2024plus,DAMPED_P95_Q010_R16,372,0.4531362642831296,0.6260140900184108,0.010741562205170144,2.319333573092185
