stage,family,band,feature,n,mean,mean_abs,raw_predictor_mean,annual_signal_change_mean
core,both,0,core_acceleration,90,-0.012861298291451353,0.017088355218107514,-0.17800962148063768,
core,both,0,goods_projection,90,-0.001362782728320497,0.004132298301065319,-0.31334280128950065,-0.02611190010745839
core,both,0,penalized_constant,90,0.007415145018654009,0.007415145018654009,0.007415145018654009,
core,both,0,services_projection,90,0.0012596020122577136,0.003650678820814856,0.31593280050583655,0.026327733375486377
core,both,1,core_acceleration,90,-0.01815874919792061,0.0224576684938673,-0.2556196732492627,
core,both,1,goods_projection,90,-0.0008830038552415137,0.008947685096691147,0.4185977368421251,0.03488314473684376
core,both,1,penalized_constant,90,0.012531967411284272,0.012531967411284272,0.012531967411284272,
core,both,1,services_projection,90,0.0027564540317088914,0.009673141022107116,0.24117568407955373,0.020097973673296143
core,both,2,core_acceleration,90,-0.03169273592927732,0.033614287642384416,-0.4128582087693278,
core,both,2,goods_projection,90,-0.010321588170455337,0.011842755972595844,-0.17528998726383435,-0.014607498938652862
core,both,2,penalized_constant,90,0.023163005523850474,0.023163005523850474,0.023163005523850474,
core,both,2,services_projection,90,0.016208171441863393,0.016208171441863393,0.3460693750867611,0.028839114590563424
core,both,3,core_acceleration,90,-0.02161217226818594,0.03069864235778191,-0.27780010582090425,
core,both,3,goods_projection,90,-0.06682692600176746,0.06731895090800337,-1.7315385654101698,-0.14429488045084748
core,both,3,penalized_constant,90,0.049137799683723206,0.049137799683723206,0.049137799683723206,
core,both,3,services_projection,90,0.06321136274487109,0.06368333547581298,0.4433198063305992,0.03694331719421659
core,goods,0,core_acceleration,90,-0.014768071783750539,0.018953875262187846,-0.20487355298235574,
core,goods,0,goods_projection,90,-0.0019074536125020629,0.004392723790834027,-0.3778922348747992,-0.03149101957289993
core,goods,0,penalized_constant,90,0.008741812083150552,0.008741812083150552,0.008741812083150552,
core,goods,1,core_acceleration,90,-0.01585352040138725,0.020262870494115997,-0.2260883709665544,
core,goods,1,goods_projection,90,-0.0013842033591393783,0.008504618771354767,0.35445929388131675,0.029538274490109727
core,goods,1,penalized_constant,90,0.012191143987132991,0.012191143987132991,0.012191143987132991,
core,goods,2,core_acceleration,90,-0.029493487609990796,0.031229281386150647,-0.387868119766632,
core,goods,2,goods_projection,90,-0.008895103419379744,0.009735342120393477,-0.17396794413736352,-0.014497328678113626
core,goods,2,penalized_constant,90,0.02144743750586585,0.02144743750586585,0.02144743750586585,
core,goods,3,core_acceleration,90,-0.03808972598174979,0.03808972598174979,-0.37372932169725015,
core,goods,3,goods_projection,90,-0.09800176285084496,0.09805887251805287,-2.5025745977986915,-0.20854788314989095
core,goods,3,penalized_constant,90,0.04913779968372322,0.04913779968372322,0.04913779968372322,
core,own,0,core_acceleration,90,-0.01485820476456304,0.020677238097973227,-0.20579831725545494,
core,own,0,penalized_constant,90,0.009198486377340167,0.009198486377340167,0.009198486377340167,
core,own,1,core_acceleration,90,-0.01698879437410227,0.0212486967660436,-0.2250970872476506,
core,own,1,penalized_constant,90,0.013166434784566692,0.013166434784566692,0.013166434784566692,
core,own,2,core_acceleration,90,-0.029478125370864323,0.031326463672958535,-0.36870453651518936,
core,own,2,penalized_constant,90,0.02155805210835318,0.02155805210835318,0.02155805210835318,
core,own,3,core_acceleration,90,-0.027012475505788534,0.02778425877138261,-0.2810969271498171,
core,own,3,penalized_constant,90,0.04431798031457156,0.04431798031457156,0.04431798031457156,
core,services,0,core_acceleration,90,-0.013531984821573471,0.01785117421493808,-0.18693221058136755,
core,services,0,penalized_constant,90,0.007879904929109447,0.007879904929109447,0.007879904929109447,
core,services,0,services_projection,90,0.0016968275785993472,0.003908133157246959,0.37321270371079457,0.031101058642566216
core,services,1,core_acceleration,90,-0.018288334200814292,0.02243730376118504,-0.2568158378011871,
core,services,1,penalized_constant,90,0.012531967411284272,0.012531967411284272,0.012531967411284272,
core,services,1,services_projection,90,0.0023688567018571396,0.009380614957980813,0.22014481994039217,0.018345401661699345
core,services,2,core_acceleration,90,-0.03165901606583459,0.03370365401417185,-0.4124232607272875,
core,services,2,penalized_constant,90,0.023163005523850477,0.023163005523850477,0.023163005523850477,
core,services,2,services_projection,90,0.017544244429095267,0.017544244429095267,0.36434268072991516,0.03036189006082626
core,services,3,core_acceleration,90,-0.018595617961654758,0.03100693449004466,-0.2577594639139801,
core,services,3,penalized_constant,90,0.04667935262665749,0.04667935262665749,0.04667935262665749,
core,services,3,services_projection,90,0.06136216699966047,0.06136216699966047,0.4814611409541591,0.04012176174617992
signal,goods,0,change12,90,-0.09588294141482315,0.09588294141482315,-0.0489219886618988,
signal,goods,0,change3,90,0.4310942227564414,0.4323541827964793,0.3819265318977851,
signal,goods,0,cost_26_mean3,90,0.1028807396126646,0.10436707699455917,11.648523430985959,
signal,goods,0,cost_45_mean3,90,0.10869623862677456,0.10870487886249411,14.864854139505091,
signal,goods,0,cost_47_mean3,90,0.06763137912186812,0.08061359659720636,8.974732545893723,
signal,goods,0,cost_62_mean3,90,0.03877053700839283,0.059056432304854106,1.1811365248094472,
signal,goods,0,fx3,90,0.05547511761468404,0.05575582024278095,0.028429926304101717,
signal,goods,0,level,90,-0.1537444991158929,0.21752395538990857,-0.030931636375086606,
signal,goods,0,penalized_constant,90,0.09486882385947402,0.0968301776839933,0.09486882385947402,
signal,goods,1,change12,90,-0.035605841548359066,0.054765194332130514,-0.027547777464180356,
signal,goods,1,change3,90,0.1749390275397609,0.1760776017187222,0.17233615283650108,
signal,goods,1,cost_26_mean3,90,0.08180461915044272,0.08180529219192874,9.728348691093512,
signal,goods,1,cost_45_mean3,90,0.07458013430550955,0.07458013430550955,12.266037822353201,
signal,goods,1,cost_47_mean3,90,0.10458248437451684,0.10458248437451684,16.53982168622246,
signal,goods,1,cost_62_mean3,90,0.000701120267719971,0.056762030663525455,-0.10186439570114769,
signal,goods,1,fx3,90,0.016970478647125066,0.018846137742248085,0.00838028889378626,
signal,goods,1,level,90,-0.04554453299874655,0.15005479463335858,0.00201555019928325,
signal,goods,1,penalized_constant,90,0.08939991221466131,0.09129624715050914,0.08939991221466131,
signal,goods,2,change12,90,-0.018893079225279726,0.02793966548482219,-0.016816342106709695,
signal,goods,2,change3,90,0.07290395834392485,0.084233649157003,0.06768127075719359,
signal,goods,2,cost_26_mean3,90,0.06139714305320432,0.06667814426129819,7.408736864230228,
signal,goods,2,cost_45_mean3,90,0.0686768301909857,0.0686768301909857,12.660291178420902,
signal,goods,2,cost_47_mean3,90,0.09315345720094151,0.0963710828534039,15.469635275757659,
signal,goods,2,cost_62_mean3,90,0.007921775119656749,0.04995952462294117,0.15462821092834295,
signal,goods,2,fx3,90,0.010872978381117403,0.022283209945906973,0.005238112116653677,
signal,goods,2,level,90,-0.04288338972144911,0.12812736649978324,-0.010803872826579181,
signal,goods,2,penalized_constant,90,0.12534533455669863,0.12569412700092733,0.12534533455669863,
signal,goods,3,change12,90,-0.01968504287419287,0.041601169238384014,-0.004933983552515614,
signal,goods,3,change3,90,0.0316065341135272,0.062009244534499026,0.003151747367494488,
signal,goods,3,cost_26_mean3,90,0.043671192941889245,0.05022811160531626,5.221280334723595,
signal,goods,3,cost_45_mean3,90,0.04883600438586999,0.04911012637453998,9.62550632535195,
signal,goods,3,cost_47_mean3,90,0.06622120143376696,0.0671197249950125,10.832111149195038,
signal,goods,3,cost_62_mean3,90,0.0370141084645107,0.05717859465667377,1.1658972476156362,
