scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,1,full,89,12,2000,1509,78,89,-0.017175540492883765,-0.051173860633393756,0.006923526112067961,0.92,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,1,origins_2019_2021,35,12,2000,1509,24,35,0.014313095521993493,-0.0043022042771843705,0.028910092524084944,0.066,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,1,origins_2022_2023,24,12,2000,1509,13,24,-0.05976606951200253,-0.0988878002753338,0.027890035437512044,0.4745,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,1,origins_2024plus,30,12,2000,1509,19,30,-0.019839859294945566,-0.030261247345453886,-0.013571716584393177,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,1,recent_targets,31,12,2000,1509,20,31,-0.01886831372634967,-0.02951711285547143,-0.014381689705513174,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,2,full,88,12,2000,1509,77,88,-0.06558365391815023,-0.18418346111811174,0.028900549880672297,0.9125,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,2,origins_2019_2021,35,12,2000,1509,24,35,-0.01771493188931869,-0.0925818205714766,0.017091093917973862,0.8955,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,2,origins_2022_2023,24,12,2000,1509,13,24,-0.1416355101789296,-0.3253596789489795,0.20737787654723827,0.4045,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,2,origins_2024plus,29,12,2000,1509,18,29,-0.06041678221988807,-0.09657331012519713,-0.052229089218480386,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,2,recent_targets,31,12,2000,1509,20,31,-0.0577880971265489,-0.09199513505223211,-0.0543178547098088,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,3,full,87,12,2000,1509,76,87,-0.1471946083309338,-0.4251302764195867,0.03165791509424135,0.9455,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,3,origins_2019_2021,35,12,2000,1509,24,35,-0.03883241156716974,-0.14722316265175653,0.00921838396277843,0.944,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,3,origins_2022_2023,24,12,2000,1509,13,24,-0.3631748974700844,-0.9659329989888016,0.33048735465513385,0.7255,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,3,origins_2024plus,28,12,2000,1509,17,28,-0.09752139216636706,-0.1757913038695422,-0.09285896741208513,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,3,recent_targets,31,12,2000,1509,20,31,-0.07975214227997406,-0.16424797360129348,-0.08019916749631989,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,4,full,86,12,2000,1509,75,86,-0.38641769954192556,-1.2763658677615328,0.10925541453712984,0.898,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,4,origins_2019_2021,35,12,2000,1509,24,35,0.016828774593556688,-0.21203929247920245,0.048834518994470805,0.912,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,4,origins_2022_2023,24,12,2000,1509,13,24,-1.2550660837095233,-3.125163803246414,0.6914430517475266,0.8235,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,4,origins_2024plus,27,12,2000,1509,16,27,-0.13701271342042645,-0.23741600048662992,-0.11393293589957953,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,4,recent_targets,31,12,2000,1509,20,31,-0.08495449641431747,-0.22516599212642033,-0.04929986247595936,0.9985,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,5,full,85,12,2000,1509,74,85,-0.6325827776760216,-2.067087088132486,0.216450325662379,0.8965,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,5,origins_2019_2021,35,12,2000,1509,24,35,-0.03984331270246492,-0.48779245992991926,-0.026089022882513573,0.9835,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,5,origins_2022_2023,24,12,2000,1509,13,24,-1.95495929309837,-5.051508842910857,1.3323397375719588,0.8115,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,5,origins_2024plus,26,12,2000,1509,15,26,-0.20984604321210315,-0.3071317920991201,-0.1414610820334135,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,5,recent_targets,31,12,2000,1509,20,31,-0.09837771013911871,-0.2988978187528673,-0.0458547897629655,0.993,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,6,full,84,12,2000,1509,73,84,-1.4372938030969733,-4.291766163810733,0.12434824358295839,0.953,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,6,origins_2019_2021,35,12,2000,1509,24,35,-0.23965963175399696,-0.7248030488796142,-0.2627045042467288,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,6,origins_2022_2023,24,12,2000,1509,13,24,-4.280467737901488,-10.094775703022146,1.9292412975081008,0.843,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,6,origins_2024plus,25,12,2000,1509,14,25,-0.3845346655648057,-0.5192035717956481,-0.21037422744487091,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,6,recent_targets,31,12,2000,1509,20,31,-0.14887156232376555,-0.5046901076110037,-0.030520433014420287,0.9825,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,7,full,83,12,2000,1509,72,83,-2.5631080206630656,-7.74168533191987,0.2408060928214428,0.9525,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,7,origins_2019_2021,35,12,2000,1509,24,35,-0.5744114056844492,-1.382638777285657,-0.3769397753670976,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,7,origins_2022_2023,24,12,2000,1509,13,24,-7.459730686921927,-17.3041874609936,3.2467995420993816,0.843,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,7,origins_2024plus,24,12,2000,1509,13,24,-0.5666679179146864,-0.8040942275002689,-0.25347109584743166,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,7,recent_targets,31,12,2000,1509,20,31,-0.1606298887166726,-0.8332838758847818,0.16343495691085166,0.9305,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,8,full,82,12,2000,1509,71,82,-3.5825791258772792,-10.85302771204013,0.2733706557581726,0.9505,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,8,origins_2019_2021,35,12,2000,1509,24,35,-1.062559919140322,-2.3914943581962977,-0.8051986298126397,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,8,origins_2022_2023,24,12,2000,1509,13,24,-9.894414103232698,-23.25113686494417,4.726415404025608,0.843,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,8,origins_2024plus,23,12,2000,1509,12,23,-0.8311283771496043,-1.2031319599973265,-0.4510333971523341,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,8,recent_targets,31,12,2000,1509,20,31,-0.06740414207445994,-1.1803188873192867,0.5968914413047157,0.8465,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,9,full,81,12,2000,1509,70,81,-5.10091066567398,-15.001598553723555,0.2305954301466531,0.9655,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,9,origins_2019_2021,35,12,2000,1509,24,35,-1.9720186752064128,-4.000298381731828,-1.0094186287659122,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,9,origins_2022_2023,24,12,2000,1509,13,24,-13.426903869305335,-31.242280131441998,6.124734757240688,0.8745,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,9,origins_2024plus,22,12,2000,1509,11,22,-0.995791701092724,-1.454833385927435,-0.8124918878639789,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,9,recent_targets,31,12,2000,1509,20,31,0.22910443232734173,-1.393662406658566,1.2509079479958467,0.722,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,10,full,80,12,2000,1509,69,80,-6.41109246706101,-18.514086236513233,0.38698653077464634,0.9665,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,10,origins_2019_2021,35,12,2000,1509,24,35,-3.1495609096260426,-6.074367425506168,-1.1570774688666703,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,10,origins_2022_2023,24,12,2000,1509,13,24,-15.733767721255115,-37.30352147226961,8.35364328989138,0.864,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,10,origins_2024plus,21,12,2000,1509,10,21,-1.192492391326027,-1.7914830449698027,-1.2734491873632519,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,10,recent_targets,31,12,2000,1509,20,31,0.877039070113445,-1.7014426762170893,2.4778467417006715,0.5355,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,11,full,79,12,2000,1509,68,79,-7.992398310544851,-22.9248753856453,0.2870601864653228,0.9685,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,11,origins_2019_2021,35,12,2000,1509,24,35,-3.9434732833524517,-7.818865671131118,-1.4676999249668623,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,11,origins_2022_2023,24,12,2000,1509,13,24,-19.287898774460157,-45.61251248230706,9.849262077550954,0.8745,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,11,origins_2024plus,20,12,2000,1509,9,20,-1.523416551433188,-2.2255004185669094,-1.4639866655402947,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,11,recent_targets,31,12,2000,1509,20,31,1.8000252906359626,-2.044201151683583,4.351045202545383,0.4155,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,12,full,78,12,2000,1509,67,78,-9.880622762246368,-28.062555998834238,-0.21605505481474435,0.9775,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,12,origins_2019_2021,35,12,2000,1509,24,35,-5.055757934818713,-9.67002318406262,-1.748097313875498,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,12,origins_2022_2023,24,12,2000,1509,13,24,-23.144258117241268,-53.605875772022024,10.51658407287904,0.8745,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,12,origins_2024plus,19,12,2000,1509,8,19,-2.014465943303756,-3.1126081113263755,-1.9335676745533252,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_cumulative_log,12,recent_targets,31,12,2000,1509,20,31,2.231066634851839,-2.7078684060959306,5.7989485152155105,0.3975,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_mm,1,full,89,12,2000,1509,78,89,-0.01758417996070441,-0.052067496535361794,0.006755720231037354,0.921,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_mm,1,origins_2019_2021,35,12,2000,1509,24,35,0.014209091596992445,-0.004586809194376163,0.028749809561797457,0.071,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_mm,1,origins_2022_2023,24,12,2000,1509,13,24,-0.060904765360352074,-0.10110753675496992,0.028536786739439556,0.4745,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_mm,1,origins_2024plus,30,12,2000,1509,19,30,-0.02001986179163263,-0.03052565712508855,-0.013691278916316775,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_mm,1,recent_targets,31,12,2000,1509,20,31,-0.01903937685711254,-0.02974377092687095,-0.014474960182963171,1.0,ok
all_models_common,STABLE_PIPELINE_R14B,BLEND_DAMPED_TRANSMISSION_R16,core_mm,2,full,88,12,2000,1509,77,88,-0.025685529930480646,-0.06281880476676228,0.005982203529175299,0.9495,ok
