signal,band,sample,model,unit,scope,n_intended,n,mae,rmse,bias
goods,0,full,selected_projection,annual_log_pp,projection_persistence_common,90,87,0.8959590522455009,1.2448464029967437,0.05905343193737955
goods,0,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,87,1.0997838313573571,1.6027939413315542,0.00457483229756179
goods,0,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,0.9544249767465824,1.3447900030293698,-0.8003211062682688
goods,0,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,0.9364428698354677,1.346375538715814,-0.7595204277730979
goods,0,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,1.4670261024874138,1.671351190511562,1.2267833961152184
goods,0,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,2.311622989111998,2.5478622417962624,1.0224519617790806
goods,0,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,28,0.3333906035546529,0.40003762128595005,0.13236020682772096
goods,0,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,28,0.2652407551843132,0.3898083837045878,0.08722779640172748
goods,0,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,34,31,0.3215154023603881,0.38633893755057996,0.12365160184559432
goods,0,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,34,31,0.4099334332292595,0.6665664059447157,0.2491475349740208
goods,1,full,selected_projection,annual_log_pp,projection_persistence_common,90,84,2.4507069089247855,3.5589755553919065,0.5489078811721578
goods,1,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,84,2.1190054952046222,3.117112877081505,0.004348296239745104
goods,1,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,1.963836986071831,2.7813480858639337,-1.7664338951630916
goods,1,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,1.983556936462527,2.8229132237462338,-1.78071701502881
goods,1,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,5.4336533932659945,5.734621199228829,4.482691626930296
goods,1,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,4.22130065970758,4.708749844991288,2.5117094157414983
goods,1,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,25,0.2686961759513611,0.3976058370971047,0.013953972113694604
goods,1,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,25,0.29043011952071507,0.45307023553869824,0.09637305729403975
goods,1,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,37,31,0.9540916093338966,1.816860183030959,0.7486543481744878
goods,1,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,37,31,1.030723157379212,1.9656103766249542,0.8742255265512479
goods,2,full,selected_projection,annual_log_pp,projection_persistence_common,90,81,3.468232522578782,5.149393716076152,0.38088712060971114
goods,2,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,81,3.0952980389093985,4.49246841813086,-0.0008242491091443998
goods,2,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,3.070756240701509,4.219615547761226,-3.0477579203256733
goods,2,origins_2019_2021,annual_signal_persistence,annual_log_pp,projection_persistence_common,35,35,3.0521000137173835,4.218024030832648,-2.9612362317643695
goods,2,origins_2022_2023,selected_projection,annual_log_pp,projection_persistence_common,24,24,6.91197061747981,7.954140944151317,5.584792439364119
goods,2,origins_2022_2023,annual_signal_persistence,annual_log_pp,projection_persistence_common,24,24,5.738839412058031,6.47950633357459,4.230536011542246
goods,2,origins_2024plus,selected_projection,annual_log_pp,projection_persistence_common,31,22,0.34377595840059505,0.5306802362129487,0.1585620652748321
goods,2,origins_2024plus,annual_signal_persistence,annual_log_pp,projection_persistence_common,31,22,0.28015885373455024,0.4491193560889122,0.09289271167719702
goods,2,recent_targets,selected_projection,annual_log_pp,projection_persistence_common,40,31,2.0199103963524814,3.607548838178228,1.8884682786503273
goods,2,recent_targets,annual_signal_persistence,annual_log_pp,projection_persistence_common,40,31,1.9869817498785176,3.6427600769157014,1.8540831974507184
goods,3,full,selected_projection,annual_log_pp,projection_persistence_common,90,78,4.460765257731203,6.1847867779065036,0.35976765546652595
goods,3,full,annual_signal_persistence,annual_log_pp,projection_persistence_common,90,78,4.083375684441191,5.673546416252411,0.005517972176703154
goods,3,origins_2019_2021,selected_projection,annual_log_pp,projection_persistence_common,35,35,4.248191488247845,5.420054449139963,-4.248191488247845
