sample,h,model,n,rmse,mae,bias
all,1,INDEPENDENT_BRIDGE,18,1.5935813439003845,0.9287963255666476,-0.22524732286277638
all,1,STABLE_LOCAL_CORE_R14B,18,1.5150846954183481,0.8614488685140438,-0.21733151407034454
all,1,STABLE_LONG_CORE_R14B,18,1.5110298796089812,0.8590864973663614,-0.23254550001072202
all,1,STABLE_LONG_GAP_R14B,18,1.4853297030823982,0.8554632319317942,-0.1559596589889278
all,1,STABLE_PIPELINE_R14B,18,1.6192726497186278,0.9064519693021711,-0.2915428765609737
all,1,TVWQRF_QRF_MEAN_FULLM,18,1.9893135120011598,1.1436697964250402,-0.3856891078693228
all,1,TVWQRF_TVW3_FULLM,18,1.9911883733990146,1.2184883903545245,-0.3361083858465985
all,1,cnb,18,0.9474636327304553,0.5554610620931574,0.16478353356269948
all,2,INDEPENDENT_BRIDGE,17,2.186317994027109,1.521678496358175,-0.3327753754618835
all,2,STABLE_LOCAL_CORE_R14B,17,2.2849857939090352,1.5282284674776156,-0.386888643752171
all,2,STABLE_LONG_CORE_R14B,17,2.142328844354947,1.4262057704607882,-0.40926694749442133
all,2,STABLE_LONG_GAP_R14B,17,2.101102663283743,1.4059746399937767,-0.2011763367259381
all,2,STABLE_PIPELINE_R14B,17,2.205374865135757,1.4832959143977618,-0.5105332009199857
all,2,TVWQRF_QRF_MEAN_FULLM,17,2.92785690358419,1.8786378261937084,-0.4317998376612149
all,2,TVWQRF_TVW3_FULLM,17,2.8877170476091165,1.8206189357006042,-0.3597744766289983
all,2,cnb,17,2.0747355620744745,1.1758911766503264,-0.3511216184204279
all,3,INDEPENDENT_BRIDGE,16,2.4782918433651107,1.7795609542439759,-0.22785900880405752
all,3,STABLE_LOCAL_CORE_R14B,16,2.7517735346519427,1.7255066816704079,-0.2323563012404135
all,3,STABLE_LONG_CORE_R14B,16,2.4925138168322203,1.4740028696273706,-0.17806351856525465
all,3,STABLE_LONG_GAP_R14B,16,2.5309433229508027,1.5194190844915403,0.17788169341812066
all,3,STABLE_PIPELINE_R14B,16,2.556945307339078,1.7712797769523414,-0.4767182596521043
all,3,TVWQRF_QRF_MEAN_FULLM,16,3.4451478214638342,1.8284018498549366,-0.2300640137640303
all,3,TVWQRF_TVW3_FULLM,16,3.3935759667379415,1.9585183582161245,-0.186594848848756
all,3,cnb,16,2.50631043977168,1.1088691841257823,-0.7537429704129581
all,4,INDEPENDENT_BRIDGE,15,3.3904956450344303,2.270950511784622,0.09676465355181404
all,4,STABLE_LOCAL_CORE_R14B,15,3.4277006084807518,2.1689627517832255,0.09761976949231896
