report_date,cutoff,report_origin,cutoff_origin,report_clock,cutoff_clock
2022-02-10,2022-01-21,2021-12,2021-12,2022-01-11 22:59:00+00:00,2022-01-11 22:59:00+00:00
2022-05-12,2022-04-22,2022-04,2022-03,2022-05-09 21:59:00+00:00,2022-04-10 21:59:00+00:00
2022-08-11,2022-07-22,2022-07,2022-06,2022-08-09 21:59:00+00:00,2022-07-12 21:59:00+00:00
2022-11-10,2022-10-21,2022-10,2022-09,2022-11-09 22:59:00+00:00,2022-10-10 21:59:00+00:00
2023-02-09,2023-01-20,2022-12,2022-12,2023-01-10 22:59:00+00:00,2023-01-10 22:59:00+00:00
2023-05-11,2023-04-21,2023-04,2023-03,2023-05-10 21:59:00+00:00,2023-04-12 21:59:00+00:00
2023-08-10,2023-07-21,2023-07,2023-06,2023-08-09 21:59:00+00:00,2023-07-12 21:59:00+00:00
2023-11-09,2023-10-20,2023-09,2023-09,2023-10-09 21:59:00+00:00,2023-10-09 21:59:00+00:00
2024-02-15,2024-01-26,2024-01,2023-12,2024-02-14 22:59:00+00:00,2024-01-10 22:59:00+00:00
2024-05-09,2024-04-26,2024-03,2024-03,2024-04-09 21:59:00+00:00,2024-04-09 21:59:00+00:00
2024-08-08,2024-07-26,2024-06,2024-06,2024-07-09 21:59:00+00:00,2024-07-09 21:59:00+00:00
2024-11-14,2024-10-31,2024-10,2024-09,2024-11-10 22:59:00+00:00,2024-10-09 21:59:00+00:00
2025-02-13,2025-01-24,2025-01,2024-12,2025-02-05 22:59:00+00:00,2025-01-12 22:59:00+00:00
2025-05-15,2025-04-25,2025-04,2025-03,2025-05-05 21:59:00+00:00,2025-04-03 21:59:00+00:00
2025-08-14,2025-07-25,2025-07,2025-06,2025-08-04 21:59:00+00:00,2025-07-03 21:59:00+00:00
2025-11-13,2025-10-24,2025-10,2025-09,2025-11-04 22:59:00+00:00,2025-10-05 21:59:00+00:00
2026-02-12,2026-01-23,2026-01,2025-12,2026-02-04 22:59:00+00:00,2026-01-06 22:59:00+00:00
2026-05-14,2026-04-24,2026-04,2026-03,2026-05-05 21:59:00+00:00,2026-04-06 21:59:00+00:00
2026-08-13,2026-07-24,2026-07,2026-06,2026-08-04 21:59:00+00:00,2026-07-06 21:59:00+00:00
