sample,h,model,n,rmse,mae,bias
all,1,INDEPENDENT_BRIDGE,18,1.5423610515859347,0.8561549384541727,-0.12263847320135733
all,1,STABLE_LOCAL_CORE_R14B,18,1.4980442802060907,0.8408335177795973,-0.13412322597359927
all,1,STABLE_LONG_CORE_R14B,18,1.5160632576382997,0.8430468028098189,-0.14632604207282163
all,1,STABLE_LONG_GAP_R14B,18,1.4935405416086875,0.8448531756501906,-0.0964703712802048
all,1,STABLE_PIPELINE_R14B,18,1.5578741110103311,0.821881431060925,-0.1457548406595116
all,1,TVWQRF_QRF_MEAN_FULLM,18,1.9974993603291937,1.1803488413310086,-0.23267494408780076
all,1,TVWQRF_TVW3_FULLM,18,1.9645515163261689,1.1672523246565012,-0.2339734171970046
all,1,cnb,18,0.9474636327304553,0.5554610620931574,0.16478353356269948
all,2,INDEPENDENT_BRIDGE,17,1.9550799989592569,1.324550549214224,-0.2416342921928459
all,2,STABLE_LOCAL_CORE_R14B,17,2.023638472874818,1.3657137206216103,-0.31210430329027555
all,2,STABLE_LONG_CORE_R14B,17,1.9744682016763726,1.3104578472199713,-0.3311405557212769
all,2,STABLE_LONG_GAP_R14B,17,1.9419520488623103,1.2824081527057412,-0.1543806977775467
all,2,STABLE_PIPELINE_R14B,17,1.9660498972024922,1.3208271202394373,-0.3546974755260695
all,2,TVWQRF_QRF_MEAN_FULLM,17,2.8276721723058653,1.6806502340812635,-0.26050864149175645
all,2,TVWQRF_TVW3_FULLM,17,2.780282444933127,1.6739032243229326,-0.24426605192192574
all,2,cnb,17,2.0747355620744745,1.1758911766503264,-0.3511216184204279
all,3,INDEPENDENT_BRIDGE,16,2.2360733185967456,1.5953936967099076,-0.07658255902275624
all,3,STABLE_LOCAL_CORE_R14B,16,2.528580319221325,1.5768533028700547,-0.1683606258470105
all,3,STABLE_LONG_CORE_R14B,16,2.3378411720518106,1.3479582858622492,-0.11765012251981927
all,3,STABLE_LONG_GAP_R14B,16,2.389030924554612,1.4116917065139936,0.21224619919788024
all,3,STABLE_PIPELINE_R14B,16,2.2716612742565516,1.5500904424676212,-0.2818872148459821
all,3,TVWQRF_QRF_MEAN_FULLM,16,3.2853990247286364,1.7844208132307646,-0.03777700130183631
all,3,TVWQRF_TVW3_FULLM,16,3.2283013242306335,1.8585722046241255,-0.05331790753558058
all,3,cnb,16,2.50631043977168,1.1088691841257823,-0.7537429704129581
all,4,INDEPENDENT_BRIDGE,15,3.4693003878793642,2.4930300050087397,0.3059258693727978
all,4,STABLE_LOCAL_CORE_R14B,15,3.1502610456809155,2.0604814159079634,0.1501993191853628
all,4,STABLE_LONG_CORE_R14B,15,3.140974671571939,2.2635490913256833,0.4273124570242465
all,4,STABLE_LONG_GAP_R14B,15,3.3956277142689393,2.5639410136826277,0.9226440313075781
all,4,STABLE_PIPELINE_R14B,15,3.4245866994070306,2.4088116789718157,0.0016688328391894825
