report_date,cutoff_date,origin,origin_clock,model,quarter,quarters_ahead,forecast,realised,error
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,cnb,2023Q1,4,7.857,16.393468660721577,-8.536468660721578
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,INDEPENDENT_BRIDGE,2022Q2,1,13.642,15.772308516091234,-2.130308516091235
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,INDEPENDENT_BRIDGE,2022Q3,2,13.715,17.578003612072628,-3.863003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,INDEPENDENT_BRIDGE,2022Q4,3,13.037,15.69904392215021,-2.6620439221502092
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,INDEPENDENT_BRIDGE,2023Q1,4,8.378,16.393468660721577,-8.015468660721577
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LOCAL_CORE_R14B,2022Q2,1,13.406,15.772308516091234,-2.366308516091234
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LOCAL_CORE_R14B,2022Q3,2,13.19,17.578003612072628,-4.3880036120726285
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LOCAL_CORE_R14B,2022Q4,3,13.021,15.69904392215021,-2.6780439221502093
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LOCAL_CORE_R14B,2023Q1,4,9.042,16.393468660721577,-7.351468660721578
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_PIPELINE_R14B,2022Q2,1,13.39,15.772308516091234,-2.382308516091234
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_PIPELINE_R14B,2022Q3,2,13.164,17.578003612072628,-4.414003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_PIPELINE_R14B,2022Q4,3,12.509,15.69904392215021,-3.1900439221502097
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_PIPELINE_R14B,2023Q1,4,7.871,16.393468660721577,-8.522468660721577
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_CORE_R14B,2022Q2,1,13.536,15.772308516091234,-2.236308516091235
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_CORE_R14B,2022Q3,2,13.719,17.578003612072628,-3.8590036120726285
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_CORE_R14B,2022Q4,3,13.867,15.69904392215021,-1.8320439221502092
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_CORE_R14B,2023Q1,4,10.039,16.393468660721577,-6.354468660721578
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_GAP_R14B,2022Q2,1,13.614,15.772308516091234,-2.1583085160912336
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_GAP_R14B,2022Q3,2,14.032,17.578003612072628,-3.546003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_GAP_R14B,2022Q4,3,14.405,15.69904392215021,-1.2940439221502107
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,STABLE_LONG_GAP_R14B,2023Q1,4,10.764,16.393468660721577,-5.629468660721578
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,F1b,2022Q3,2,13.894,17.578003612072628,-3.684003612072628
2022-05-12,2022-04-22,2022-04,2022-05-09 23:59,F1b,2022Q4,3,13.154,15.69904392215021,-2.54504392215021
