mode,report_date,quarter,quarters_ahead,origin,model,forecast,realised,error
report,2022-02-10,2022Q1,1,2021-12,INDEPENDENT_BRIDGE,11.177362264313453,11.23658150891361,-0.05921924460015582
report,2022-02-10,2022Q1,1,2021-12,STABLE_PIPELINE_R14B,11.099646397134174,11.23658150891361,-0.13693511177943485
report,2022-02-10,2022Q1,1,2021-12,STABLE_LOCAL_CORE_R14B,10.315484621188089,11.23658150891361,-0.9210968877255201
report,2022-02-10,2022Q1,1,2021-12,STABLE_LONG_CORE_R14B,10.502604464871233,11.23658150891361,-0.7339770440423763
report,2022-02-10,2022Q1,1,2021-12,STABLE_LONG_GAP_R14B,10.562925954060326,11.23658150891361,-0.6736555548532834
report,2022-02-10,2022Q1,1,2021-12,TVWQRF_TVW3_FULLM,7.072525096310798,11.23658150891361,-4.164056412602811
report,2022-02-10,2022Q1,1,2021-12,TVWQRF_QRF_MEAN_FULLM,6.819094768920571,11.23658150891361,-4.417486739993038
report,2022-02-10,2022Q1,1,2021-12,cnb,9.63663198795535,11.23658150891361,-1.5999495209582584
cutoff,2022-02-10,2022Q1,1,2021-12,INDEPENDENT_BRIDGE,11.177362264313453,11.23658150891361,-0.05921924460015582
cutoff,2022-02-10,2022Q1,1,2021-12,STABLE_PIPELINE_R14B,11.099646397134174,11.23658150891361,-0.13693511177943485
cutoff,2022-02-10,2022Q1,1,2021-12,STABLE_LOCAL_CORE_R14B,10.315484621188089,11.23658150891361,-0.9210968877255201
cutoff,2022-02-10,2022Q1,1,2021-12,STABLE_LONG_CORE_R14B,10.502604464871233,11.23658150891361,-0.7339770440423763
cutoff,2022-02-10,2022Q1,1,2021-12,STABLE_LONG_GAP_R14B,10.562925954060326,11.23658150891361,-0.6736555548532834
cutoff,2022-02-10,2022Q1,1,2021-12,TVWQRF_TVW3_FULLM,7.072525096310798,11.23658150891361,-4.164056412602811
cutoff,2022-02-10,2022Q1,1,2021-12,TVWQRF_QRF_MEAN_FULLM,6.819094768920571,11.23658150891361,-4.417486739993038
cutoff,2022-02-10,2022Q1,1,2021-12,cnb,9.63663198795535,11.23658150891361,-1.5999495209582584
report,2022-02-10,2022Q2,2,2021-12,INDEPENDENT_BRIDGE,12.086840018543763,15.772308516091234,-3.685468497547472
report,2022-02-10,2022Q2,2,2021-12,STABLE_PIPELINE_R14B,11.85802063081618,15.772308516091234,-3.914287885275055
report,2022-02-10,2022Q2,2,2021-12,STABLE_LOCAL_CORE_R14B,10.617180777830512,15.772308516091234,-5.155127738260722
report,2022-02-10,2022Q2,2,2021-12,STABLE_LONG_CORE_R14B,10.785246870924881,15.772308516091234,-4.987061645166353
report,2022-02-10,2022Q2,2,2021-12,STABLE_LONG_GAP_R14B,10.933346640407374,15.772308516091234,-4.838961875683861
report,2022-02-10,2022Q2,2,2021-12,TVWQRF_TVW3_FULLM,7.551828036310642,15.772308516091234,-8.220480479780592
report,2022-02-10,2022Q2,2,2021-12,TVWQRF_QRF_MEAN_FULLM,7.0928746733868335,15.772308516091234,-8.679433842704402
report,2022-02-10,2022Q2,2,2021-12,cnb,9.50510416,15.772308516091234,-6.267204356091234
cutoff,2022-02-10,2022Q2,2,2021-12,INDEPENDENT_BRIDGE,12.086840018543763,15.772308516091234,-3.685468497547472
cutoff,2022-02-10,2022Q2,2,2021-12,STABLE_PIPELINE_R14B,11.85802063081618,15.772308516091234,-3.914287885275055
cutoff,2022-02-10,2022Q2,2,2021-12,STABLE_LOCAL_CORE_R14B,10.617180777830512,15.772308516091234,-5.155127738260722
cutoff,2022-02-10,2022Q2,2,2021-12,STABLE_LONG_CORE_R14B,10.785246870924881,15.772308516091234,-4.987061645166353
cutoff,2022-02-10,2022Q2,2,2021-12,STABLE_LONG_GAP_R14B,10.933346640407374,15.772308516091234,-4.838961875683861
cutoff,2022-02-10,2022Q2,2,2021-12,TVWQRF_TVW3_FULLM,7.551828036310642,15.772308516091234,-8.220480479780592
cutoff,2022-02-10,2022Q2,2,2021-12,TVWQRF_QRF_MEAN_FULLM,7.0928746733868335,15.772308516091234,-8.679433842704402
cutoff,2022-02-10,2022Q2,2,2021-12,cnb,9.50510416,15.772308516091234,-6.267204356091234
report,2022-02-10,2022Q3,3,2021-12,INDEPENDENT_BRIDGE,11.082037364712363,17.578003612072628,-6.495966247360265
report,2022-02-10,2022Q3,3,2021-12,STABLE_PIPELINE_R14B,10.800060753416803,17.578003612072628,-6.777942858655825
report,2022-02-10,2022Q3,3,2021-12,STABLE_LOCAL_CORE_R14B,9.738990276594148,17.578003612072628,-7.83901333547848
report,2022-02-10,2022Q3,3,2021-12,STABLE_LONG_CORE_R14B,9.498111726026346,17.578003612072628,-8.079891886046282
report,2022-02-10,2022Q3,3,2021-12,STABLE_LONG_GAP_R14B,9.730479942336116,17.578003612072628,-7.847523669736512
report,2022-02-10,2022Q3,3,2021-12,TVWQRF_TVW3_FULLM,6.996482265192857,17.578003612072628,-10.581521346879772
report,2022-02-10,2022Q3,3,2021-12,TVWQRF_QRF_MEAN_FULLM,6.2689319177863885,17.578003612072628,-11.309071694286239
report,2022-02-10,2022Q3,3,2021-12,cnb,8.17038043,17.578003612072628,-9.407623182072628
cutoff,2022-02-10,2022Q3,3,2021-12,INDEPENDENT_BRIDGE,11.082037364712363,17.578003612072628,-6.495966247360265
cutoff,2022-02-10,2022Q3,3,2021-12,STABLE_PIPELINE_R14B,10.800060753416803,17.578003612072628,-6.777942858655825
cutoff,2022-02-10,2022Q3,3,2021-12,STABLE_LOCAL_CORE_R14B,9.738990276594148,17.578003612072628,-7.83901333547848
cutoff,2022-02-10,2022Q3,3,2021-12,STABLE_LONG_CORE_R14B,9.498111726026346,17.578003612072628,-8.079891886046282
cutoff,2022-02-10,2022Q3,3,2021-12,STABLE_LONG_GAP_R14B,9.730479942336116,17.578003612072628,-7.847523669736512
cutoff,2022-02-10,2022Q3,3,2021-12,TVWQRF_TVW3_FULLM,6.996482265192857,17.578003612072628,-10.581521346879772
cutoff,2022-02-10,2022Q3,3,2021-12,TVWQRF_QRF_MEAN_FULLM,6.2689319177863885,17.578003612072628,-11.309071694286239
cutoff,2022-02-10,2022Q3,3,2021-12,cnb,8.17038043,17.578003612072628,-9.407623182072628
report,2022-02-10,2022Q4,4,2021-12,INDEPENDENT_BRIDGE,10.124566290262727,15.69904392215021,-5.574477631887483
report,2022-02-10,2022Q4,4,2021-12,STABLE_PIPELINE_R14B,9.787442283759097,15.69904392215021,-5.911601638391113
report,2022-02-10,2022Q4,4,2021-12,STABLE_LOCAL_CORE_R14B,8.87911240826681,15.69904392215021,-6.8199315138834
report,2022-02-10,2022Q4,4,2021-12,STABLE_LONG_CORE_R14B,8.700543129427109,15.69904392215021,-6.998500792723101
report,2022-02-10,2022Q4,4,2021-12,STABLE_LONG_GAP_R14B,9.018239409905567,15.69904392215021,-6.680804512244643
report,2022-02-10,2022Q4,4,2021-12,TVWQRF_TVW3_FULLM,6.1744764662979605,15.69904392215021,-9.52456745585225
report,2022-02-10,2022Q4,4,2021-12,TVWQRF_QRF_MEAN_FULLM,5.157678476621956,15.69904392215021,-10.541365445528253
report,2022-02-10,2022Q4,4,2021-12,cnb,6.62746481,15.69904392215021,-9.07157911215021
cutoff,2022-02-10,2022Q4,4,2021-12,INDEPENDENT_BRIDGE,10.124566290262727,15.69904392215021,-5.574477631887483
cutoff,2022-02-10,2022Q4,4,2021-12,STABLE_PIPELINE_R14B,9.787442283759097,15.69904392215021,-5.911601638391113
cutoff,2022-02-10,2022Q4,4,2021-12,STABLE_LOCAL_CORE_R14B,8.87911240826681,15.69904392215021,-6.8199315138834
cutoff,2022-02-10,2022Q4,4,2021-12,STABLE_LONG_CORE_R14B,8.700543129427109,15.69904392215021,-6.998500792723101
cutoff,2022-02-10,2022Q4,4,2021-12,STABLE_LONG_GAP_R14B,9.018239409905567,15.69904392215021,-6.680804512244643
cutoff,2022-02-10,2022Q4,4,2021-12,TVWQRF_TVW3_FULLM,6.1744764662979605,15.69904392215021,-9.52456745585225
cutoff,2022-02-10,2022Q4,4,2021-12,TVWQRF_QRF_MEAN_FULLM,5.157678476621956,15.69904392215021,-10.541365445528253
cutoff,2022-02-10,2022Q4,4,2021-12,cnb,6.62746481,15.69904392215021,-9.07157911215021
report,2022-05-12,2022Q2,1,2022-04,INDEPENDENT_BRIDGE,13.642448199420956,15.772308516091234,-2.1298603166702783
report,2022-05-12,2022Q2,1,2022-04,STABLE_PIPELINE_R14B,13.390134862971216,15.772308516091234,-2.3821736531200184
report,2022-05-12,2022Q2,1,2022-04,STABLE_LOCAL_CORE_R14B,13.40600497382627,15.772308516091234,-2.366303542264964
report,2022-05-12,2022Q2,1,2022-04,STABLE_LONG_CORE_R14B,13.535606742223754,15.772308516091234,-2.2367017738674804
report,2022-05-12,2022Q2,1,2022-04,STABLE_LONG_GAP_R14B,13.614318256151618,15.772308516091234,-2.1579902599396164
report,2022-05-12,2022Q2,1,2022-04,TVWQRF_TVW3_FULLM,13.706230652677684,15.772308516091234,-2.0660778634135504
report,2022-05-12,2022Q2,1,2022-04,TVWQRF_QRF_MEAN_FULLM,13.659775507839107,15.772308516091234,-2.112533008252127
report,2022-05-12,2022Q2,1,2022-04,cnb,14.5366564687991,15.772308516091234,-1.2356520472921346
cutoff,2022-05-12,2022Q2,1,2022-03,INDEPENDENT_BRIDGE,12.390993357351249,15.772308516091234,-3.3813151587399854
cutoff,2022-05-12,2022Q2,1,2022-03,STABLE_PIPELINE_R14B,12.024855449922148,15.772308516091234,-3.7474530661690864
cutoff,2022-05-12,2022Q2,1,2022-03,STABLE_LOCAL_CORE_R14B,12.474471982392691,15.772308516091234,-3.2978365336985433
cutoff,2022-05-12,2022Q2,1,2022-03,STABLE_LONG_CORE_R14B,12.708461734729577,15.772308516091234,-3.063846781361658
cutoff,2022-05-12,2022Q2,1,2022-03,STABLE_LONG_GAP_R14B,12.86104523399147,15.772308516091234,-2.911263282099764
cutoff,2022-05-12,2022Q2,1,2022-03,TVWQRF_TVW3_FULLM,13.170273786209718,15.772308516091234,-2.6020347298815167
cutoff,2022-05-12,2022Q2,1,2022-03,TVWQRF_QRF_MEAN_FULLM,12.954891675438574,15.772308516091234,-2.81741684065266
