sample,h,model,n,rmse,mae,bias
all,1,F1b,5,2.5026964261517266,1.4153783901427288,-1.0004160629373977
all,1,F2,5,2.8095301527479717,1.9847783901427287,-1.6842160629373981
all,1,INDEPENDENT_BRIDGE,18,1.542475902738601,0.8562847329057726,-0.12274489786734291
all,1,STABLE_LOCAL_CORE_R14B,18,1.4981711812363836,0.8408608666506918,-0.13418934231178747
all,1,STABLE_LONG_CORE_R14B,18,1.5159185268635404,0.843002778371524,-0.1462448978673429
all,1,STABLE_LONG_GAP_R14B,18,1.493509117905118,0.8448576137963569,-0.09652267564512051
all,1,STABLE_PIPELINE_R14B,18,1.557809798966879,0.821930190907778,-0.14585600897845394
all,1,TVWQRF_QRF_MEAN_FULLM,18,1.9975845930514577,1.1803721846542026,-0.2326893423117872
all,1,TVWQRF_TVW3_FULLM,18,1.9643899025663822,1.1670944068764244,-0.2340782312006763
all,1,cnb,18,0.9473954028225777,0.5554347050489548,0.16481065768821265
all,2,F1b,17,2.128321830062843,1.4080337500275544,-0.35551921486462157
all,2,F2,17,2.7664150489337582,1.5458214178429508,-0.9889309795705037
all,2,INDEPENDENT_BRIDGE,17,1.955164981871515,1.3245676763003171,-0.24175450898226844
all,2,STABLE_LOCAL_CORE_R14B,17,2.0235953074522577,1.3656853233591406,-0.31216627368815075
all,2,STABLE_LONG_CORE_R14B,17,1.9744413772220317,1.310371787925839,-0.33110745015873894
all,2,STABLE_LONG_GAP_R14B,17,1.94193194273524,1.282371787925839,-0.15440156780579783
all,2,STABLE_PIPELINE_R14B,17,1.9660012158480626,1.3206853233591407,-0.35481333251168024
all,2,TVWQRF_QRF_MEAN_FULLM,17,2.827676320137174,1.6807344793234125,-0.2604603913352095
all,2,TVWQRF_TVW3_FULLM,17,2.7803474735483604,1.6740679186370577,-0.24422509721756266
all,2,cnb,17,2.074764116704925,1.175953127264956,-0.35110745015873895
all,3,F1b,16,2.4144501920634736,1.6207139929524916,-0.265032383537958
