month,catering
2015-01,99.5
2015-02,99.599999999999994
2015-03,99.599999999999994
2015-04,99.700000000000003
2015-05,100
2015-06,100
2015-07,100.09999999999999
2015-08,100.2
2015-09,100.3
2015-10,100.3
2015-11,100.3
2015-12,100.40000000000001
2016-01,100.7
2016-02,100.7
2016-03,100.90000000000001
2016-04,100.90000000000001
2016-05,101.2
2016-06,101.2
2016-07,101.3
2016-08,101.5
2016-09,101.59999999999999
2016-10,102.09999999999999
2016-11,102.8
2016-12,105.3
2017-01,106.09999999999999
2017-02,106.7
2017-03,107
2017-04,107.3
2017-05,107.59999999999999
2017-06,107.7
2017-07,108.09999999999999
2017-08,108.3
2017-09,109.3
2017-10,109.5
2017-11,109.7
2017-12,109.90000000000001
2018-01,110.5
2018-02,110.59999999999999
2018-03,110.90000000000001
2018-04,111.09999999999999
2018-05,111.5
2018-06,111.7
2018-07,112
2018-08,112.09999999999999
2018-09,112.59999999999999
2018-10,113.2
2018-11,113.8
2018-12,114.2
2019-01,114.8
2019-02,115.09999999999999
2019-03,115.3
2019-04,115.59999999999999
2019-05,116
2019-06,116.59999999999999
2019-07,117
2019-08,117.40000000000001
2019-09,118.3
2019-10,118.8
2019-11,119.3
2019-12,119.7
2020-01,121
2020-02,121.59999999999999
2020-03,121.90000000000001
2020-04,122
2020-05,122.5
2020-06,123
2020-07,123.5
2020-08,123.8
2020-09,124.7
2020-10,125.09999999999999
2020-11,125.2
2020-12,125.3
2021-01,125.7
2021-02,125.8
2021-03,126
2021-04,126.09999999999999
2021-05,126.3
2021-06,127.7
2021-07,129
2021-08,130.19999999999999
2021-09,131.5
2021-10,132.69999999999999
2021-11,134.69999999999999
2021-12,135.5
2022-01,139.80000000000001
2022-02,141.80000000000001
2022-03,144.90000000000001
2022-04,150.69999999999999
2022-05,155.09999999999999
2022-06,157.69999999999999
2022-07,160
2022-08,162.40000000000001
2022-09,165.69999999999999
2022-10,168
2022-11,169.69999999999999
2022-12,170.80000000000001
2023-01,173.09999999999999
2023-02,174.40000000000001
2023-03,176
2023-04,177.19999999999999
2023-05,178.5
2023-06,179.5
2023-07,180.5
2023-08,181.30000000000001
2023-09,182.40000000000001
2023-10,182.90000000000001
2023-11,183.90000000000001
2023-12,184.69999999999999
2024-01,187.90000000000001
2024-02,189.5
2024-03,190.40000000000001
2024-04,191.19999999999999
2024-05,191.90000000000001
2024-06,192.80000000000001
2024-07,193.30000000000001
2024-08,193.59999999999999
2024-09,195
2024-10,195.59999999999999
2024-11,196.30000000000001
2024-12,196.59999999999999
2025-01,197.59999999999999
2025-02,198.69999999999999
2025-03,199.40000000000001
2025-04,200.09999999999999
2025-05,200.69999999999999
2025-06,201.09999999999999
2025-07,202
2025-08,202.5
2025-09,203.69999999999999
2025-10,204.30000000000001
2025-11,204.80000000000001
2025-12,205.40000000000001
2026-01,206.59999999999999
2026-02,207
2026-03,207.5
2026-04,208.19999999999999
2026-05,209
2026-06,209.59999999999999
2026-07,210.09999999999999
2026-08,210.40000000000001
