run,sample,h,n,original_rmse,corrected_rmse
realtime_full_luci,full,0,90,0.46803188846412486,0.46803188846412486
realtime_full_luci,full,1,89,1.0999864804152402,1.1137539892210602
realtime_full_luci,full,2,88,1.6425926473635901,1.686958607709426
realtime_full_luci,full,3,87,1.9231965820594834,1.9791580599385636
realtime_full_luci,full,4,86,2.295869840864686,2.343070270178879
realtime_full_luci,full,5,85,2.624146377924993,2.6360976919680823
realtime_full_luci,full,6,84,2.9318825239291533,2.9277927842472637
realtime_full_luci,full,7,83,3.3098890770478127,3.2856088007607163
realtime_full_luci,full,8,82,3.705189921844801,3.6568034583918294
realtime_full_luci,full,9,81,4.144424324864919,4.084257034702281
realtime_full_luci,full,10,80,4.63796320167851,4.560705750822819
realtime_full_luci,full,11,79,5.0806421030314395,4.998295207452279
realtime_full_luci,full,12,78,5.495545607835405,5.410152950015192
realtime_full_luci,recent_origins,0,31,0.21550552008746246,0.21550552008746238
realtime_full_luci,recent_origins,1,30,0.46454116098441045,0.4612675578916674
realtime_full_luci,recent_origins,2,29,0.47584111492851516,0.4787145259488011
realtime_full_luci,recent_origins,3,28,0.5438183007683365,0.5575769369768673
realtime_full_luci,recent_origins,4,27,0.660736457882972,0.663940917368152
realtime_full_luci,recent_origins,5,26,0.6982689428536571,0.6927542991972491
realtime_full_luci,recent_origins,6,25,0.7808930743375592,0.8021850558550043
realtime_full_luci,recent_origins,7,24,0.8941393703555729,0.9151605955783336
realtime_full_luci,recent_origins,8,23,0.8076866778964626,0.8291420240939014
realtime_full_luci,recent_origins,9,22,0.8826507831608054,0.9140937803995285
realtime_full_luci,recent_origins,10,21,1.093453734370981,1.0972539312205698
realtime_full_luci,recent_origins,11,20,1.1659444157912486,1.1336657883190262
realtime_full_luci,recent_origins,12,19,1.2061355856886542,1.220660073589377
realtime_full_luci,recent_targets,0,31,0.21550552008746246,0.21550552008746238
realtime_full_luci,recent_targets,1,31,0.49053289045477894,0.4836456169047015
realtime_full_luci,recent_targets,2,31,0.5177539495017467,0.5294858939362801
realtime_full_luci,recent_targets,3,31,0.5745831893805866,0.5980699780677329
realtime_full_luci,recent_targets,4,31,0.707937112071457,0.7225217843133908
realtime_full_luci,recent_targets,5,31,0.7712577815054016,0.7963959037916468
realtime_full_luci,recent_targets,6,31,0.8311544417432458,0.8710302613699997
realtime_full_luci,recent_targets,7,31,0.9070267930370413,0.9495676009255323
realtime_full_luci,recent_targets,8,31,0.9413217004441707,0.9886663402485297
realtime_full_luci,recent_targets,9,31,1.3647745966427263,1.341093357905735
realtime_full_luci,recent_targets,10,31,2.2090897908654865,2.0640288357363006
realtime_full_luci,recent_targets,11,31,3.2896476091881404,3.0367916791208693
realtime_full_luci,recent_targets,12,31,3.5040967282114726,3.1764886116550626
realtime_full_luci_month,full,0,90,0.46803188846412486,0.46803188846412486
realtime_full_luci_month,full,1,89,1.049340466996975,1.0721218920906426
realtime_full_luci_month,full,2,88,1.5775223155260802,1.6322739999407787
realtime_full_luci_month,full,3,87,1.8650349792184182,1.922286908889591
realtime_full_luci_month,full,4,86,2.2023210428142006,2.2388912938167587
realtime_full_luci_month,full,5,85,2.496584181335808,2.4990168679095333
realtime_full_luci_month,full,6,84,2.8226730363758765,2.8078600428626443
realtime_full_luci_month,full,7,83,3.1967352254749795,3.1654648755372397
realtime_full_luci_month,full,8,82,3.629499175428711,3.5772469327000875
realtime_full_luci_month,full,9,81,4.086769306008663,4.026960068634122
realtime_full_luci_month,full,10,80,4.574145957651526,4.5013629424778525
realtime_full_luci_month,full,11,79,5.024233859864498,4.946247193054985
realtime_full_luci_month,full,12,78,5.415159312905149,5.328531767369768
realtime_full_luci_month,recent_origins,0,31,0.21550552008746246,0.21550552008746238
realtime_full_luci_month,recent_origins,1,30,0.40125877861790504,0.4001329861975432
realtime_full_luci_month,recent_origins,2,29,0.4387180665676467,0.4260508022143496
realtime_full_luci_month,recent_origins,3,28,0.47834348181216246,0.468127466475458
realtime_full_luci_month,recent_origins,4,27,0.5826820248086241,0.560802052969103
realtime_full_luci_month,recent_origins,5,26,0.6429501918198406,0.6064660440323004
realtime_full_luci_month,recent_origins,6,25,0.71778972531115,0.7024037636802604
realtime_full_luci_month,recent_origins,7,24,0.8239940969232626,0.8108353101327106
realtime_full_luci_month,recent_origins,8,23,0.8062215928544629,0.7932596966213252
realtime_full_luci_month,recent_origins,9,22,0.8639018924755091,0.8874451271220343
realtime_full_luci_month,recent_origins,10,21,1.0613402705681836,1.064345699032128
realtime_full_luci_month,recent_origins,11,20,1.1492970848871327,1.1283250958733733
realtime_full_luci_month,recent_origins,12,19,1.1778503345391549,1.1544376876757334
realtime_full_luci_month,recent_targets,0,31,0.21550552008746246,0.21550552008746238
realtime_full_luci_month,recent_targets,1,31,0.40424495620234285,0.4013263252805644
realtime_full_luci_month,recent_targets,2,31,0.44342780994109887,0.4376063104758612
realtime_full_luci_month,recent_targets,3,31,0.48019911854078234,0.4774388205507308
realtime_full_luci_month,recent_targets,4,31,0.5940535389185375,0.5814156086184417
realtime_full_luci_month,recent_targets,5,31,0.6680427983711009,0.6661642531645652
realtime_full_luci_month,recent_targets,6,31,0.7308869367424121,0.7426047139500093
realtime_full_luci_month,recent_targets,7,31,0.7951601129726369,0.8022521673027545
realtime_full_luci_month,recent_targets,8,31,0.8948823449961288,0.8577872144225185
realtime_full_luci_month,recent_targets,9,31,1.324347770769072,1.229378289416465
realtime_full_luci_month,recent_targets,10,31,2.0984621343592913,1.9307263762258422
realtime_full_luci_month,recent_targets,11,31,3.0285076340234203,2.8282824776305318
realtime_full_luci_month,recent_targets,12,31,3.275877656447243,2.9693510579912012
