"Ukazatel","IndicatorType","Typ údaje","TYPUDAJEVYR","Území","Uz0","Měsíce, měsíce klouzavých průměrů, čtvrtletí, roky","CASMQRMPK","Hodnota"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2015","2015-01","101"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2015","2015-02","101.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2015","2015-03","99"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2015","2015-04","100.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2015","2015-05","99.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2015","2015-06","99.7"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2015","2015-07","98.8"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2015","2015-08","98.9"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","září 2015","2015-09","100.1"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","říjen 2015","2015-10","103.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","listopad 2015","2015-11","97"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","prosinec 2015","2015-12","101.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","leden 2016","2016-01","100"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","únor 2016","2016-02","98.5"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","březen 2016","2016-03","96.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","duben 2016","2016-04","98.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","květen 2016","2016-05","98.3"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červen 2016","2016-06","101.2"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","červenec 2016","2016-07","98.4"
"Index cen zemědělských výrobců včetně ryb","614507","   Meziměsíční index","IM","Česko","CZ","srpen 2016","2016-08","98.7"
