"Ukazatel","IndicatorType","Druh PHM","CENPHM","Území","Uz0","Týdny","CASTPHM","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 01. týden 2016","2016-W01","28.43","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 02. týden 2016","2016-W02","28.21","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 03. týden 2016","2016-W03","27.91","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 04. týden 2016","2016-W04","27.63","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 05. týden 2016","2016-W05","27.32","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 06. týden 2016","2016-W06","27.17","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 07. týden 2016","2016-W07","26.83","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 08. týden 2016","2016-W08","26.42","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 09. týden 2016","2016-W09","26.22","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 10. týden 2016","2016-W10","26.27","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 11. týden 2016","2016-W11","26.48","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 14. týden 2016","2016-W14","27.38","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 15. týden 2016","2016-W15","27.52","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 16. týden 2016","2016-W16","27.74","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 17. týden 2016","2016-W17","27.9","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 18. týden 2016","2016-W18","28.21","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 19. týden 2016","2016-W19","28.41","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 20. týden 2016","2016-W20","28.4","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 21. týden 2016","2016-W21","28.62","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 22. týden 2016","2016-W22","29.15","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 23. týden 2016","2016-W23","29.55","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 24. týden 2016","2016-W24","29.68","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 25. týden 2016","2016-W25","29.71","koruna česká","Kč"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201","Česko","CZ"," 26. týden 2016","2016-W26","29.72","koruna česká","Kč"
