origin,historical_clock,import_mm_l3_source,import_mm_l3_fixture_row,import_mm_l3_available_from,eurczk_mm_l1_source,eurczk_mm_l1_fixture_row,eurczk_mm_l1_available_from,unemployment_reference,unemployment_adjustment,unemployment_available_from,unemployment_source,unemployment_sha256
2018-07,2018-08-08 23:59:00,2018-04,2018-06,2018-06-15T22:00:00+00:00,2018-06,2018-06,2018-06-30T22:00:00+00:00,2018-04,sa,2018-07-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/267b56dd-3c2a-ed5f-7a4f-e94bedd6dd37/nez073118_1.xlsx?version=1.0,961e6a7d75444707f639a93178db0117ef06128c80836ba894b4ca619c75aed0
2018-08,2018-09-09 23:59:00,2018-05,2018-07,2018-07-15T22:00:00+00:00,2018-07,2018-07,2018-07-31T22:00:00+00:00,2018-05,sa,2018-08-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/f837a34d-ffaa-f35e-7710-e54a3bf64444/nez083018_1.xlsx?version=1.0,7b09df4b676bd3c1ac0a7ecc336d7bc72f69d0fdcd1ed5652f34a7adc4e63da4
2018-09,2018-10-08 23:59:00,2018-06,2018-08,2018-08-15T22:00:00+00:00,2018-08,2018-08,2018-08-31T22:00:00+00:00,2018-06,sa,2018-10-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/1e7d698e-ef07-4ff8-ac3b-19f0e74b9d30/nez100118_1.xlsx?version=1.0,7be16fe9f55a814fc832af9aa31ae37e949340f0170704c3cac00a401b4f0865
2018-10,2018-11-08 23:59:00,2018-07,2018-09,2018-09-15T22:00:00+00:00,2018-09,2018-09,2018-09-30T22:00:00+00:00,2018-07,sa,2018-10-31T23:00:00+00:00,https://csu.gov.cz/docs/107532/a47c98b0-f07a-e469-76be-93b8a13e0178/nez103118_1.xlsx?version=1.0,6a228c7a3f6efb1d812dce4bfcbf134b80854d3232987e52b826fbc7e07bd6d9
2018-11,2018-12-09 23:59:00,2018-08,2018-10,2018-10-15T22:00:00+00:00,2018-10,2018-10,2018-10-31T23:00:00+00:00,2018-08,sa,2018-11-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/34079e6b-f8d1-bd88-6e66-a211b0fa8eb1/nez113018_1.xlsx?version=1.0,5517b888d1a5108641d4481a3c3248b08678ea5a6e55aaabf308ee55e439c140
2018-12,2019-01-09 23:59:00,2018-09,2018-11,2018-11-15T23:00:00+00:00,2018-11,2018-11,2018-11-30T23:00:00+00:00,2018-09,sa,2018-11-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/34079e6b-f8d1-bd88-6e66-a211b0fa8eb1/nez113018_1.xlsx?version=1.0,5517b888d1a5108641d4481a3c3248b08678ea5a6e55aaabf308ee55e439c140
2019-01,2019-02-12 23:59:00,2018-10,2018-12,2018-12-15T23:00:00+00:00,2018-12,2018-12,2018-12-31T23:00:00+00:00,2018-10,sa,2019-01-31T23:00:00+00:00,https://csu.gov.cz/docs/107532/e0fd3af1-f8cf-5a9c-cdd6-3f8364ab6ecc/nez013119_1.xlsx?version=1.0,cdde0ba676ad31781ae9b614c387b7ab22d3e2dcb4fd85ebb1ffbc67869f6d1a
2019-02,2019-03-10 23:59:00,2018-11,2019-01,2019-01-15T23:00:00+00:00,2019-01,2019-01,2019-01-31T23:00:00+00:00,2018-11,sa,2019-03-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/f93c8e7a-a9cb-f395-aff6-fdcb6a2f30e9/nez030119_1.xlsx?version=1.0,f9bf98266c28a5ac54a12b232422e76af01ac941ee8129f626fbe02b4c799c02
2019-03,2019-04-09 23:59:00,2018-12,2019-02,2019-02-15T23:00:00+00:00,2019-02,2019-02,2019-02-28T23:00:00+00:00,2018-12,sa,2019-04-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/4b7a433c-bbdd-49f3-0f15-ea15478b71b8/nez040119_1.xlsx?version=1.0,cbf5724fce37d91bb62427519f3a2de7365fafa7616092b6383fc361ab9482ae
2019-04,2019-05-12 23:59:00,2019-01,2019-03,2019-03-15T23:00:00+00:00,2019-03,2019-03,2019-03-31T22:00:00+00:00,2019-01,sa,2019-04-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/aa474abd-7cb4-3b41-012c-2267e2d24b6e/nez043019_1.xlsx?version=1.0,48c6b354564d7db9b834b554222a072cb2f16ec2c596df12b64e2d7948298330
2019-05,2019-06-10 23:59:00,2019-02,2019-04,2019-04-15T22:00:00+00:00,2019-04,2019-04,2019-04-30T22:00:00+00:00,2019-02,sa,2019-05-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/150bed88-acab-c0e6-cfd0-eaac7de43ded/nez053119_1.xlsx?version=1.0,919306c636757d9814f6a6e5fc67bab3503bb2b3a70fc6c95e35abdf8dad3fc9
2019-06,2019-07-10 23:59:00,2019-03,2019-05,2019-05-15T22:00:00+00:00,2019-05,2019-05,2019-05-31T22:00:00+00:00,2019-03,sa,2019-07-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/2eb4e50e-112c-8209-e01d-514af895c59b/nez070119_1.xlsx?version=1.0,230986efc74749fae8018501399bdeb64b77e0131093e11b0de7639a7eadc1e7
2019-07,2019-08-11 23:59:00,2019-04,2019-06,2019-06-15T22:00:00+00:00,2019-06,2019-06,2019-06-30T22:00:00+00:00,2019-04,sa,2019-07-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/beae4cf9-276a-c5f2-0599-98858a5eacf7/nez073119_1.xlsx?version=1.0,c99b6fdc1a9688ae6e3e2810b05cc450f8f747dd1e30d585d00cd7d4f8efffd1
2019-08,2019-09-09 23:59:00,2019-05,2019-07,2019-07-15T22:00:00+00:00,2019-07,2019-07,2019-07-31T22:00:00+00:00,2019-05,sa,2019-08-29T22:00:00+00:00,https://csu.gov.cz/docs/107532/4915a824-8e79-6574-34f6-e247dee45b7e/nez082919_1.xlsx?version=1.0,b7eb3e6d8e7fe43fd83db57356d36b7a2c959c6a952d53c483feb06ced65f339
2019-09,2019-10-09 23:59:00,2019-06,2019-08,2019-08-15T22:00:00+00:00,2019-08,2019-08,2019-08-31T22:00:00+00:00,2019-06,sa,2019-09-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/eb56ec32-ec53-cf85-72c3-62a29a5595b6/nez093019_1.xlsx?version=1.0,53b46e2e80e93d886c291635caeb09d95caea1ee32240b4de5999effe2ac2460
2019-10,2019-11-10 23:59:00,2019-07,2019-09,2019-09-15T22:00:00+00:00,2019-09,2019-09,2019-09-30T22:00:00+00:00,2019-07,sa,2019-10-31T23:00:00+00:00,https://csu.gov.cz/docs/107532/3b5608c4-28ec-855c-93d9-c915a63f543c/nez103119_1.xlsx?version=1.0,b22311b5533ace2a0ab52c9f240ece03e76db549bf2f985ea87c5a95d2ef1b7e
2019-11,2019-12-09 23:59:00,2019-08,2019-10,2019-10-15T22:00:00+00:00,2019-10,2019-10,2019-10-31T23:00:00+00:00,2019-08,sa,2019-11-29T23:00:00+00:00,https://csu.gov.cz/docs/107532/0ad8ef9b-603b-f19c-7fc8-31581442530d/nez112919_1.xlsx?version=1.0,589d053e9e51939dd34fcc6d3b0523fcaa9034a5e17dcb14e3a88f8c601f5b1e
2019-12,2020-01-12 23:59:00,2019-09,2019-11,2019-11-15T23:00:00+00:00,2019-11,2019-11,2019-11-30T23:00:00+00:00,2019-09,sa,2020-01-09T23:00:00+00:00,https://csu.gov.cz/docs/107532/1749fda6-2ce1-51db-d98a-a3e01719feae/nez010920_1.xlsx?version=1.0,fb735ed79bdd74c234da83a20598a5b62677cd1d35c30c5f7438932a7078258c
2020-01,2020-02-13 23:59:00,2019-10,2019-12,2019-12-15T23:00:00+00:00,2019-12,2019-12,2019-12-31T23:00:00+00:00,2019-10,sa,2020-01-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/36bdff86-28be-fcd9-1513-c2f937fec2ae/nez013020_1.xlsx?version=1.0,6270454f33fb7bde65c3ea9852d40341b39da98f17043acf3e45d960f653433f
2020-02,2020-03-09 23:59:00,2019-11,2020-01,2020-01-15T23:00:00+00:00,2020-01,2020-01,2020-01-31T23:00:00+00:00,2019-11,sa,2020-03-03T23:00:00+00:00,https://csu.gov.cz/docs/107532/f5388778-41b7-3f04-ac8d-2838320b45f0/nez030320_1.xlsx?version=1.0,1313351e08a473e4d2a604a779c9e07caf562107458fae5afac2f910d13b8012
2020-03,2020-04-13 23:59:00,2019-12,2020-02,2020-02-15T23:00:00+00:00,2020-02,2020-02,2020-02-29T23:00:00+00:00,2019-12,sa,2020-04-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/e9dcb356-7432-a842-8415-83147736e8dd/nez040120_1.xlsx?version=1.0,8dec0c0bac0900fab2aac6ec69737e0ceda483c16a36febbd65f295d7d6c68ae
2020-04,2020-05-12 23:59:00,2020-01,2020-03,2020-03-15T23:00:00+00:00,2020-03,2020-03,2020-03-31T22:00:00+00:00,2020-01,sa,2020-04-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/769b6b0a-80c6-8ee5-b676-867c8e40ff78/nez043020_1.xlsx?version=1.0,4f54698a5bac1fde31aa7387e39a2462baf7c911426e879a80d95b3a3f340da3
2020-05,2020-06-09 23:59:00,2020-02,2020-04,2020-04-15T22:00:00+00:00,2020-04,2020-04,2020-04-30T22:00:00+00:00,2020-02,sa,2020-06-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/66fb63f5-b2dd-7b74-14a0-42c8d4640454/nez060220_1.xlsx?version=1.0,3a3a730a0b064bdc6d2869f332b693b7b29418db7c2c68b7f8e098fa05532d15
2020-06,2020-07-09 23:59:00,2020-03,2020-05,2020-05-15T22:00:00+00:00,2020-05,2020-05,2020-05-31T22:00:00+00:00,2020-03,sa,2020-07-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/352a8df5-49a8-39cb-5487-96f55e400eff/nez070220_1.xlsx?version=1.0,ba0a7c2e0faa021513ca0468ef29ac6e01b0cd3cbb70ec4a16db7093d5846d3b
2020-07,2020-08-12 23:59:00,2020-04,2020-06,2020-06-15T22:00:00+00:00,2020-06,2020-06,2020-06-30T22:00:00+00:00,2020-04,sa,2020-07-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/943774ff-2888-9574-8a5c-cafe291341ec/nez073020_1.xlsx?version=1.0,d4e6ae2c67c79a3725360974fed98982b46392dbdb5dfdac12f245748b4b6274
2020-08,2020-09-09 23:59:00,2020-05,2020-07,2020-07-15T22:00:00+00:00,2020-07,2020-07,2020-07-31T22:00:00+00:00,2020-05,sa,2020-09-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/ff627743-4904-bd23-10f2-3a83e532d015/nez090120_1.xlsx?version=1.0,17c1253562d6503f1f9a0c4079d25998fc3deb3fc48dc8047e1d1b42c1c74a60
2020-09,2020-10-11 23:59:00,2020-06,2020-08,2020-08-15T22:00:00+00:00,2020-08,2020-08,2020-08-31T22:00:00+00:00,2020-06,sa,2020-10-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/a668e902-a0c8-f7b3-75e1-45aae0cf1fc4/nez100120_1.xlsx?version=1.0,76a7d4a6402868b86cdf4f299650a00e428334711a0bcdc7595528aec785d5b9
2020-10,2020-11-09 23:59:00,2020-07,2020-09,2020-09-15T22:00:00+00:00,2020-09,2020-09,2020-09-30T22:00:00+00:00,2020-07,sa,2020-10-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/55018d05-4d7b-2477-c92c-0cbd7906e04f/nez103020_1.xlsx?version=1.0,f934544ff0ede42e035d610c359cfb02fcdf043fc0c90e0aa90787e99e8eb498
2020-11,2020-12-09 23:59:00,2020-08,2020-10,2020-10-15T22:00:00+00:00,2020-10,2020-10,2020-10-31T23:00:00+00:00,2020-08,sa,2020-12-02T23:00:00+00:00,https://csu.gov.cz/docs/107532/5cbf69db-9a5c-3402-de47-2c19991e9241/nez120220_1.xlsx?version=1.0,d7efe7fa3675817ef63bbcbef245b878227d3b7128e1a4a98ce931e23de131fc
2020-12,2021-01-12 23:59:00,2020-09,2020-11,2020-11-15T23:00:00+00:00,2020-11,2020-11,2020-11-30T23:00:00+00:00,2020-09,sa,2021-01-07T23:00:00+00:00,https://csu.gov.cz/docs/107532/65b164a7-241a-7661-c3fa-2620e452ac9a/nez010721_1.xlsx?version=1.0,4858bc13a95ba586c419a2feedd956ceaae090bbe08cfa3ed4bc4568c8aae756
2021-01,2021-02-11 23:59:00,2020-10,2020-12,2020-12-15T23:00:00+00:00,2020-12,2020-12,2020-12-31T23:00:00+00:00,2020-10,sa,2021-01-29T23:00:00+00:00,https://csu.gov.cz/docs/107532/7b573209-9c55-bd7b-38cf-c85fac43c301/nez012921_1.xlsx?version=1.0,377c36472d32af7806f6b922a997c96bcdf1ecd36fc42bd0c130379583b11e24
2021-02,2021-03-09 23:59:00,2020-11,2021-01,2021-01-15T23:00:00+00:00,2021-01,2021-01,2021-01-31T23:00:00+00:00,2020-11,sa,2021-03-04T23:00:00+00:00,https://csu.gov.cz/docs/107532/d28035bf-f427-6266-feb2-47b13e9004b9/nez030421_1.xlsx?version=1.0,e22af0f63be495d61c2e1c596acad3ae8340ee08d79ab8239e9dcfed52990fbb
2021-03,2021-04-12 23:59:00,2020-12,2021-02,2021-02-15T23:00:00+00:00,2021-02,2021-02,2021-02-28T23:00:00+00:00,2020-12,sa,2021-04-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/eed8afe6-0b31-9988-e8b1-5bfbfb08629f/nez040121_1.xlsx?version=1.0,0bb19e8b0874f33af12e747b785a986852992a13b86f1b863128b294ce74de8a
2021-04,2021-05-10 23:59:00,2021-01,2021-03,2021-03-15T23:00:00+00:00,2021-03,2021-03,2021-03-31T22:00:00+00:00,2021-01,sa,2021-04-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/138d6150-7c9c-9457-4134-7229c900cca7/nez043021_1.xlsx?version=1.0,7c3f22325c985c07209595a098cbad4518033df38555e7a496b10418d1d6becd
2021-05,2021-06-09 23:59:00,2021-02,2021-04,2021-04-15T22:00:00+00:00,2021-04,2021-04,2021-04-30T22:00:00+00:00,2021-02,sa,2021-06-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/36971575-0826-4072-4e6b-a5112a5f283c/nez060121_1.xlsx?version=1.0,db158e7a41d2385e66ed79268cf46eba58cec7d8ba851549f5ff9aebe523856f
2021-06,2021-07-12 23:59:00,2021-03,2021-05,2021-05-15T22:00:00+00:00,2021-05,2021-05,2021-05-31T22:00:00+00:00,2021-03,sa,2021-07-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/e4f033af-d0d5-780f-de67-127120651fc1/nez070121_1.xlsx?version=1.0,fd83c2e98078e8618682a359b518a1703d89571b0f9b73510364b6e30f282e82
2021-07,2021-08-09 23:59:00,2021-04,2021-06,2021-06-15T22:00:00+00:00,2021-06,2021-06,2021-06-30T22:00:00+00:00,2021-04,sa,2021-07-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/ff8ef2fb-e8a2-7c2a-190e-4f528717bc89/nez073021_1.xlsx?version=1.0,60c82e7ac87d8305e91b7c87c025b664b7c7546691b38b117685c0003d75b67c
2021-08,2021-09-09 23:59:00,2021-05,2021-07,2021-07-15T22:00:00+00:00,2021-07,2021-07,2021-07-31T22:00:00+00:00,2021-05,sa,2021-09-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/07aef31e-a30e-a33b-f6ed-b810a993be40/nez090121_1.xlsx?version=1.0,e76e8564cd8b4f42c5a495a4ad79fe2c91acfa4fbaabf518af783c1244758554
2021-09,2021-10-10 23:59:00,2021-06,2021-08,2021-08-15T22:00:00+00:00,2021-08,2021-08,2021-08-31T22:00:00+00:00,2021-06,sa,2021-09-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/0a648e48-041e-e089-9ac2-9b1072095f0c/nez093021_1.xlsx?version=1.0,b10ac8f03c37be284ad627ac51b8b88c067ce1e8bcf78636e90ed0542bb43103
2021-10,2021-11-09 23:59:00,2021-07,2021-09,2021-09-15T22:00:00+00:00,2021-09,2021-09,2021-09-30T22:00:00+00:00,2021-07,sa,2021-11-02T23:00:00+00:00,https://csu.gov.cz/docs/107532/03b353c3-0dbb-8371-c7de-227d38d3e887/nez110221_1.xlsx?version=1.0,365e540234882ab27c39bc915d8d878e4273a71d0cc3b562dea738ddf0106f14
2021-11,2021-12-09 23:59:00,2021-08,2021-10,2021-10-15T22:00:00+00:00,2021-10,2021-10,2021-10-31T23:00:00+00:00,2021-08,sa,2021-12-02T23:00:00+00:00,https://csu.gov.cz/docs/107532/56be5f3d-130c-e35d-587b-d5993b0b606d/nez120221_1.xlsx?version=1.0,8f4ffaca5f257218a7c4863cec0902e9802d5a108dbfa08a745e516d7b5f1d35
2021-12,2022-01-11 23:59:00,2021-09,2021-11,2021-11-15T23:00:00+00:00,2021-11,2021-11,2021-11-30T23:00:00+00:00,2021-09,sa,2022-01-10T23:00:00+00:00,https://csu.gov.cz/docs/107532/a7666b75-7807-33ac-6934-c5bf6f337d2a/nez011022_1.xlsx?version=1.0,cef62e4fad4208ff55174e188f7d28b9dd2ae0e2174112465e58a46e5ab02b31
2022-01,2022-02-13 23:59:00,2021-10,2021-12,2021-12-15T23:00:00+00:00,2021-12,2021-12,2021-12-31T23:00:00+00:00,2021-10,sa,2022-02-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/14044b73-97b2-d514-0b30-a32484e657ec/nez020122_1.xlsx?version=1.0,7c7145115e8ed42a6eb94f68adbdcbf1187888db0c85f422337df689590f120a
2022-02,2022-03-09 23:59:00,2021-11,2022-01,2022-01-15T23:00:00+00:00,2022-01,2022-01,2022-01-31T23:00:00+00:00,2021-11,sa,2022-03-03T23:00:00+00:00,https://csu.gov.cz/docs/107532/90c791c4-8a96-41e6-30df-491dcb6d2a36/nez030322_1.xlsx?version=1.0,9f6e4d03d93e05114c23781cdfe40dbc3247a658542428c2a7d2b3033dd1ce29
2022-03,2022-04-10 23:59:00,2021-12,2022-02,2022-02-15T23:00:00+00:00,2022-02,2022-02,2022-02-28T23:00:00+00:00,2021-12,sa,2022-03-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/0ca4a6ab-3bed-c3cc-f7ec-f1c9c967fc4f/nez033122_1.xlsx?version=1.0,30a9e805d8b9ac3fd545b66037d303d82e5f8d1e561b7843566b3d1469608a02
2022-04,2022-05-09 23:59:00,2022-01,2022-03,2022-03-15T23:00:00+00:00,2022-03,2022-03,2022-03-31T22:00:00+00:00,2022-01,sa,2022-05-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/e435111f-64a6-ec99-bc1f-bda0c8fa3e9f/nez050222_1.xlsx?version=1.0,e5d837f118aa04e26ee84421a53a62e40c4be46e76e4418ece095f9ba5727d73
2022-05,2022-06-09 23:59:00,2022-02,2022-04,2022-04-15T22:00:00+00:00,2022-04,2022-04,2022-04-30T22:00:00+00:00,2022-02,sa,2022-06-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/92c6d0e6-1311-0abf-219e-613b09f687fd/nez060122_1.xlsx?version=1.0,58a92cbb005e47ef5f494435cb547e9814ff37611f6955aa45b69814db66bfaf
2022-06,2022-07-12 23:59:00,2022-03,2022-05,2022-05-15T22:00:00+00:00,2022-05,2022-05,2022-05-31T22:00:00+00:00,2022-03,sa,2022-06-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/3b0aba0c-ce92-834a-2937-edf574587f9f/nez063022_1.xlsx?version=1.0,037f9ed84e532d494c9cc971c6f79d5502dd31aac631feb25b4a87e32a307b07
2022-07,2022-08-09 23:59:00,2022-04,2022-06,2022-06-15T22:00:00+00:00,2022-06,2022-06,2022-06-30T22:00:00+00:00,2022-04,sa,2022-08-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/d7a386de-2137-0974-4fab-3b5c58affdea/nez080122_1.xlsx?version=1.0,b86831bb2b08eec98abcb622111b5a8ecd61445276da072b91f3a377c2d8a49c
2022-08,2022-09-11 23:59:00,2022-05,2022-07,2022-07-15T22:00:00+00:00,2022-07,2022-07,2022-07-31T22:00:00+00:00,2022-05,sa,2022-09-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/92e687a4-0a83-2a8a-4e97-3c70dd4991c4/nez090122_1.xlsx?version=1.0,a7c46f9e4b2657f2ce205bbe74312abe50be69c7d044b7014ac3f719df637858
2022-09,2022-10-10 23:59:00,2022-06,2022-08,2022-08-15T22:00:00+00:00,2022-08,2022-08,2022-08-31T22:00:00+00:00,2022-06,sa,2022-09-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/3105c255-f960-9ac0-e154-68cd76ed33ce/nez093022_1.xlsx?version=1.0,b71a0b9ffbafba06d0fcdc046d785ecc9a0e5ea068ec85ebb19f7a272101d3ec
2022-10,2022-11-09 23:59:00,2022-07,2022-09,2022-09-15T22:00:00+00:00,2022-09,2022-09,2022-09-30T22:00:00+00:00,2022-07,sa,2022-11-03T23:00:00+00:00,https://csu.gov.cz/docs/107532/1472890c-1e47-0a9b-1ba0-a86d62db9ccf/nez110322_1.xlsx?version=1.0,e03c0679c96ad783b6f56850c075511f31adde79ae5f1a9c4f4a2237afc5e95a
2022-11,2022-12-11 23:59:00,2022-08,2022-10,2022-10-15T22:00:00+00:00,2022-10,2022-10,2022-10-31T23:00:00+00:00,2022-08,sa,2022-12-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/b6e49ebb-c613-0850-8b4f-75465c3752fd/nez120122_1.xlsx?version=1.0,2ad63730804163029f6932c36c88160c31642ab77b71a6b2c7d93fcb6b105392
2022-12,2023-01-10 23:59:00,2022-09,2022-11,2022-11-15T23:00:00+00:00,2022-11,2022-11,2022-11-30T23:00:00+00:00,2022-09,sa,2023-01-09T23:00:00+00:00,https://csu.gov.cz/docs/107532/c682d938-37a4-6138-0615-5985ce12a4b2/nez010923_1.xlsx?version=1.0,66f4c018f5cadf0a52f2ee7fbe78965c5122d60717d331daf322d2ec64f1cfe8
2023-01,2023-02-09 23:59:00,2022-10,2022-12,2022-12-15T23:00:00+00:00,2022-12,2022-12,2022-12-31T23:00:00+00:00,2022-10,sa,2023-01-31T23:00:00+00:00,https://csu.gov.cz/docs/107532/1c8028b1-3e8a-00cd-13e8-91843f9e61bc/nez013123_1.xlsx?version=1.0,89db37b530da7d2af4d66355a4a10795067f18090c715710e373b1ca28b55c78
2023-02,2023-03-09 23:59:00,2022-11,2023-01,2023-01-15T23:00:00+00:00,2023-01,2023-01,2023-01-31T23:00:00+00:00,2022-11,sa,2023-03-02T23:00:00+00:00,https://csu.gov.cz/docs/107532/bad79305-c0b0-c88b-d21a-9d7f52a783ef/nez030223_1.xlsx?version=1.0,d1efb04d9145fad891211777905e75d65dc364843c029626ba66361599d4f87d
2023-03,2023-04-12 23:59:00,2022-12,2023-02,2023-02-15T23:00:00+00:00,2023-02,2023-02,2023-02-28T23:00:00+00:00,2022-12,sa,2023-03-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/1e80bba4-7ee0-d51f-7f8f-78768f5311eb/nez033023_1.xlsx?version=1.0,73aa97ae39972b637964afc8d734a3de63c40cfff0668e6301b43bceba8d70df
2023-04,2023-05-10 23:59:00,2023-01,2023-03,2023-03-15T23:00:00+00:00,2023-03,2023-03,2023-03-31T22:00:00+00:00,2023-01,sa,2023-05-03T22:00:00+00:00,https://csu.gov.cz/docs/107532/d6994a32-1ea7-47e1-d588-297a1ab7e108/nez050323_1.xlsx?version=1.0,1569baaf2c04950c30721953f151599d857f7cbc3cccaac648e7f5076ff3d956
2023-05,2023-06-11 23:59:00,2023-02,2023-04,2023-04-15T22:00:00+00:00,2023-04,2023-04,2023-04-30T22:00:00+00:00,2023-02,sa,2023-06-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/0082a163-db23-d971-119d-f74341a4d52f/nez060123_1.xlsx?version=1.0,ec58d5151d0fe5aa6d2c30152791fe46f8c54a782e0165db6f6c8dcb9b1050e0
2023-06,2023-07-12 23:59:00,2023-03,2023-05,2023-05-15T22:00:00+00:00,2023-05,2023-05,2023-05-31T22:00:00+00:00,2023-03,sa,2023-06-30T22:00:00+00:00,https://csu.gov.cz/docs/107532/fd914c23-7669-8ee6-4714-6613005ba1d3/nez063023_1.xlsx?version=1.0,4955fb7150a291c0299c710830150ccbab8f8ef6426f5088912a738c096753e4
2023-07,2023-08-09 23:59:00,2023-04,2023-06,2023-06-15T22:00:00+00:00,2023-06,2023-06,2023-06-30T22:00:00+00:00,2023-04,sa,2023-08-01T22:00:00+00:00,https://csu.gov.cz/docs/107532/923f3fa1-d402-b5a3-5aeb-c92aca27655b/nez080123_1.xlsx?version=1.0,6eebc9afdef726e902d150c90a2f442dc0ae85085812c605d76f965b5c537e21
2023-08,2023-09-10 23:59:00,2023-05,2023-07,2023-07-15T22:00:00+00:00,2023-07,2023-07,2023-07-31T22:00:00+00:00,2023-05,sa,2023-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/e5642838-984e-4c8d-bc66-6e608fa619eb/nez083123_1.xlsx?version=1.0,f17698ad00dbfe7fe3127b4af2f89c38cfec75d041ecc2b0910150dc568d2797
2023-09,2023-10-09 23:59:00,2023-06,2023-08,2023-08-15T22:00:00+00:00,2023-08,2023-08,2023-08-31T22:00:00+00:00,2023-06,sa,2023-10-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/34f6a2b7-3a2b-d517-6c8c-b239a97f06fd/nez100223_1.xlsx?version=1.0,644cc649f7c394d997f1160b77cb5165fdf3ff11b3ded9bfcce110d2659c0874
2023-10,2023-11-09 23:59:00,2023-07,2023-09,2023-09-15T22:00:00+00:00,2023-09,2023-09,2023-09-30T22:00:00+00:00,2023-07,sa,2023-11-03T23:00:00+00:00,https://csu.gov.cz/docs/107532/2196b183-0e9e-2037-b3a6-bcee665ac873/nez110323_1.xlsx?version=1.0,fe831b1c2cecab34c9c4899dceceeca9289b86d049c1c1c02eb6229a6bfb7867
2023-11,2023-12-10 23:59:00,2023-08,2023-10,2023-10-15T22:00:00+00:00,2023-10,2023-10,2023-10-31T23:00:00+00:00,2023-08,sa,2023-11-30T23:00:00+00:00,https://csu.gov.cz/docs/107532/d1d0111a-f813-a9d8-8768-6c4d46051408/nez113023_1.xlsx?version=1.0,3a3506d8ad48c78e5bf6ee7333d61c76ea3492ee72fdafb4b032fdc3381dca15
2023-12,2024-01-10 23:59:00,2023-09,2023-11,2023-11-15T23:00:00+00:00,2023-11,2023-11,2023-11-30T23:00:00+00:00,2023-09,sa,2024-01-09T23:00:00+00:00,https://csu.gov.cz/docs/107532/89784589-e4cf-5855-dded-76daaa3762f4/nez010924_1.xlsx?version=1.0,2aeb841f2f54128d1b5ab1e44254230c65c7d1e2384929a3e5570a242eb052cb
2024-01,2024-02-14 23:59:00,2023-10,2023-12,2023-12-15T23:00:00+00:00,2023-12,2023-12,2023-12-31T23:00:00+00:00,2023-10,sa,2024-02-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/77c087df-7026-1eff-2e5e-f1d4a108e861/nez020124_1.xlsx?version=1.0,4f44f8a3c1088248e4a7b1bec10daa8c42aff24d235d3d768b0aee959aebadf2
2024-02,2024-03-10 23:59:00,2023-11,2024-01,2024-01-15T23:00:00+00:00,2024-01,2024-01,2024-01-31T23:00:00+00:00,2023-11,sa,2024-03-04T23:00:00+00:00,https://csu.gov.cz/docs/107532/c99280c7-757b-bbf8-4020-3e428980f367/nez030424_1.xlsx?version=1.0,116807804719cf1c170a71e5c54ac2724d357e3a96def19fd2bb05d9af1f4cf3
