model,h,n_intended_origins,n_finite_monthly,first_finite_origin,last_finite_origin,n_finite_annual,n_monthly_targets
BVAR_U_FX,0,90,90,2019-02,2026-07,90,90
BVAR_U_FX,1,90,90,2019-02,2026-07,90,89
BVAR_U_FX,2,90,90,2019-02,2026-07,90,88
BVAR_U_FX,3,90,90,2019-02,2026-07,90,87
BVAR_U_FX,4,90,90,2019-02,2026-07,90,86
BVAR_U_FX,5,90,90,2019-02,2026-07,90,85
BVAR_U_FX,6,90,90,2019-02,2026-07,90,84
BVAR_U_FX,7,90,90,2019-02,2026-07,90,83
BVAR_U_FX,8,90,90,2019-02,2026-07,90,82
BVAR_U_FX,9,90,90,2019-02,2026-07,90,81
BVAR_U_FX,10,90,90,2019-02,2026-07,90,80
BVAR_U_FX,11,90,90,2019-02,2026-07,90,79
BVAR_U_FX,12,90,90,2019-02,2026-07,90,78
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0,90,90,2019-02,2026-07,90,90
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,1,90,53,2022-03,2026-07,53,89
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,2,90,52,2022-04,2026-07,52,88
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,3,90,51,2022-05,2026-07,51,87
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,4,90,50,2022-06,2026-07,50,86
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,5,90,49,2022-07,2026-07,49,85
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,6,90,48,2022-08,2026-07,48,84
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,7,90,47,2022-09,2026-07,47,83
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,8,90,46,2022-10,2026-07,46,82
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,9,90,45,2022-11,2026-07,45,81
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,10,90,44,2022-12,2026-07,44,80
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,11,90,43,2023-01,2026-07,43,79
CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,12,90,42,2023-02,2026-07,42,78
CORE_AGG_CUMULATIVE_LABOUR_R13,0,90,90,2019-02,2026-07,90,90
CORE_AGG_CUMULATIVE_LABOUR_R13,1,90,53,2022-03,2026-07,53,89
CORE_AGG_CUMULATIVE_LABOUR_R13,2,90,52,2022-04,2026-07,52,88
CORE_AGG_CUMULATIVE_LABOUR_R13,3,90,51,2022-05,2026-07,51,87
CORE_AGG_CUMULATIVE_LABOUR_R13,4,90,50,2022-06,2026-07,50,86
CORE_AGG_CUMULATIVE_LABOUR_R13,5,90,49,2022-07,2026-07,49,85
CORE_AGG_CUMULATIVE_LABOUR_R13,6,90,48,2022-08,2026-07,48,84
CORE_AGG_CUMULATIVE_LABOUR_R13,7,90,47,2022-09,2026-07,47,83
CORE_AGG_CUMULATIVE_LABOUR_R13,8,90,46,2022-10,2026-07,46,82
CORE_AGG_CUMULATIVE_LABOUR_R13,9,90,45,2022-11,2026-07,45,81
CORE_AGG_CUMULATIVE_LABOUR_R13,10,90,44,2022-12,2026-07,44,80
CORE_AGG_CUMULATIVE_LABOUR_R13,11,90,43,2023-01,2026-07,43,79
CORE_AGG_CUMULATIVE_LABOUR_R13,12,90,42,2023-02,2026-07,42,78
CORE_AGG_CUMULATIVE_R13,0,90,90,2019-02,2026-07,90,90
CORE_AGG_CUMULATIVE_R13,1,90,77,2020-03,2026-07,77,89
CORE_AGG_CUMULATIVE_R13,2,90,76,2020-04,2026-07,76,88
CORE_AGG_CUMULATIVE_R13,3,90,75,2020-05,2026-07,75,87
CORE_AGG_CUMULATIVE_R13,4,90,74,2020-06,2026-07,74,86
CORE_AGG_CUMULATIVE_R13,5,90,73,2020-07,2026-07,73,85
CORE_AGG_CUMULATIVE_R13,6,90,72,2020-08,2026-07,72,84
CORE_AGG_CUMULATIVE_R13,7,90,71,2020-09,2026-07,71,83
CORE_AGG_CUMULATIVE_R13,8,90,70,2020-10,2026-07,70,82
CORE_AGG_CUMULATIVE_R13,9,90,69,2020-11,2026-07,69,81
CORE_AGG_CUMULATIVE_R13,10,90,68,2020-12,2026-07,68,80
CORE_AGG_CUMULATIVE_R13,11,90,67,2021-01,2026-07,67,79
CORE_AGG_CUMULATIVE_R13,12,90,66,2021-02,2026-07,66,78
CORE_AGG_MONTHLY_R13,0,90,90,2019-02,2026-07,90,90
CORE_AGG_MONTHLY_R13,1,90,77,2020-03,2026-07,77,89
CORE_AGG_MONTHLY_R13,2,90,76,2020-04,2026-07,76,88
CORE_AGG_MONTHLY_R13,3,90,75,2020-05,2026-07,75,87
CORE_AGG_MONTHLY_R13,4,90,74,2020-06,2026-07,74,86
CORE_AGG_MONTHLY_R13,5,90,73,2020-07,2026-07,73,85
