origin,h,target,as_of_utc,mm_forecast,model,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.4612546125461358,2.735849056603792,,,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.2754820936639035,3.116147308781873,,,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.1831501831501825,3.207547169811327,,,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,1.4625228519195457,3.6414565826330487,,,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.2702702702702675,3.7278657968313063,,,3.660060864484629
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,0.0994602395416571,CORE_AGG_MONTHLY_R13,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,0.0930232558139509,2.769818529130847,,,0.09298001599665273
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,0.6505576208178487,2.9467680608364977,,,0.7414306439227463
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,0.1846722068328699,2.7462121212121224,,,0.925932541279676
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,0.3686635944700533,2.9300567107750517,,,1.2939182371197377
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,0.0918273645546419,2.9272898961284195,,,1.3857034661426337
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,-0.5504587155963248,2.6515151515151705,,,0.8337241437828525
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,,CORE_AGG_MONTHLY_R13,0.4612546125461358,2.735849056603792,,,1.293918237119758
