period,import_mm_l3,eurczk_mm_l1,unemployment_rate_l3
2007-01,,,
2007-02,,0.2304064513806381,
2007-03,,1.400811752451414,
2007-04,,-0.6234281463639357,
2007-05,,-0.1603992158260458,
2007-06,,0.7890039271688742,
2007-07,,1.112252488399279,
2007-08,,-0.7531967069539403,
2007-09,,-1.6660783621602504,
2007-10,,-1.0230454447555437,
2007-11,,-0.8595365031008662,
2007-12,,-2.213198712320741,
2008-01,,-1.6123601810631882,
2008-02,,-0.9467680608365114,
2008-03,,-2.591071360024555,
2008-04,,-0.6108133669609161,
2008-05,,-0.6106022758812113,
2008-06,,0.1236685682371119,
2008-07,,-3.1237548808670024,
2008-08,,-3.228592580406353,
2008-09,,3.217306302860301,
2008-10,,0.8688133080787308,
2008-11,,1.1838184267461305,
2008-12,,1.5976116512688154,
2009-01,,3.665170948655838,
2009-02,,4.071860874894662,
2009-03,,4.748058448967574,
2009-04,,-4.322007097930358,
2009-05,,-1.722428293363687,
2009-06,,-0.082212257100156,
2009-07,,-0.7218191338170366,
2009-08,,-2.855528348088165,
2009-09,,-0.5351533718540247,
2009-10,,-1.169636243128391,
2009-11,,1.9211803226951707,
2009-12,,-0.0348351137946956,
2010-01,,0.9641073295388436,
2010-02,,0.2300966405890392,
2010-03,,-0.6121824303642498,
2010-04,,-1.6784724360948575,
2010-05,,-0.8888018794048547,
2010-06,,1.3945403547584334,
2010-07,,0.4441673809709279,
2010-08,,-1.8425135764158276,
2010-09,,-1.967990515708362,
2010-10,,-0.6288547587374516,
2010-11,,-0.5070788203318299,
2010-12,,0.4525809345184761,
2011-01,,2.143118074440875,
2011-02,,-2.8452215378501844,
2011-03,,-0.7075954026749653,
2011-04,,0.4778381941011655,
2011-05,,-0.4140701869465357,
2011-06,,0.3787410975258254,
2011-07,,-0.4019193700529055,
2011-08,,0.2305950175005122,
2011-09,,-0.2793640359886717,
2011-10,,1.1700243068429872,
2011-11,,1.184998167528617,
2011-12,,2.4348036059240297,
2012-01,,0.2435862177346592,
2012-02,,0.0666274740348749,
2012-03,,-1.923076923076916,
2012-04,,-1.457609520386571,
2012-05,,0.4984600421462204,
2012-06,,2.1089560062905743,
2012-07,,1.2597741094700243,
2012-08,,-0.8073008073007926,
2012-09,,-1.6277423920736056,
2012-10,,-1.1550759392485954,
2012-11,,0.8370061865674572,
2012-12,,1.7122463710000702,
2013-01,,-0.5874236152178081,
2013-02,,1.3761104060913576,
2013-03,,-0.3403356413566483,
2013-04,,0.7300989166274086,
