sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,3,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,72,0.036194236190210255,-0.029599197351164622,0.12743330184710105,12,2000,1309
full,3,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,72,-0.29568612900965896,-0.5998363165653261,-0.04197928454195906,12,2000,1309
full,3,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,72,-0.25419778800315584,-0.5146570762896647,-0.02886082752608833,12,2000,1309
full,3,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,48,0.0564091530114052,0.021391675234119147,0.1026225851381378,12,2000,1309
full,4,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,70,0.9858723764017098,-0.07290877263898472,2.5519366012247877,12,2000,1309
full,4,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,70,1.040322282295064,-0.0979316438070258,2.919978014760026,12,2000,1309
full,4,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,70,0.668402657700816,-0.1874449059209841,2.003106005922992,12,2000,1309
full,4,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,70,0.8378153444264888,-0.22245391603584028,2.507318130773147,12,2000,1309
full,4,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,46,-0.02697661049870791,-0.9463553737734731,0.7739112777276828,12,2000,1309
full,4,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,46,-0.12273760894557817,-1.0181207516361233,0.6197526139181981,12,2000,1309
full,4,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,70,0.05444990589335416,-0.11847475512324337,0.2791828517124243,12,2000,1309
full,4,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,70,0.16941268672567267,-0.034640210867967744,0.49150453452069004,12,2000,1309
full,4,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,70,-0.31746971870089374,-0.6628260157035323,-0.053449182424792935,12,2000,1309
full,4,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,70,-0.20250693786857532,-0.400992449016222,-0.051649206294364855,12,2000,1309
full,4,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,46,0.09576099844687028,0.0238561495509447,0.16518242320387247,12,2000,1309
full,5,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,68,1.3511641358589739,-0.10520847162463816,3.742906878906131,12,2000,1309
full,5,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,68,1.6442541435943527,-0.14938446492540075,4.72082007055884,12,2000,1309
full,5,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,68,1.162821320110631,-0.1428442048012553,3.202027591655297,12,2000,1309
full,5,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,68,1.4966794614257306,-0.1682808064174055,4.2372198442341515,12,2000,1309
full,5,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,44,0.6516533599518701,-0.0741277847062768,1.5093135912215812,12,2000,1309
full,5,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,44,0.41877681127267846,-0.2625707838358668,1.222104041124099,12,2000,1309
full,5,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,68,0.293090007735379,-0.09973047726591375,0.9048378982812199,12,2000,1309
full,5,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,68,0.3338581413151001,-0.0695260120220167,0.9834833040251836,12,2000,1309
full,5,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,68,-0.1883428157483429,-0.5001124158535925,0.014264769175695535,12,2000,1309
full,5,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,68,-0.14757468216862185,-0.3555187385986199,0.014551818321998748,12,2000,1309
full,5,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,44,0.23287654867919177,0.16903845798001269,0.3090842520915905,12,2000,1309
full,6,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,66,2.060367796254741,0.034227235938540275,5.240093696327827,12,2000,1309
full,6,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,66,2.6405535650002374,0.06501427789621708,6.734970293115745,12,2000,1309
full,6,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,66,1.8276453411745044,-0.036019040946362754,4.5987350862375935,12,2000,1309
full,6,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,66,2.451800977166409,0.008605087448112034,6.144643515700905,12,2000,1309
full,6,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,42,1.4733633493600358,0.6283545853213423,2.765842401816053,12,2000,1309
full,6,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,42,1.0830219292710306,0.27818424334421477,2.266503705336885,12,2000,1309
full,6,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,66,0.5801857687454959,-0.024720798464135225,1.6401219718211264,12,2000,1309
full,6,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,66,0.6241556359919044,0.0005818899874800423,1.6969273639572393,12,2000,1309
full,6,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,66,-0.2327224550802368,-0.8244329692809105,0.23146614945131136,12,2000,1309
full,6,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,66,-0.18875258783382826,-0.6045568902501259,0.1441320433726233,12,2000,1309
full,6,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,42,0.39034142008900535,0.2999520262716432,0.49364562029998804,12,2000,1309
