sample,h,model,metric,n,rmse,mae,bias
recent_origins,9,FUEL_ECM_R14,mm,22,5.036510744985698,2.8420338734037007,-0.7322442765581414
recent_origins,9,FUEL_ZERO_R14,mm,22,5.035242229007712,2.838121446419889,-0.7292642602570509
recent_origins,9,INDEPENDENT_BRIDGE,mm,22,5.070495312934924,2.8022239351482776,-0.45216857571998176
recent_origins,9,FUEL_CONSTANT_PUMP_R14,cumulative,22,10.857197817152592,8.547230066548618,-0.3304746995339745
recent_origins,9,FUEL_ECM_R14,cumulative,22,13.320804652834042,10.280278201570075,-0.8714991097860146
recent_origins,9,FUEL_ZERO_R14,cumulative,22,10.834716237917934,8.561535083925172,-0.38999287185788156
recent_origins,9,INDEPENDENT_BRIDGE,cumulative,22,11.955889361194632,10.62211621150974,2.1605468616079757
recent_origins,10,FUEL_CONSTANT_PUMP_R14,mm,21,5.153163923073683,2.9565322843990436,-0.7807289321196554
recent_origins,10,FUEL_ECM_R14,mm,21,5.153191167032045,2.956779256937412,-0.7807367808882978
recent_origins,10,FUEL_ZERO_R14,mm,21,5.153163923073683,2.9565322843990436,-0.7807289321196554
recent_origins,10,INDEPENDENT_BRIDGE,mm,21,5.182291759175937,2.874696014483006,-0.5346675683313613
recent_origins,10,FUEL_CONSTANT_PUMP_R14,cumulative,21,11.281611484368145,9.206085790600374,-0.2040784236389669
recent_origins,10,FUEL_ECM_R14,cumulative,21,12.988593422727321,10.65064432812249,-0.33535362224848003
recent_origins,10,FUEL_ZERO_R14,cumulative,21,11.417240589062272,9.218267259478656,-0.28172812983021195
recent_origins,10,INDEPENDENT_BRIDGE,cumulative,21,12.384524525048983,11.271635664636777,2.5217999656644485
recent_origins,11,FUEL_CONSTANT_PUMP_R14,mm,20,5.277438702614976,3.064676358936456,-0.7800828390430985
recent_origins,11,FUEL_ECM_R14,mm,20,5.277634327449751,3.065321247780239,-0.7796317636829853
recent_origins,11,FUEL_ZERO_R14,mm,20,5.277438702614976,3.064676358936456,-0.7800828390430985
recent_origins,11,INDEPENDENT_BRIDGE,mm,20,5.304566522259051,2.963417506811604,-0.5063876383523771
recent_origins,11,FUEL_CONSTANT_PUMP_R14,cumulative,20,11.997699700865539,9.878563983146108,-0.05204837902392754
recent_origins,11,FUEL_ECM_R14,cumulative,20,13.286244712696526,11.189393647213604,0.13865301177621348
recent_origins,11,FUEL_ZERO_R14,cumulative,20,11.997639322965354,9.776903749813826,-0.12557674778060662
recent_origins,11,INDEPENDENT_BRIDGE,cumulative,20,12.972489885046876,11.859698463171457,2.9429773110562065
recent_origins,12,FUEL_CONSTANT_PUMP_R14,mm,19,5.413607741461183,3.2029516768102133,-0.798116392711942
recent_origins,12,FUEL_ECM_R14,mm,19,5.413614551438404,3.2031628792708218,-0.7976518395101789
recent_origins,12,FUEL_ZERO_R14,mm,19,5.413607741461183,3.2029516768102133,-0.798116392711942
recent_origins,12,INDEPENDENT_BRIDGE,mm,19,5.438092046373991,3.2641219935065258,-0.3747572951417199
recent_origins,12,FUEL_CONSTANT_PUMP_R14,cumulative,19,12.363502982736138,10.340940722876054,0.1975695977535012
recent_origins,12,FUEL_ECM_R14,cumulative,19,13.351202023728911,11.41840855139539,0.6804174266576651
recent_origins,12,FUEL_ZERO_R14,cumulative,19,12.231933484805044,10.132418723665698,0.06843881359720315
recent_origins,12,INDEPENDENT_BRIDGE,cumulative,19,13.48203309814442,12.363433949181697,3.5742377187397665
