candidate,reference,h,metric,fuel_squared_gain_count,fuel_squared_gain_mean,cross_term_gain_count,cross_term_gain_mean,headline_squared_gain_count,headline_squared_gain_mean,sample
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,1,mm,88,0.009487337007958837,88,0.002185059170572243,88,0.011672396178531035,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,1,yy,88,0.010846879033995909,88,-0.00018707858475659368,88,0.010659800449239283,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,2,mm,86,0.002176635646370989,86,-0.0011621599507211982,86,0.0010144756956497586,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,2,yy,86,0.016590500214810008,86,-0.023317301877082006,86,-0.006726801662271988,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,3,mm,84,0.0020551792715110947,84,-0.0005635286762286721,84,0.0014916505952824884,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,3,yy,84,0.00975731745231015,84,0.0038290932093692233,84,0.013586410661679375,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,4,mm,86,0.001900761485411629,86,-0.002533971187906686,86,-0.0006332097024950835,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,4,yy,83,0.0075127384822368404,83,-0.022331023692334608,83,-0.0148182852100977,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,5,mm,85,0.00189368069270342,85,-0.0028332189010881357,85,-0.0009395382083846914,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,5,yy,82,0.009785321679806173,82,-0.04855384834908084,82,-0.03876852666927461,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,6,mm,84,0.0018766434949279705,84,-0.0024376745308202228,84,-0.0005610310358922911,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,6,yy,81,0.006930719292620485,81,-0.07981118179046029,81,-0.07288046249783982,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,7,mm,83,0.0018961057331336468,83,-0.003634451172057963,83,-0.0017383454389244051,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,7,yy,80,0.005693003656928626,80,-0.0824067468922608,80,-0.07671374323533213,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,8,mm,82,0.0019012637013771443,82,-0.0005517103725320752,82,0.0013495533288451498,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,8,yy,79,0.012965616472523906,79,-0.08628901975650397,79,-0.07332340328398007,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,9,mm,81,0.001900165632173326,81,0.0006979283668104251,81,0.0025980939989837777,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,9,yy,78,0.015670485611057692,78,-0.102386673322842,78,-0.08671618771178495,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,10,mm,80,0.0019204958204487477,80,0.00046821392573573924,80,0.0023887097461844945,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,10,yy,77,0.01325477571143415,77,-0.11854110641977408,77,-0.10528633070834026,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,11,mm,79,0.0019096274891214594,79,-0.0010139897099480536,79,0.0008956377791734117,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,11,yy,76,0.004905556901005334,76,-0.1287053712649286,76,-0.12379981436392302,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,12,mm,78,0.0017859308137109493,78,-0.004201534811925855,78,-0.0024156039982148277,full
FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,12,yy,75,-0.0011384370838349873,75,-0.17661634347070268,75,-0.17775478055453825,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,1,mm,88,0.0025157709133238585,88,0.00516633507049835,88,0.007682105983822268,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,1,yy,88,0.003084339815303888,88,0.011612932019379317,88,0.014697271834683202,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,2,mm,86,-0.0012567666525822418,86,-0.008167612200815202,86,-0.009424378853397412,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,2,yy,86,0.003341345925885755,86,-0.018424553944848737,86,-0.015083208018962992,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,3,mm,84,-0.0021039700804062348,84,-0.008535124655192924,84,-0.010639094735599194,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,3,yy,84,-0.006166357030572918,84,-0.04053512306458335,84,-0.04670148009515632,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,4,mm,86,-0.0014156926373388873,86,-0.0022053195310988137,86,-0.0036210121684376543,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,4,yy,83,-0.019248843695825083,83,-0.06247316673554935,83,-0.0817220104313744,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,5,mm,85,-0.0008288493995444363,85,-0.004433144589593007,85,-0.005261993989137444,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,5,yy,82,-0.031883136856802025,82,-0.08909494629287401,82,-0.12097808314967608,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,6,mm,84,-1.6424204828459804e-05,84,-0.0021966015532650634,84,-0.0022130257580935168,full
FUEL_ECM_R14,FUEL_CONSTANT_PUMP_R14,6,yy,81,-0.04129291888427123,81,-0.11850656221656002,81,-0.15979948110083114,full
