origin,as_of,product,a,b,lam,beta0,beta1,phi,n_longrun,n_dynamic,train_start,train_end,last_training_available,longrun_boundary,dynamic_boundary
2019-02,2019-03-10 23:59:00,petrol95,5.479307860487472,0.8649807168807516,0.036095770791915,0.07157666663161394,0.16303070632709826,0.5602237134503042,260,238,2013-11-25,2019-02-25,2019-03-08 00:00:00,False,False
2019-02,2019-03-10 23:59:00,diesel,5.761961226353611,0.9976643706689096,0.0335042078819681,0.09751091443686943,0.16415380241040795,0.5424543008777332,260,238,2013-11-25,2019-02-25,2019-03-08 00:00:00,False,False
2019-03,2019-04-09 23:59:00,petrol95,5.405446900305212,0.8718803097690363,0.035382239162115595,0.07426067353325427,0.15509425687394854,0.5801611245617005,260,238,2014-01-20,2019-03-25,2019-04-05 00:00:00,False,False
2019-03,2019-04-09 23:59:00,diesel,5.70049958489783,1.005113792762982,0.03344222410745395,0.0978967941346165,0.1581752941584241,0.5546501671730872,260,238,2014-01-20,2019-03-25,2019-04-05 00:00:00,False,False
2019-04,2019-05-12 23:59:00,petrol95,5.390215486118369,0.8727576070186438,0.03815969764192054,0.07888651853771605,0.1506780949031175,0.5899402507504866,260,239,2014-02-03,2019-04-15,2019-04-26 00:00:00,False,False
2019-04,2019-05-12 23:59:00,diesel,5.6947958226227104,1.0049548154906995,0.03341725709493358,0.09802906310549558,0.15725863546563457,0.5542627783653944,260,239,2014-02-03,2019-04-15,2019-04-26 00:00:00,False,False
2019-05,2019-06-10 23:59:00,petrol95,5.347746145446986,0.8781353849819005,0.03896388159765204,0.07239510053302284,0.15541288241502613,0.5865231477899803,260,238,2014-03-03,2019-05-27,2019-06-07 00:00:00,False,False
2019-05,2019-06-10 23:59:00,diesel,5.667367115665996,1.0079739173400981,0.03389049393915832,0.09748109660450532,0.15735764713861333,0.5532357603872643,260,238,2014-03-03,2019-05-27,2019-06-07 00:00:00,False,False
2019-06,2019-07-10 23:59:00,petrol95,5.306899784749792,0.8850432142844491,0.04092686928210104,0.07864577493695263,0.14985695088813158,0.580957157527463,260,238,2014-03-31,2019-06-24,2019-07-05 00:00:00,False,False
2019-06,2019-07-10 23:59:00,diesel,5.655525377150032,1.0105208454103898,0.035494701668923455,0.10474754664486502,0.14761245482452276,0.5468511003138101,260,238,2014-03-31,2019-06-24,2019-07-05 00:00:00,False,False
